user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794349_133601090628110_8240798418495078400_n.jpg,http://picbear.com/media/1632782728993561310_4736985408,October 25 2017 - 16:11,October 24 2017 - 19:34,<p>Graffiti board Record a happy life 💞👍</p>,46,22
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639547_182839348931263_9032967967595298816_n.jpg,http://picbear.com/media/1631059715486958001_4736985408,October 25 2017 - 16:11,October 22 2017 - 10:31,<p>Lunch Korean cuisine Taste great👍</p>,48,19
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637564_502566456771267_8717860356120117248_n.jpg,http://picbear.com/media/1629424061590049662_4736985408,October 25 2017 - 16:11,October 20 2017 - 04:21,<p>Rainy day of Danshui To teach  at M. T. V.  High school 🚗</p>,58,29
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637513_1849636212013376_2447362559574016000_n.jpg,http://picbear.com/media/1629151312107816463_4736985408,October 25 2017 - 16:11,October 19 2017 - 19:19,"<p>From the mountains , the sea , the countryside into the city's hotel slow text brigade , let the traveler to explore the beauty of urban  culture . 👌</p>",34,1
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500203_176888762866658_8924520979674169344_n.jpg,http://picbear.com/media/1627295353727245566_4736985408,October 25 2017 - 16:11,October 17 2017 - 05:52,"<p>Whether there are stories of history or wild history , literature or drama , those who are raised by the story of lovers , how much do you know ?</p>",31,15
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427102_1615157535258962_4905993051748433920_n.jpg,http://picbear.com/media/1625224284963022011_4736985408,October 25 2017 - 16:11,October 14 2017 - 09:17,"<p>Enthusiastic desert flower , is enjoying heavy rain moisture 🌹☔</p>",41,6
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352115_288956061601861_5389206993154080768_n.jpg,http://picbear.com/media/1624711097087727001_4736985408,October 25 2017 - 16:11,October 13 2017 - 16:17,<p>Coffee ice cream</p>,28,2
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344367_1711654402181024_3289033621100298240_n.jpg,http://picbear.com/media/1624669063643701478_4736985408,October 25 2017 - 16:11,October 13 2017 - 14:54,<p>A rich dinner The grain of rich + eggplant + kelp + Chinese cabbage + black fungus 🙌</p>,21,0
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430553_135569446997694_3444722225620451328_n.jpg,http://picbear.com/media/1624288963903521947_4736985408,October 25 2017 - 16:11,October 13 2017 - 02:19,<p>On business trip</p>,15,0
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352430_2038207623132627_1029302321374298112_n.jpg,http://picbear.com/media/1622607697168646021_4736985408,October 25 2017 - 16:11,October 10 2017 - 18:38,<p>食尚曼谷 bistro &amp; lounge  小馬&amp;小馬同事&amp;Dave;</p>,22,4
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280807_537538769920990_7873577275873034240_n.jpg,http://picbear.com/media/1622603659664588489_4736985408,October 25 2017 - 16:11,October 10 2017 - 18:30,"<p>The second visit bistro &amp; lounge 食尚曼谷 Suddenly , the past 👥 At the moment , there is a poem is my mood💜  曾經滄海難為水，除却巫山不是雲~</p>",21,0
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351640_1790313414599662_1756067331101949952_n.jpg,http://picbear.com/media/1621940659739927558_4736985408,October 25 2017 - 16:11,October 09 2017 - 20:33,<p>Early in the morning</p>,25,0
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277922_125191338143271_3727219971483238400_n.jpg,http://picbear.com/media/1621016081542859887_4736985408,October 25 2017 - 16:11,October 08 2017 - 13:56,<p>favorite</p>,31,4
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277469_110341823055737_3973305066214916096_n.jpg,http://picbear.com/media/1621015028973930787_4736985408,October 25 2017 - 16:11,October 08 2017 - 13:54,<p>Great👍</p>,19,2
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157906_1980744445531211_3975989356350406656_n.jpg,http://picbear.com/media/1618142247001062462_4736985408,October 25 2017 - 16:11,October 04 2017 - 14:46,<p>Happy Mild-Autumn festival</p>,50,2
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277697_120720301933286_7744406490928119808_n.jpg,http://picbear.com/media/1617956311936194873_4736985408,October 25 2017 - 16:11,October 04 2017 - 08:37,<p>grapefruit👍</p>,35,2
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159130_125902924825073_6518494976358219776_n.jpg,http://picbear.com/media/1617935160111453801_4736985408,October 25 2017 - 16:11,October 04 2017 - 07:55,<p>Green sauce + clams + pasta😁</p>,29,2
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158705_134240237221715_9058826711554064384_n.jpg,http://picbear.com/media/1617903187116504659_4736985408,October 25 2017 - 16:11,October 04 2017 - 06:51,<p>Mid-Autumn Festival</p>,23,0
