user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277436_874787049363387_6216872505630523392_n.jpg,http://picbear.com/media/1618147395794901293_921968269,October 25 2017 - 15:43,October 04 2017 - 14:57,"<p><a href=""http://picbear.com/tag/boğaz"" title=""posts tagged as boğaz"">#boğaz</a><a href=""http://picbear.com/tag/içi"" title=""posts tagged as içi"">#içi</a><a href=""http://picbear.com/tag/istanbul"" title=""posts tagged as istanbul"">#istanbul</a><a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a><a href=""http://picbear.com/tag/iphone"" title=""posts tagged as iphone"">#iphone</a><a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a><a href=""http://picbear.com/tag/nice"" title=""posts tagged as nice"">#nice</a><a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a><a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a><a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a><a href=""http://picbear.com/tag/4like"" title=""posts tagged as 4like"">#4like</a><a href=""http://picbear.com/tag/l"" title=""posts tagged as l"">#l</a><a href=""http://picbear.com/tag/instafollow"" title=""posts tagged as instafollow"">#instafollow</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a><a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a><a href=""http://picbear.com/tag/instago"" title=""posts tagged as instago"">#instago</a><a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a></p>",665,2
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/21878854_117420685611850_8214701179297333248_n.jpg,http://picbear.com/media/1606856754435720679_921968269,October 25 2017 - 15:43,September 19 2017 - 01:04,"<p><a href=""http://picbear.com/tag/sniper"" title=""posts tagged as sniper"">#sniper</a> <a href=""http://picbear.com/tag/ps4"" title=""posts tagged as ps4"">#ps4</a> <a href=""http://picbear.com/tag/game"" title=""posts tagged as game"">#game</a> <a href=""http://picbear.com/tag/blackops"" title=""posts tagged as blackops"">#blackops</a> <a href=""http://picbear.com/tag/callofduty"" title=""posts tagged as callofduty"">#callofduty</a> <a href=""http://picbear.com/tag/playstation"" title=""posts tagged as playstation"">#playstation</a></p>",107,0
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c81.0.318.318/21373409_274791176342407_645490987103158272_n.jpg,http://picbear.com/media/1597877577560950128_921968269,October 25 2017 - 15:43,September 06 2017 - 15:44,"<p><a href=""http://picbear.com/tag/fifa"" title=""posts tagged as fifa"">#fifa</a> <a href=""http://picbear.com/tag/fifa17"" title=""posts tagged as fifa17"">#fifa17</a> <a href=""http://picbear.com/tag/fifa18"" title=""posts tagged as fifa18"">#fifa18</a> <a href=""http://picbear.com/tag/easports"" title=""posts tagged as easports"">#easports</a> <a href=""http://picbear.com/tag/ps4"" title=""posts tagged as ps4"">#ps4</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/game"" title=""posts tagged as game"">#game</a> <a href=""http://picbear.com/tag/playstation4"" title=""posts tagged as playstation4"">#playstation4</a> 🎮⚽️🎮</p>",68,0
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224103_1707323942907985_3170079438071136256_n.jpg,http://picbear.com/media/1593499956597340558_921968269,October 25 2017 - 15:43,August 31 2017 - 14:46,"<p><a href=""http://picbear.com/tag/rakı"" title=""posts tagged as rakı"">#rakı</a> <a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a></p>",13,1
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20393647_172151676663080_7921714083915628544_n.jpg,http://picbear.com/media/1569787820306217448_921968269,October 25 2017 - 15:43,July 29 2017 - 21:35,<p>🐱</p>,17,0
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20067187_1915376578702825_8139836832721403904_n.jpg,http://picbear.com/media/1562225525954937986_921968269,October 25 2017 - 15:43,July 19 2017 - 11:10,"<p><a href=""http://picbear.com/tag/curves"" title=""posts tagged as curves"">#curves</a> <a href=""http://picbear.com/tag/fitthick"" title=""posts tagged as fitthick"">#fitthick</a> <a href=""http://picbear.com/tag/slimthick"" title=""posts tagged as slimthick"">#slimthick</a> <a href=""http://picbear.com/tag/bubblebooty"" title=""posts tagged as bubblebooty"">#bubblebooty</a> <a href=""http://picbear.com/tag/likeforlike"" title=""posts tagged as likeforlike"">#likeforlike</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/bootybuilding"" title=""posts tagged as bootybuilding"">#bootybuilding</a> <a href=""http://picbear.com/tag/squats"" title=""posts tagged as squats"">#squats</a> <a href=""http://picbear.com/tag/shesquats"" title=""posts tagged as shesquats"">#shesquats</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/realbooty"" title=""posts tagged as realbooty"">#realbooty</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/lingerie"" title=""posts tagged as lingerie"">#lingerie</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/bootyworkout"" title=""posts tagged as bootyworkout"">#bootyworkout</a> <a href=""http://picbear.com/tag/stairs"" title=""posts tagged as stairs"">#stairs</a> <a href=""http://picbear.com/tag/bodysuit"" title=""posts tagged as bodysuit"">#bodysuit</a> <a href=""http://picbear.com/tag/squat"" title=""posts tagged as squat"">#squat</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instadaily"" title=""posts tagged as instadaily"">#instadaily</a> <a href=""http://picbear.com/tag/bubblebutt"" title=""posts tagged as bubblebutt"">#bubblebutt</a> <a href=""http://picbear.com/tag/arsenic"" title=""posts tagged as arsenic"">#arsenic</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a>❤️ <a href=""http://picbear.com/tag/likeme"" title=""posts tagged as likeme"">#likeme</a> <a href=""http://picbear.com/tag/porsche"" title=""posts tagged as porsche"">#porsche</a></p>",56,1
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.98.1080.1080/20065429_1967830756805954_1947409962384752640_n.jpg,http://picbear.com/media/1561599158695430259_921968269,October 25 2017 - 15:43,July 18 2017 - 14:25,"<p><a href=""http://picbear.com/tag/sakin"" title=""posts tagged as sakin"">#sakin</a> <a href=""http://picbear.com/tag/meteoroloji"" title=""posts tagged as meteoroloji"">#meteoroloji</a> <a href=""http://picbear.com/tag/uyar"" title=""posts tagged as uyar"">#uyar</a> #1.60 <a href=""http://picbear.com/tag/kısaboy"" title=""posts tagged as kısaboy"">#kısaboy</a> <a href=""http://picbear.com/tag/dışarı"" title=""posts tagged as dışarı"">#dışarı</a> <a href=""http://picbear.com/tag/çıkma"" title=""posts tagged as çıkma"">#çıkma</a></p>",18,2
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c11.0.728.728/18812852_651892118350333_5687652566767239168_n.jpg,http://picbear.com/media/1528442105768696662_921968269,October 25 2017 - 15:43,June 02 2017 - 20:28,"<p><a href=""http://picbear.com/tag/büyük"" title=""posts tagged as büyük"">#büyük</a> <a href=""http://picbear.com/tag/hata"" title=""posts tagged as hata"">#hata</a> <a href=""http://picbear.com/tag/herkes"" title=""posts tagged as herkes"">#herkes</a> <a href=""http://picbear.com/tag/kendi"" title=""posts tagged as kendi"">#kendi</a></p>",11,0
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17267645_259037787840057_8008926530187034624_n.jpg,http://picbear.com/media/1468421092825931701_921968269,October 25 2017 - 15:43,March 12 2017 - 00:57,"<p><a href=""http://picbear.com/tag/wanan"" title=""posts tagged as wanan"">#wanan</a></p>",13,0
October 25 2017 - 15:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17075829_1810295382629184_6226240696886493184_n.jpg,http://picbear.com/media/1461380551797941776_921968269,October 25 2017 - 15:43,March 02 2017 - 07:49,"<p><a href=""http://picbear.com/tag/yağmur"" title=""posts tagged as yağmur"">#yağmur</a></p>",19,0
