user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21689228_351539241946319_5831339623913095168_n.jpg,http://picbear.com/media/1604926775262105831_267087244,October 25 2017 - 15:36,September 16 2017 - 09:10,"<p><a href=""http://picbear.com/tag/sosyalmedya"" title=""posts tagged as sosyalmedya"">#sosyalmedya</a> <a href=""http://picbear.com/tag/tatil"" title=""posts tagged as tatil"">#tatil</a></p>",16,3
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.66.530.530/21688760_2003374663228131_8813741227510857728_n.jpg,http://picbear.com/media/1602235343929825567_267087244,October 25 2017 - 15:36,September 12 2017 - 16:02,"<p><a href=""http://picbear.com/tag/yunusemre"" title=""posts tagged as yunusemre"">#yunusemre</a></p>",14,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224797_884208628396517_7532353634718187520_n.jpg,http://picbear.com/media/1593494003620510330_267087244,October 25 2017 - 15:36,August 31 2017 - 14:35,"<p><a href=""http://picbear.com/tag/sanateseri"" title=""posts tagged as sanateseri"">#sanateseri</a> <a href=""http://picbear.com/tag/ayçiçeği"" title=""posts tagged as ayçiçeği"">#ayçiçeği</a> <a href=""http://picbear.com/tag/sunflower"" title=""posts tagged as sunflower"">#sunflower</a> 🌻</p>",23,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.83.720.720/20213762_1753173051649910_2774958415527542784_n.jpg,http://picbear.com/media/1565796417203714829_267087244,October 25 2017 - 15:36,July 24 2017 - 09:25,"<p><a href=""http://picbear.com/tag/reşatnurigüntekin"" title=""posts tagged as reşatnurigüntekin"">#reşatnurigüntekin</a> <a href=""http://picbear.com/tag/reşatnuri"" title=""posts tagged as reşatnuri"">#reşatnuri</a></p>",18,1
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.83.720.720/20184737_402971840099852_8304281840470982656_n.jpg,http://picbear.com/media/1563906266395418846_267087244,October 25 2017 - 15:36,July 21 2017 - 18:49,,11,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.3.900.900/19954849_1721246554836326_7965339093238284288_n.jpg,http://picbear.com/media/1555741718945682730_267087244,October 25 2017 - 15:36,July 10 2017 - 12:28,"<p><a href=""http://picbear.com/tag/adamfawer"" title=""posts tagged as adamfawer"">#adamfawer</a> <a href=""http://picbear.com/tag/empati"" title=""posts tagged as empati"">#empati</a></p>",20,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19932145_706756999525823_5697926046934892544_n.jpg,http://picbear.com/media/1554967304222092988_267087244,October 25 2017 - 15:36,July 09 2017 - 10:49,,27,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19535418_1437934162959993_642257770082467840_n.jpg,http://picbear.com/media/1550161750945485273_267087244,October 25 2017 - 15:36,July 02 2017 - 19:41,"<p><a href=""http://picbear.com/tag/alikibeach"" title=""posts tagged as alikibeach"">#alikibeach</a></p>",30,1
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c18.0.643.643/19534972_728289524045863_4038212574792122368_n.jpg,http://picbear.com/media/1548404504679148273_267087244,October 25 2017 - 15:36,June 30 2017 - 09:30,,17,0
October 25 2017 - 15:35,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19121682_1919684318250207_6205882010737573888_n.jpg,http://picbear.com/media/1539188727031635055_267087244,October 25 2017 - 15:36,June 17 2017 - 16:20,,13,0
