user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.94.750.750/22857660_174368606475186_6373681383650361344_n.jpg,http://picbear.com/media/1637726371063428673_307719801,November 07 2017 - 03:59,October 31 2017 - 15:16,"<p>😻 . . . . . . . . . <a href=""http://picbear.com/tag/cat"" title=""posts tagged as cat"">#cat</a> <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/gatos"" title=""posts tagged as gatos"">#gatos</a> <a href=""http://picbear.com/tag/fotografia"" title=""posts tagged as fotografia"">#fotografia</a></p>",61,2
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c115.0.349.349/22794618_306361026510193_2405202155574132736_n.jpg,http://picbear.com/media/1632662030496774073_307719801,November 07 2017 - 03:59,October 24 2017 - 15:35,"<p>🌵 . . . . . . . . . . <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/brasil"" title=""posts tagged as brasil"">#brasil</a> <a href=""http://picbear.com/tag/sertao"" title=""posts tagged as sertao"">#sertao</a> <a href=""http://picbear.com/tag/ceara"" title=""posts tagged as ceara"">#ceara</a> <a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a></p>",67,1
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c66.0.457.457/22582696_439843003080105_8303970012960391168_n.jpg,http://picbear.com/media/1627756431476560236_307719801,November 07 2017 - 03:59,October 17 2017 - 21:08,"<p>⛪ . . . . . . . . .  <a href=""http://picbear.com/tag/church"" title=""posts tagged as church"">#church</a> <a href=""http://picbear.com/tag/vsc"" title=""posts tagged as vsc"">#vsc</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/igreja"" title=""posts tagged as igreja"">#igreja</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a></p>",47,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/21985205_493848764322628_2490598393320046592_n.jpg,http://picbear.com/media/1612488107398342821_307719801,November 07 2017 - 03:59,September 26 2017 - 19:33,"<p><a href=""http://picbear.com/tag/omg"" title=""posts tagged as omg"">#omg</a> . . . . . . . .  <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/vscocam"" title=""posts tagged as vscocam"">#vscocam</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a></p>",61,7
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879062_707500776107292_1452664562070323200_n.jpg,http://picbear.com/media/1607398058096944904_307719801,November 07 2017 - 03:59,September 19 2017 - 19:00,"<p>🌈 <a href=""http://picbear.com/tag/rainbow"" title=""posts tagged as rainbow"">#rainbow</a></p>",42,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21433901_525376904471382_8213838019719856128_n.jpg,http://picbear.com/media/1597941079238770229_307719801,November 07 2017 - 03:59,September 06 2017 - 17:50,"<p>✈ <a href=""http://picbear.com/tag/airport"" title=""posts tagged as airport"">#airport</a></p>",52,2
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224584_295760837568617_1010563104183943168_n.jpg,http://picbear.com/media/1591525519084815913_307719801,November 07 2017 - 03:59,August 28 2017 - 21:24,"<p>Sometimes i wake up in the morning to red, blue, and yellow skies 🎶 🌞  <a href=""http://picbear.com/tag/peruibe"" title=""posts tagged as peruibe"">#peruibe</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a></p>",47,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20838722_407336396335394_2278026498902327296_n.jpg,http://picbear.com/media/1582822672000498067_307719801,November 07 2017 - 03:59,August 16 2017 - 21:13,"<p>Meu bb ❤ <a href=""http://picbear.com/tag/cat"" title=""posts tagged as cat"">#cat</a></p>",38,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688047_162925777601053_8174468279310483456_n.jpg,http://picbear.com/media/1577981186113254696_307719801,November 07 2017 - 03:59,August 10 2017 - 04:53,"<p><a href=""http://picbear.com/tag/car"" title=""posts tagged as car"">#car</a> <a href=""http://picbear.com/tag/cadillac"" title=""posts tagged as cadillac"">#cadillac</a> <a href=""http://picbear.com/tag/chevelle"" title=""posts tagged as chevelle"">#chevelle</a> <a href=""http://picbear.com/tag/lasalle"" title=""posts tagged as lasalle"">#lasalle</a></p>",50,3
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20478795_698330020356745_5921748818637881344_n.jpg,http://picbear.com/media/1571288021167555031_307719801,November 07 2017 - 03:59,July 31 2017 - 23:15,"<p>Don't be afraid to catch <a href=""http://picbear.com/tag/feels"" title=""posts tagged as feels"">#feels</a> 🌸</p>",47,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/20226088_273419299803138_8700225362136662016_n.jpg,http://picbear.com/media/1567672307043079722_307719801,November 07 2017 - 03:59,July 26 2017 - 23:32,"<p>☁ <a href=""http://picbear.com/tag/heaven"" title=""posts tagged as heaven"">#heaven</a></p>",28,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/19533807_307425036369645_185845597129932800_n.jpg,http://picbear.com/media/1547171167558069944_307719801,November 07 2017 - 03:59,June 28 2017 - 16:39,"<p>""A leitura é a escriba da alma"" 📚  <a href=""http://picbear.com/tag/book"" title=""posts tagged as book"">#book</a></p>",28,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19228556_766795063500955_3895018249179365376_n.jpg,http://picbear.com/media/1540269868077998975_307719801,November 07 2017 - 03:59,June 19 2017 - 04:08,"<p><a href=""http://picbear.com/tag/lgbtq"" title=""posts tagged as lgbtq"">#lgbtq</a> 🌈</p>",34,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.73.584.584/19120482_1188112594645334_672144501875146752_n.jpg,http://picbear.com/media/1538792883745158847_307719801,November 07 2017 - 03:59,June 17 2017 - 03:13,"<p>Smell like a rose and I pierce like a thorn, yeah 🎶 💥🔫 <a href=""http://picbear.com/tag/airsoft"" title=""posts tagged as airsoft"">#airsoft</a></p>",32,1
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/18888847_406148146447056_5359172935393214464_n.jpg,http://picbear.com/media/1530598193753228658_307719801,November 07 2017 - 03:59,June 05 2017 - 19:52,"<p><a href=""http://picbear.com/tag/poker"" title=""posts tagged as poker"">#poker</a> <a href=""http://picbear.com/tag/royalstraigflush"" title=""posts tagged as royalstraigflush"">#royalstraigflush</a></p>",38,1
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c74.0.932.932/18722319_236827356804096_4088707895405838336_n.jpg,http://picbear.com/media/1523996137001313687_307719801,November 07 2017 - 03:59,May 27 2017 - 17:15,"<p>So <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> 🐥</p>",23,1
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18514211_752050784964953_757994374066864128_n.jpg,http://picbear.com/media/1518503230018163098_307719801,November 07 2017 - 03:59,May 20 2017 - 03:21,"<p>✌🌊 <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/goodvibesonly"" title=""posts tagged as goodvibesonly"">#goodvibesonly</a></p>",65,0
November 07 2017 - 03:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18512832_287917058285183_2751614508064571392_n.jpg,http://picbear.com/media/1516228315470685107_307719801,November 07 2017 - 03:59,May 17 2017 - 00:02,"<p>🌞🌊 <a href=""http://picbear.com/tag/vsco"" title=""posts tagged as vsco"">#vsco</a> <a href=""http://picbear.com/tag/praia"" title=""posts tagged as praia"">#praia</a> <a href=""http://picbear.com/tag/beach"" title=""posts tagged as beach"">#beach</a> <a href=""http://picbear.com/tag/mar"" title=""posts tagged as mar"">#mar</a> <a href=""http://picbear.com/tag/goodvibes"" title=""posts tagged as goodvibes"">#goodvibes</a></p>",36,3
