user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161661_1747271578902741_3394976346735116288_n.jpg,http://picbear.com/media/1641546250694213629_4250899909,November 07 2017 - 02:30,November 05 2017 - 21:46,<p>Con mi perrita</p>,6,0
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.319.319/22793912_276421396211843_1556402079696683008_n.jpg,http://picbear.com/media/1632810936484158574_4250899909,November 07 2017 - 02:30,October 24 2017 - 20:30,"<p>Amigos...Acudo a ustedes para buscarle un hogar a un tierno perrito, el dueño está incapacitado por una  cirugía reciente y no lo puede tener más, es jugueton, muy educado y se llama dientitos. Ahí les envío la foto... 👇👇👇👇</p>",5,1
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.40.320.320/22582734_511735012526516_4597612849412440064_n.jpg,http://picbear.com/media/1630662711660580384_4250899909,November 07 2017 - 02:30,October 21 2017 - 21:22,,11,1
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427102_279011565925798_7489207325270474752_n.jpg,http://picbear.com/media/1625725056892090113_4250899909,November 07 2017 - 02:30,October 15 2017 - 01:52,<p>En guanajuato</p>,9,1
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.685.685/22280048_1857872257860402_6864897497668517888_n.jpg,http://picbear.com/media/1619977305432708105_4250899909,November 07 2017 - 02:30,October 07 2017 - 03:32,,8,0
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c169.0.685.685/22157986_1835364553441370_7860314721805664256_n.jpg,http://picbear.com/media/1617044706653448534_4250899909,November 07 2017 - 02:30,October 03 2017 - 02:26,,8,0
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.685.685/21879378_768700893330780_8549649216102727680_n.jpg,http://picbear.com/media/1610350581833129607_4250899909,November 07 2017 - 02:30,September 23 2017 - 20:46,,7,1
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.85.683.683/21878811_444616302605619_8694106068826980352_n.jpg,http://picbear.com/media/1609656859789113064_4250899909,November 07 2017 - 02:30,September 22 2017 - 21:47,,9,1
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910122_1418970694889264_504402020099162112_n.jpg,http://picbear.com/media/1609654494738720344_4250899909,November 07 2017 - 02:30,September 22 2017 - 21:43,,9,0
November 07 2017 - 02:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/21827175_339064336558600_3580438837077213184_n.jpg,http://picbear.com/media/1608392324017279081_4250899909,November 07 2017 - 02:30,September 21 2017 - 03:55,,6,1
