user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.52.413.413/23164228_234798177054793_4718502417719623680_n.jpg,http://picbear.com/media/1639668465500880984_4146290934,November 07 2017 - 04:42,November 03 2017 - 07:35,"<p>Sholat ya sayang,  ngelike sama komen di foto orang itu gak bikin masuk syurga. 😀</p>",24,2
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23161251_145531809529397_4861394064102129664_n.jpg,http://picbear.com/media/1639593327254159918_4146290934,November 07 2017 - 04:42,November 03 2017 - 05:06,"<p>Namanya juga hidup pasti banyak cobaan,  kalo banyak saweran namanya dangdutan wkwkwk</p>",44,3
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22801947_1966316193615722_4304622949417091072_n.jpg,http://picbear.com/media/1633766936579384329_4146290934,November 07 2017 - 04:42,October 26 2017 - 04:10,"<p>Ketika orang menghina kamu,  itu adalah sebuah pujian bahwa selama ini mereka menghabiskan banyak waktu untuk memikirkan kamu, bahkan ketika kamu tidak memikirkan mereka. 😊</p>",40,0
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582744_240138543181341_7954474625570701312_n.jpg,http://picbear.com/media/1630243479551867251_4146290934,November 07 2017 - 04:42,October 21 2017 - 07:29,"<p>Cwe itu berani tampil apa adanya, bukan berani tampil dadanya. 😂😂😂😂</p>",43,0
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344838_1557425867637705_5450217201162256384_n.jpg,http://picbear.com/media/1623631359968081910_4146290934,November 07 2017 - 04:42,October 12 2017 - 04:32,"<p>Tidak perlu berada ditempat yang hebat untuk menjadi hebat.  Beradalah ditempat dimana kamu dihargai, - - - - - - - - - - - <a href=""http://picbear.com/tag/buang"" title=""posts tagged as buang"">#buang</a> masalah sudah bakarlah hisap asap lalu tertawalah 😀😀😀</p>",47,0
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430550_711865738999322_6296571215855222784_n.jpg,http://picbear.com/media/1623617877109544059_4146290934,November 07 2017 - 04:42,October 12 2017 - 04:05,"<p>Cantik itu gak harus putih, mulus,  seksi. Tapi cantik itu harus perempuan. 😊😊</p>",61,1
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.97.780.780/22278093_2036405113258758_1714054261660188672_n.jpg,http://picbear.com/media/1620856191546005802_4146290934,November 07 2017 - 04:42,October 08 2017 - 08:38,"<p>Kalau cuma bikin nyaman,  softex juga bisa kali 😛😛😛😛 tapi aku bukan Cuma nyari itu, tapi nyari sosok pria dewasa yg mampu mengucap janji di depan penghulu 😄😄😄😄😄😄😄</p>",43,0
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22277873_1719301298141540_6762061485087653888_n.jpg,http://picbear.com/media/1619259688649966097_4146290934,November 07 2017 - 04:42,October 06 2017 - 03:46,"<p>Cewe itu berani tampil apa adanya, bukan berani tampil dadanya wkwkwk. 😀😀😀</p>",49,1
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/21984741_775013299367150_7211380317687382016_n.jpg,http://picbear.com/media/1613446885045365759_4146290934,November 07 2017 - 04:42,September 28 2017 - 03:17,"<p>KfC jagonya ayam,  D'besto jagonya rasa,  kamu jagoannya aku wkwk <a href=""http://picbear.com/isahdina"" title=""isahdina instagram profile"">@isahdina</a></p>",48,3
November 07 2017 - 04:41,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21910817_843789875795176_4171066474581983232_n.jpg,http://picbear.com/media/1612058858125450696_4146290934,November 07 2017 - 04:42,September 26 2017 - 05:20,<p>Pribadiku itu urusanku.  Hina atau tidak itu mereka Yang melihat.  Terkadang seekor anjing hanya tau menggonggong.  Namun tak paham dengan apa Yang sedang mereka ributkan.  Kau anggap aku kotor? Mari kita lihat dirimu sebersih apa?</p>,52,1
