user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279541_1655975011100389_2864418474019520512_n.jpg,http://picbear.com/media/1642544186622426801_1936214359,November 07 2017 - 04:58,November 07 2017 - 06:49,<p>HI I POSTEF EARLIER SO PLEASE PEEP IT</p>,147,2
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.800.800/21690264_117667085586166_248856289235435520_n.jpg,http://picbear.com/media/1605691972071392070_1936214359,November 07 2017 - 04:58,September 17 2017 - 10:30,"<p>WHATBTHE FUCK JUST HAPPENED ONG IM ACTUALLY SHAKING ALL I DID WAS GO FOR A JOG AND I COME BACK TO ETHAN LIKING ONE OF MY EDITS IM DEAD ASS CRYING THANK YOU SO MUCH ETHAN I LOVE YOU 😭💖💖💖 <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a></p>",2079,237
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18444431_1332963613456655_1591546152107376640_n.jpg,http://picbear.com/media/1515517672035635154_1936214359,November 07 2017 - 04:58,May 16 2017 - 00:30,<p>3/3</p>,121,0
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18443316_1418620781494699_6014931750487064576_n.jpg,http://picbear.com/media/1515517555693934471_1936214359,November 07 2017 - 04:58,May 16 2017 - 00:29,<p>2/3</p>,120,0
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18444228_1929980057270967_5434700201581346816_n.jpg,http://picbear.com/media/1515517433463574971_1936214359,November 07 2017 - 04:58,May 16 2017 - 00:29,<p>1/3</p>,96,0
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.91.1024.1024/18443855_537413703313466_4570232699188412416_n.jpg,http://picbear.com/media/1515179140305830162_1936214359,November 07 2017 - 04:58,May 15 2017 - 13:17,"<p>flower boy - fc; 10 697 - <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> <a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> - Re posting bc the one I posted didn't have my watermark lmao</p>",301,3
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18443538_739940286165567_7643425775370108928_n.jpg,http://picbear.com/media/1514234081976774183_1936214359,November 07 2017 - 04:58,May 14 2017 - 05:59,"<p>👀 - fc; 10 595 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a></p>",348,1
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c133.0.814.814/18382070_153875355149539_8028337823859867648_n.jpg,http://picbear.com/media/1512895910911156385_1936214359,November 07 2017 - 04:58,May 12 2017 - 09:41,"<p>relationship goals - fc; 10 530 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> - LMAO IT DONT EVEN LOOK LIKE GRAYSON</p>",646,40
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18381804_364114797323598_8788469420897861632_n.jpg,http://picbear.com/media/1512134825753079190_1936214359,November 07 2017 - 04:58,May 11 2017 - 08:29,"<p>tats - fc; 10 528 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a></p>",373,7
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18299525_113464139226185_2705582938371653632_n.jpg,http://picbear.com/media/1509973052539109709_1936214359,November 07 2017 - 04:58,May 08 2017 - 08:53,"<p>beans - fc; 10 515 -  <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> <a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a></p>",333,4
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18299736_1516731661693675_7527658204671508480_n.jpg,http://picbear.com/media/1509141983187188118_1936214359,November 07 2017 - 04:58,May 07 2017 - 05:22,"<p>Shades - TAG GRAY💘 - fc; 10 511 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a></p>",431,7
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18251658_1588535687832680_3299245245148954624_n.jpg,http://picbear.com/media/1507781075160735868_1936214359,November 07 2017 - 04:58,May 05 2017 - 08:18,"<p>Smiles - fc; 10 506 - TAG GRAY💞💞 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a></p>",415,5
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18252478_1936134413329231_7446049449475833856_n.jpg,http://picbear.com/media/1507063217514422248_1936214359,November 07 2017 - 04:58,May 04 2017 - 08:32,"<p>🌌 - <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> <a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> - fc; 10 503</p>",325,0
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.126.1080.1080/18252722_745297948973555_2206486323869515776_n.jpg,http://picbear.com/media/1505610986051207927_1936214359,November 07 2017 - 04:58,May 02 2017 - 08:27,"<p>I hate captions - TAG G💞 - fc; 10 480 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a></p>",329,5
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c253.0.574.574/18160810_427850534259814_8395901039152201728_n.jpg,http://picbear.com/media/1504888864341293832_1936214359,November 07 2017 - 04:58,May 01 2017 - 08:32,"<p>they are the cutest - fc; 10 470 - TAG THE PLEASE 💙 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> <a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a></p>",322,2
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c186.0.708.708/18161399_676595819215307_8672603452498509824_n.jpg,http://picbear.com/media/1503407848862940223_1936214359,November 07 2017 - 04:58,April 29 2017 - 07:30,"<p>🍭 - fc; 10 437 - <a href=""http://picbear.com/graysondolan"" title=""graysondolan instagram profile"">@graysondolan</a> <a href=""http://picbear.com/tag/graysondolan"" title=""posts tagged as graysondolan"">#graysondolan</a> <a href=""http://picbear.com/tag/dolantwins"" title=""posts tagged as dolantwins"">#dolantwins</a> - LMAO THIS TURNED OUT SO BAD IM LAUGHIBFJ</p>",329,3
November 07 2017 - 04:57,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c74.0.931.931/18096648_252462248559936_3973975532084658176_n.jpg,http://picbear.com/media/1502717584066409434_1936214359,November 07 2017 - 04:58,April 28 2017 - 08:38,"<p><a href=""http://picbear.com/tag/ethandolan"" title=""posts tagged as ethandolan"">#ethandolan</a> <a href=""http://picbear.com/ethandolan"" title=""ethandolan instagram profile"">@ethandolan</a> - fc; 10 413</p>",393,1
