user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279411_797557650430874_5763428468612136960_n.jpg,http://picbear.com/media/1642129042115077189_143786552,November 07 2017 - 03:37,November 06 2017 - 17:04,"<p>Old polaroid📸 <a href=""http://picbear.com/tag/ramones"" title=""posts tagged as ramones"">#ramones</a> <a href=""http://picbear.com/tag/ramoneswho"" title=""posts tagged as ramoneswho"">#ramoneswho</a>?</p>",196,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802787_857542747754711_8312396021535604736_n.jpg,http://picbear.com/media/1634142151264609058_143786552,November 07 2017 - 03:37,October 26 2017 - 16:35,"<p>🍂🍁🍂🍁 <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a></p>",244,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22636976_379638129136163_629689759471501312_n.jpg,http://picbear.com/media/1631148319581245555_143786552,November 07 2017 - 03:37,October 22 2017 - 13:27,"<p>La gente mette  sulle storie lo screen del profilo ig con l’ultima foto cancellata per creare suspance, io faccio il contrario, prima mi faccio le foto per le storie poi mi credo carina quindi le pubblico <a href=""http://picbear.com/tag/notvip"" title=""posts tagged as notvip"">#notvip</a></p>",203,0
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710971_325520657857716_2598504417225342976_n.jpg,http://picbear.com/media/1629724225748864134_143786552,November 07 2017 - 03:37,October 20 2017 - 14:18,<p>No face 🤦🏻‍♀️</p>,158,0
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427274_201928880348084_8045697446015139840_n.jpg,http://picbear.com/media/1625479697651361320_143786552,November 07 2017 - 03:37,October 14 2017 - 17:45,<p>💋💋💄</p>,192,4
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278275_381249825623894_3458984660959232000_n.jpg,http://picbear.com/media/1621089817458567694_143786552,November 07 2017 - 03:37,October 08 2017 - 16:23,<p>👋🏻👋🏻😇</p>,219,1
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280567_1571103856268743_5427362795416977408_n.jpg,http://picbear.com/media/1619638823751052153_143786552,November 07 2017 - 03:37,October 06 2017 - 16:20,"<p>Sono sempre molto allegra nelle foto, qui ero particolarmente triste perché avevo davanti <a href=""http://picbear.com/lucezandrea"" title=""lucezandrea instagram profile"">@lucezandrea</a> che non é proprio un bel vedere 🖤</p>",236,3
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158682_166434200603151_332507627797872640_n.jpg,http://picbear.com/media/1618254551580559828_143786552,November 07 2017 - 03:37,October 04 2017 - 18:29,"<p>“Ti voglio con me ovunque vado mami io te quiero E con te impazzisco quando sei vestita di nero Solo tu, solo tu, solo tu Mi fai sentire in questo modo Perché quando sono con te non importerà il resto Non credere che con un'altra sarà mai lo stesso Solo tu, solo tu, solo tu  Baby, quando sono con te Voglio solamente soddisfarti Nei tuoi occhi i miei desideri Anniento le preoccupazioni Le tue labbra anestetiche Ma mi fai male a volte quando mordi Lasci il segno solo quando parli Lasci il segno con te quando graffi E mi sveglio nel tuo sguardo Tu mi svegli, io so che mi vuoi Quando dormo tu mi apri gli occhi Sono costretto ad ammirarti”</p>",273,0
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878924_127546291230104_8232971656641904640_n.jpg,http://picbear.com/media/1607399972068632240_143786552,November 07 2017 - 03:37,September 19 2017 - 19:03,"<p>🔥❤️ <a href=""http://picbear.com/guido_gb"" title=""guido_gb instagram profile"">@guido_gb</a> <a href=""http://picbear.com/tag/finelinetattoo"" title=""posts tagged as finelinetattoo"">#finelinetattoo</a></p>",112,1
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576466_1829220543758976_4714842530057814016_n.jpg,http://picbear.com/media/1601489046169665590_143786552,November 07 2017 - 03:37,September 11 2017 - 15:19,<p>Poser girl🍦🍦</p>,236,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.1078.1078/21296900_1900112953641561_7583431013594824704_n.jpg,http://picbear.com/media/1595945391262470397_143786552,November 07 2017 - 03:37,September 03 2017 - 23:45,<p>I'm the new black bitch🍕</p>,265,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147652_828888980625957_5734267388723986432_n.jpg,http://picbear.com/media/1592211226352185236_143786552,November 07 2017 - 03:37,August 29 2017 - 20:06,"<p>Ye, players only Io con te faccio all-in Scommetto che ti innamori di un bad boy Teniamoci questo segreto tra noi Punto su di te, giocherò per vincere Perché fino adesso ho perso già abbastanza Punto su di te, giocherò per vincere Finché non saremo soli nella stanza Perché sei tu la mia scommessa👑</p>",301,4
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042367_159642241256991_6705879833932464128_n.jpg,http://picbear.com/media/1590809704544360548_143786552,November 07 2017 - 03:37,August 27 2017 - 21:41,<p>⚪️⚫️⚪️⚫️</p>,342,0
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107399_112989942722161_1095322174941560832_n.jpg,http://picbear.com/media/1590596436240624765_143786552,November 07 2017 - 03:37,August 27 2017 - 14:38,"<p>""Ma per me era bella Siamo come un orecchino di perla E un cacciavite a stella dentro un sotto sella Ed è come se, dopo anni lei non sappia stare lontano da me Perché per me era bella"" <a href=""http://picbear.com/holyernia"" title=""holyernia instagram profile"">@holyernia</a></p>",152,7
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107611_484505495245787_2052027918242021376_n.jpg,http://picbear.com/media/1589328957132262299_143786552,November 07 2017 - 03:37,August 25 2017 - 20:39,<p>Oggi mi sono truccata e dato che non succedeva da circa 47 anni ho deciso di fare un selfie da insta-snapchat blogger in super posa con filtro fiorellino incluso nel pacchetto 🌸🌸🌸</p>,146,4
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20838624_1938497479755610_7872292174413430784_n.jpg,http://picbear.com/media/1581293410057088814_143786552,November 07 2017 - 03:37,August 14 2017 - 18:34,<p>Belli felici e colorati 🌶💎</p>,101,1
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688648_1646538822046865_2001836187391623168_n.jpg,http://picbear.com/media/1579175003102815036_143786552,November 07 2017 - 03:38,August 11 2017 - 20:25,"<p><a href=""http://picbear.com/krokezz"" title=""krokezz instagram profile"">@krokezz</a> 🌶❤️</p>",111,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688057_330832560702315_8294904032783237120_n.jpg,http://picbear.com/media/1579153382270888033_143786552,November 07 2017 - 03:38,August 11 2017 - 19:42,<p>🌊🌊🌊La grande onda di Kanagawa versione Calabbbria 🌶</p>,124,0
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20686671_459767681068922_7924704794197884928_n.jpg,http://picbear.com/media/1578578818096785602_143786552,November 07 2017 - 03:38,August 11 2017 - 00:41,<p>Il mio gioiello (più o meno) 💎</p>,78,1
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20347698_259588151198743_9143645456587292672_n.jpg,http://picbear.com/media/1567451755499591516_143786552,November 07 2017 - 03:38,July 26 2017 - 16:13,<p>🍕T'amo come la pizza 🍕</p>,121,2
November 07 2017 - 03:36,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20225510_318886538571532_4413818906620198912_n.jpg,http://picbear.com/media/1564552962366171288_143786552,November 07 2017 - 03:38,July 22 2017 - 16:14,<p>Foto super originale estate 2k17 🍕</p>,209,1
