user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161230_1548619748552886_8743864351577866240_n.jpg,http://picbear.com/media/1639449416983388597_3681427127,November 07 2017 - 04:14,November 03 2017 - 00:20,,89,7
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c197.0.686.686/23164134_856730291160355_1135259731502301184_n.jpg,http://picbear.com/media/1639293588364080129_3681427127,November 07 2017 - 04:14,November 02 2017 - 19:10,"<p>Şimdilik hoşçakal <a href=""http://picbear.com/tag/erdek"" title=""posts tagged as erdek"">#erdek</a> 🙋  yine görüşmek üzere 💕🙏..</p>",68,1
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.117.940.940/23098638_156231751648188_1721985816420417536_n.jpg,http://picbear.com/media/1639173273864670003_3681427127,November 07 2017 - 04:14,November 02 2017 - 15:11,<p>💕💕💕</p>,112,20
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c178.0.723.723/23098645_139598029928585_1071602505084829696_n.jpg,http://picbear.com/media/1639170960404085675_3681427127,November 07 2017 - 04:14,November 02 2017 - 15:07,<p>🍀☉🎈</p>,75,8
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c254.0.571.571/23101061_382194338883123_929874365342810112_n.jpg,http://picbear.com/media/1639043510084922936_3681427127,November 07 2017 - 04:15,November 02 2017 - 10:53,<p>💕💕💕</p>,51,1
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/23161618_1956897204564391_8967061054488051712_n.jpg,http://picbear.com/media/1638975794472999950_3681427127,November 07 2017 - 04:15,November 02 2017 - 08:39,<p>Günaydın..</p>,41,2
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.16.690.690/22861037_1961750470765434_2954943207659536384_n.jpg,http://picbear.com/media/1638576313701148745_3681427127,November 07 2017 - 04:15,November 01 2017 - 19:25,,39,0
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c11.0.657.657/22860393_148977329051795_5761492718261895168_n.jpg,http://picbear.com/media/1637962191745738094_3681427127,November 07 2017 - 04:15,October 31 2017 - 23:05,,46,2
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.667.667/22860404_145373192877683_5968629322976591872_n.jpg,http://picbear.com/media/1637270975404136596_3681427127,November 07 2017 - 04:15,October 31 2017 - 00:12,,56,2
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.95.1080.1080/22801997_283366242183185_3819114683726561280_n.jpg,http://picbear.com/media/1636367028376115031_3681427127,November 07 2017 - 04:15,October 29 2017 - 18:16,,104,7
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c125.0.547.547/22802114_959277794210724_3611156520487616512_n.jpg,http://picbear.com/media/1636187266018155963_3681427127,November 07 2017 - 04:15,October 29 2017 - 12:19,,42,0
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802452_531176910608205_4392806865751244800_n.jpg,http://picbear.com/media/1635761480182189691_3681427127,November 07 2017 - 04:15,October 28 2017 - 22:13,,28,3
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.131.1053.1053/22860241_159174894680741_3551703830829727744_n.jpg,http://picbear.com/media/1635673797082732211_3681427127,November 07 2017 - 04:15,October 28 2017 - 19:18,,86,10
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.136.1080.1080/22802086_2035431980059868_5883904968439627776_n.jpg,http://picbear.com/media/1634426522851170181_3681427127,November 07 2017 - 04:15,October 27 2017 - 02:00,<p>İyi geceler...🌟🎶🙏</p>,76,9
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22858331_1123446071119641_5639373741336035328_n.jpg,http://picbear.com/media/1634424273974371513_3681427127,November 07 2017 - 04:15,October 27 2017 - 01:56,,79,17
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639283_298499787299638_5249408255800639488_n.jpg,http://picbear.com/media/1632593038969029284_3681427127,November 07 2017 - 04:15,October 24 2017 - 13:17,<p>❤🐶❤</p>,100,15
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.121.966.966/22639535_1770093426624341_5320412676612947968_n.jpg,http://picbear.com/media/1630795967844712417_3681427127,November 07 2017 - 04:15,October 22 2017 - 01:47,<p>Acı ve hüzün geçmez birikir... iyi geceler🌒</p>,145,9
November 07 2017 - 04:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1060.1060/22637129_1961410680793248_3850842762488315904_n.jpg,http://picbear.com/media/1630771328565249774_3681427127,November 07 2017 - 04:15,October 22 2017 - 00:58,,96,7
