user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164702_1720497174640724_2912927221934981120_n.jpg,http://picbear.com/media/1638990562744747971_2878646680,November 07 2017 - 04:20,November 02 2017 - 09:08,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/fiqihwanita_"" title=""fiqihwanita_ instagram profile"">@fiqihwanita_</a> (@get_repost) ・・・ Cara agar tetap istiqomah di zaman now!  1. Berupaya untuk ""sami'na wa atho'na"", meski ibadah kita belum sepenuhnya sempurna. Namun dengan 'upaya' dalam menegakkan agama, Allah telah mencatat pahala itu sebagaimana upaya orang-orang yang berhijrah dijalan-Nya.  Sebagaimana firman Allah dalam Al-Qur'an Surah : An-Nisaa (4:100) . . . ۞ وَمَنْ يُهَاجِرْ فِي سَبِيلِ اللَّهِ يَجِدْ فِي الْأَرْضِ مُرَاغَمًا كَثِيرًا وَسَعَةً ۚ وَمَنْ يَخْرُجْ مِنْ بَيْتِهِ مُهَاجِرًا إِلَى اللَّهِ وَرَسُولِهِ ثُمَّ يُدْرِكْهُ الْمَوْتُ فَقَدْ وَقَعَ أَجْرُهُ عَلَى اللَّهِ ۗ وَكَانَ اللَّهُ غَفُورًا رَحِيمًا . . . ""Barangsiapa berhijrah di jalan Allah, niscaya mereka mendapati di muka bumi ini tempat hijrah yang luas dan rezeki yang banyak.</p>",46,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098977_378219225950638_7840387065689669632_n.jpg,http://picbear.com/media/1638869721642137206_2878646680,November 07 2017 - 04:20,November 02 2017 - 05:08,<p>Bersifat langit? innalillah😢</p>,36,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860995_1246070778870130_3911635988748697600_n.jpg,http://picbear.com/media/1638019546883167210_2878646680,November 07 2017 - 04:20,November 01 2017 - 00:59,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/kajianislam"" title=""kajianislam instagram profile"">@kajianislam</a> (@get_repost) ・・・ RENUNGAN PAGI  Sebab lemahnya kaum muslimin, di antaranya ada 2, yaitu:  1. Cinta dunia 2. Benci kematian  Follow <a href=""http://picbear.com/kajianislaam"" title=""kajianislaam instagram profile"">@kajianislaam</a> Follow <a href=""http://picbear.com/kajianislaam"" title=""kajianislaam instagram profile"">@kajianislaam</a> Follow <a href=""http://picbear.com/kajianislaam"" title=""kajianislaam instagram profile"">@kajianislaam</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/islam"" title=""posts tagged as islam"">#islam</a> <a href=""http://picbear.com/tag/kajianislam"" title=""posts tagged as kajianislam"">#kajianislam</a> <a href=""http://picbear.com/tag/renungan"" title=""posts tagged as renungan"">#renungan</a> <a href=""http://picbear.com/tag/nasihat"" title=""posts tagged as nasihat"">#nasihat</a> <a href=""http://picbear.com/tag/nasehat"" title=""posts tagged as nasehat"">#nasehat</a> <a href=""http://picbear.com/tag/cintadunia"" title=""posts tagged as cintadunia"">#cintadunia</a> <a href=""http://picbear.com/tag/bencikematian"" title=""posts tagged as bencikematian"">#bencikematian</a></p>",37,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098933_159648811297674_2360112588173344768_n.jpg,http://picbear.com/media/1637562926940104864_2878646680,November 07 2017 - 04:20,October 31 2017 - 09:52,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/fiqihwanita_"" title=""fiqihwanita_ instagram profile"">@fiqihwanita_</a> (@get_repost) ・・・ Tidak ada yang bisa menghalangi anda untuk bertaubat. Siapapun orangnya, sebesar apapun dosanya, dia berhak mandapatkan ampunan Allah dan kasih sayang-Nya, selama dia bersedia untuk bertaubat. Bahkan Allah sendiri telah menawarkan kepada seluruh hamba-Nya, terutama mereka yang telah hanyut dalam berbagai macam dosa dan maksiat, agar mereka tidak berputus asa untuk mengharapkan rahmat Allah. Katakanlah: “Hai hamba-hamba-Ku yang malampaui batas terhadap diri mereka sendiri, janganlah kamu berputus asa dari rahmat Allah. Sesungguhnya Allah mengampuni dosa-dosa semuanya. Sesungguhnya Dia-lah yang Maha Pengampun lagi Maha Penyayang. (QS. Az-Zumar: 53) - Namun untuk bisa mendapatkan rahmat dan ampunan Allah, syarat mutlak yang harus dipenuhi adalah bertaubat. Karena itu, dalam lanjutan ayat, Allah menegaskan, Bertaubatlah kamu kepada Tuhanmu, dan berserah dirilah kepada-Nya sebelum datang azab kepadamu kemudian kamu tidak dapat ditolong</p>",37,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22636987_1953659284894373_78833450408214528_n.jpg,http://picbear.com/media/1630513097760238930_2878646680,November 07 2017 - 04:20,October 21 2017 - 16:25,<p>that's right❤</p>,29,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22581873_2207510509275182_7789854121162440704_n.jpg,http://picbear.com/media/1628240640479121607_2878646680,November 07 2017 - 04:20,October 18 2017 - 13:10,"<p><a href=""http://picbear.com/tag/repost"" title=""posts tagged as repost"">#repost</a> <a href=""http://picbear.com/fiqihwanita_"" title=""fiqihwanita_ instagram profile"">@fiqihwanita_</a> (@get_repost) ・・・ Bisa kita lihat para wanita muslimah sudah biasa keluar dgn minyak wangi yang wangi semerbak bahakan ada yang dari jarak beberapa meter sudah tecium wanginya. Banyak yang TIDAK SADAR , karena perbuatan seperti ini, mereka dikatakan oleh Rasulullah shallallahu ‘alaihi wa sallam sebagai pezina . ❗Sekali lagi bukan siapa2 yang mengatakan hal ini, akan tetapi yg mengatakannya adalah Rasulullah shallallahu ‘alaihi wa sallam  dalam hadits shahih, beliau bersabda, ""Seorang perempuan yang mengenakan wewangian lalu melalui sekumpulan laki-laki agar mereka mencium bau harum yang dia pakai maka perempuan tersebut adalah seorang pelacur/pezina.”(HR. An Nasa’i, Abu Daud, Tirmidzi dan Ahmad. Syaikh Al Albani dalam Shahihul Jami’ no. 323 mengatakan bahwa hadits ini shahih) . Memang laki2 mudah sekali terpancing syahwatnya terutama para pemuda, dan jika sudah demikian bisa jadi mereka hilang konsentrasi ataupun lalai akan agamanya .</p>",37,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580340_1581419151905077_6166695381963898880_n.jpg,http://picbear.com/media/1627512258477043601_2878646680,November 07 2017 - 04:20,October 17 2017 - 13:03,<p>Ibu Bapak❤</p>,45,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22429956_884690548354414_3324890219995463680_n.jpg,http://picbear.com/media/1626028364070244535_2878646680,November 07 2017 - 04:20,October 15 2017 - 11:55,"<p>📝 Kuat Tapi Lemah  Berapa banyak orang yang kuat menempuh perjalanan jauh, tapi  tak sanggup mengayunkan dua kaki kita ke masjid.  Berapa banyak orang yang kuat mengangkat beban berat,tapi tak kuat mengangkat dua tangan seraya mengucapkan Allaahu Akbar.  Aneh Tapi Nyata.  Mereka jarang datang ke masjid  untuk sholat, tiba-tiba datang langsung di shaf depan untuk di sholatkan.  Kaum muslimin rahimakumullaah.  Kewajiban sholat 5 waktu adalah perkara yang disepakati oleh seluruh kaum muslimin, namun sangat disayangkan realitanya masih banyak  kaum muslimin yang melalaikan kewajiban ini, bahkan meninggalkannya sama sekali.  Dan tidaklah hal ini terjadi kecuali karena telah semakin jauhnya umat Islam dari tuntunan Al-Qur'an dan As-Sunnah serta bimbingan para ulama. Padahal seluruh ulama telah sepakat akan besarnya dosa meninggalkan sholat dan bahaya yang akan menimpa pelakunya di dunia dan akhirat.  Al-Imam Ibnul Qoyyim rahimahullaah berkata, . \""(Ulama) kaum muslimin tidak berbeda</p>",33,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427138_191466954730821_2980939416341577728_n.jpg,http://picbear.com/media/1623655210802810102_2878646680,November 07 2017 - 04:20,October 12 2017 - 05:20,"<p>Sabda Rasulullah saw: ""perbedaan antara hamba Allah dengan kafir ialah meninggalkan shalat.""(RIWAYAT MUSLIM)  semoga bermanfaat😊</p>",36,0
November 07 2017 - 04:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22429770_528145254194540_7701585718526607360_n.jpg,http://picbear.com/media/1623554540083075674_2878646680,November 07 2017 - 04:20,October 12 2017 - 02:00,"<p>Dari Amr Ibnu As: ""Dunia itu harta benda, dan sebaik-baiknya harta benda dunia adalah perempuan yang saleh."" (RIWAYAT MUSLIM)  Semoga bermanfaat😊</p>",48,0
