user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101562_739012342951916_8877610127096545280_n.jpg,http://picbear.com/media/1641000176364971043_3316893277,November 07 2017 - 04:05,November 05 2017 - 03:41,<p>お天気だから公園</p>,3,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164168_873544452805011_3286530853462605824_n.jpg,http://picbear.com/media/1639416115754323884_3316893277,November 07 2017 - 04:05,November 02 2017 - 23:14,"<p><a href=""http://picbear.com/tag/キュウレンジャー"" title=""posts tagged as キュウレンジャー"">#キュウレンジャー</a> <a href=""http://picbear.com/tag/なりきり"" title=""posts tagged as なりきり"">#なりきり</a> <a href=""http://picbear.com/tag/おおはまり"" title=""posts tagged as おおはまり"">#おおはまり</a></p>",6,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098740_590515531339469_5528300926374248448_n.jpg,http://picbear.com/media/1639414115649995548_3316893277,November 07 2017 - 04:05,November 02 2017 - 23:10,"<p><a href=""http://picbear.com/tag/アリオ市原"" title=""posts tagged as アリオ市原"">#アリオ市原</a> <a href=""http://picbear.com/tag/クリスマスツリー"" title=""posts tagged as クリスマスツリー"">#クリスマスツリー</a> <a href=""http://picbear.com/tag/照れ照れ"" title=""posts tagged as 照れ照れ"">#照れ照れ</a></p>",6,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580262_1462876667164102_2416718221320126464_n.jpg,http://picbear.com/media/1626694343938364267_3316893277,November 07 2017 - 04:05,October 16 2017 - 09:58,"<p><a href=""http://picbear.com/tag/東京駅"" title=""posts tagged as 東京駅"">#東京駅</a></p>",6,2
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22352250_574476086277282_6226119999715540992_n.jpg,http://picbear.com/media/1624693909182940018_3316893277,November 07 2017 - 04:05,October 13 2017 - 15:43,"<p><a href=""http://picbear.com/tag/鉄道イベント"" title=""posts tagged as 鉄道イベント"">#鉄道イベント</a><a href=""http://picbear.com/tag/横浜モアーズ"" title=""posts tagged as 横浜モアーズ"">#横浜モアーズ</a></p>",6,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984880_777455649124279_2394467013666799616_n.jpg,http://picbear.com/media/1612040473626828037_3316893277,November 07 2017 - 04:05,September 26 2017 - 04:43,,4,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20180766_467866500258569_8773277855283937280_n.jpg,http://picbear.com/media/1562990582682711967_3316893277,November 07 2017 - 04:05,July 20 2017 - 12:30,"<p><a href=""http://picbear.com/tag/練習"" title=""posts tagged as 練習"">#練習</a> <a href=""http://picbear.com/tag/真剣な顔"" title=""posts tagged as 真剣な顔"">#真剣な顔</a> <a href=""http://picbear.com/tag/でも口がとがる"" title=""posts tagged as でも口がとがる"">#でも口がとがる</a>😅</p>",9,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20067125_878012652347552_5733975485566681088_n.jpg,http://picbear.com/media/1562824194626262144_3316893277,November 07 2017 - 04:05,July 20 2017 - 06:59,<p>オモチャ売り場にて</p>,8,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.84.1080.1080/20066136_115949885702180_9150137875180814336_n.jpg,http://picbear.com/media/1559965773908455532_3316893277,November 07 2017 - 04:05,July 16 2017 - 08:20,"<p><a href=""http://picbear.com/tag/ねぞう悪い"" title=""posts tagged as ねぞう悪い"">#ねぞう悪い</a> <a href=""http://picbear.com/tag/走ってるみたい"" title=""posts tagged as 走ってるみたい"">#走ってるみたい</a> <a href=""http://picbear.com/tag/うちの子"" title=""posts tagged as うちの子"">#うちの子</a></p>",7,2
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19932673_105840506736562_3008386817163526144_n.jpg,http://picbear.com/media/1556195226062064771_3316893277,November 07 2017 - 04:05,July 11 2017 - 03:29,"<p><a href=""http://picbear.com/tag/朝のお散歩"" title=""posts tagged as 朝のお散歩"">#朝のお散歩</a>🎵</p>",9,0
November 07 2017 - 04:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984638_1931343813747164_1461726303114756096_n.jpg,http://picbear.com/media/1555524894787562995_3316893277,November 07 2017 - 04:05,July 10 2017 - 05:17,"<p><a href=""http://picbear.com/tag/湘南モノレール"" title=""posts tagged as 湘南モノレール"">#湘南モノレール</a></p>",8,2
