user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.117.937.937/22709206_1990938681182925_3995078501706235904_n.jpg,http://picbear.com/media/1632322388427167076_2019829093,November 07 2017 - 02:05,October 24 2017 - 04:20,<p>Lunes de twerk 🍑🍑👌🏽</p>,32,11
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/16906686_878899032250208_8063687556484562944_n.jpg,http://picbear.com/media/1463130509420660736_2019829093,November 07 2017 - 02:05,March 04 2017 - 17:46,<p>😜</p>,29,13
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/14515659_1264098303627271_74192682410311680_n.jpg,http://picbear.com/media/1454013745197813110_2019829093,November 07 2017 - 02:05,February 20 2017 - 03:52,<p>Eterna vida al negro.. un clásico 👌🏽</p>,36,2
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/16123701_252922245136314_7057261390569930752_n.jpg,http://picbear.com/media/1440744643226978835_2019829093,November 07 2017 - 02:05,February 01 2017 - 20:29,<p>Miércoles de sushi 👌🏽</p>,18,4
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/15877530_698733583633232_6760755037640589312_n.jpg,http://picbear.com/media/1424812149154446290_2019829093,November 07 2017 - 02:05,January 10 2017 - 20:54,<p>Verano 😍</p>,42,6
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15875843_1581666671850659_7259397334797123584_n.jpg,http://picbear.com/media/1422729277920555066_2019829093,November 07 2017 - 02:05,January 07 2017 - 23:56,<p>Sábado de trekking 👌🏽</p>,15,3
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/15623829_718820321626956_1427311503266021376_n.jpg,http://picbear.com/media/1411201350734120368_2019829093,November 07 2017 - 02:05,December 23 2016 - 02:12,<p>Viernes chico ✌🏽️🍻</p>,20,4
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/15338288_1779564862294851_7534908014977875968_n.jpg,http://picbear.com/media/1404559146347163444_2019829093,November 07 2017 - 02:05,December 13 2016 - 22:15,<p>Gordito 🐶😍</p>,25,0
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.98.1080.1080/14550143_1804563939817462_6950715827620413440_n.jpg,http://picbear.com/media/1394356238842545165_2019829093,November 07 2017 - 02:05,November 29 2016 - 20:23,<p>☀️Me derrito 😰..☀️☀️☀️</p>,34,8
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/14719683_189787488142047_141508679798095872_n.jpg,http://picbear.com/media/1371813496165953087_2019829093,November 07 2017 - 02:05,October 29 2016 - 17:55,<p>👭❤️</p>,20,1
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13774352_1037157386398436_819069855_n.jpg,http://picbear.com/media/1308992051434470888_2019829093,November 07 2017 - 02:05,August 04 2016 - 01:40,<p>Trekking de día miércoles😍</p>,17,1
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/13827424_1174403829247374_908959563_n.jpg,http://picbear.com/media/1303972121475334572_2019829093,November 07 2017 - 02:05,July 28 2016 - 03:26,<p>😍❤️</p>,16,0
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/13767660_601242236716154_253825926_n.jpg,http://picbear.com/media/1299489097895569319_2019829093,November 07 2017 - 02:05,July 21 2016 - 22:59,<p>Lo bello del trekking: sus paisajes 😍</p>,16,1
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13130058_1136674099730275_214390861_n.jpg,http://picbear.com/media/1248877856285522592_2019829093,November 07 2017 - 02:05,May 13 2016 - 03:04,"<p>Jueves <a href=""http://picbear.com/tag/sushitime"" title=""posts tagged as sushitime"">#sushitime</a> <a href=""http://picbear.com/tag/niusushi"" title=""posts tagged as niusushi"">#niusushi</a> ♡</p>",13,0
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/12627857_1549569958703644_48443954_n.jpg,http://picbear.com/media/1182083917314783885_2019829093,November 07 2017 - 02:05,February 10 2016 - 22:16,"<p>A entrenar en un caluroso dia miercoles <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/ejercicio"" title=""posts tagged as ejercicio"">#ejercicio</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/porunveranosinpolera"" title=""posts tagged as porunveranosinpolera"">#porunveranosinpolera</a> <a href=""http://picbear.com/tag/verano2016"" title=""posts tagged as verano2016"">#verano2016</a></p>",29,0
November 07 2017 - 02:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/12523538_595014783996643_895036415_n.jpg,http://picbear.com/media/1177628658643237866_2019829093,November 07 2017 - 02:05,February 04 2016 - 18:44,"<p><a href=""http://picbear.com/tag/ejercicio"" title=""posts tagged as ejercicio"">#ejercicio</a> <a href=""http://picbear.com/tag/verano2016"" title=""posts tagged as verano2016"">#verano2016</a> <a href=""http://picbear.com/tag/sinfiltro"" title=""posts tagged as sinfiltro"">#sinfiltro</a> <a href=""http://picbear.com/tag/calor"" title=""posts tagged as calor"">#calor</a> <a href=""http://picbear.com/tag/instachile"" title=""posts tagged as instachile"">#instachile</a> <a href=""http://picbear.com/tag/summer"" title=""posts tagged as summer"">#summer</a> <a href=""http://picbear.com/tag/porunveranosinpolera"" title=""posts tagged as porunveranosinpolera"">#porunveranosinpolera</a></p>",26,0
