user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164095_1334616989998535_5033850195176062976_n.jpg,http://picbear.com/media/1641272472711391297_54233342,November 07 2017 - 05:31,November 05 2017 - 12:42,"<p>Can't go wrong with some animal kingdom and best friends.  Avatar flight of passage the ride is incredible.  <a href=""http://picbear.com/tag/waltdisneyworld"" title=""posts tagged as waltdisneyworld"">#waltdisneyworld</a></p>",61,5
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c125.0.829.829/23101412_533104613710305_1710199073245495296_n.jpg,http://picbear.com/media/1640893984154241626_54233342,November 07 2017 - 05:31,November 05 2017 - 00:10,<p>Thor last night was amazing with some of the best people one can have as friends. ✌</p>,47,3
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802420_1482853948489416_2171096892862103552_n.jpg,http://picbear.com/media/1636792222296191708_54233342,November 07 2017 - 05:31,October 30 2017 - 08:20,"<p>Amazing time with these incredible people 🖤 <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/funday"" title=""posts tagged as funday"">#funday</a> <a href=""http://picbear.com/tag/celebrating"" title=""posts tagged as celebrating"">#celebrating</a> <a href=""http://picbear.com/tag/christines"" title=""posts tagged as christines"">#christines</a> <a href=""http://picbear.com/tag/birthday"" title=""posts tagged as birthday"">#birthday</a> sugar factory was replaced with <a href=""http://picbear.com/tag/shakeshack"" title=""posts tagged as shakeshack"">#shakeshack</a></p>",120,8
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709012_1781939948770197_861507956393377792_n.jpg,http://picbear.com/media/1631617020427795549_54233342,November 07 2017 - 05:31,October 23 2017 - 04:58,"<p>Some fun before the football games started earlier today. Nothing like some cardio with trampoline dodgeball,  also some drinks at twin peaks while watching football.💪 <a href=""http://picbear.com/tag/trampoline"" title=""posts tagged as trampoline"">#trampoline</a> <a href=""http://picbear.com/tag/dodgeball"" title=""posts tagged as dodgeball"">#dodgeball</a> <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a></p>",148,9
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430247_133342873982612_6067844072536539136_n.jpg,http://picbear.com/media/1625302471781379561_54233342,November 07 2017 - 05:32,October 14 2017 - 11:52,"<p>Better hiding spots this year at Halloween horror nights. Not as predictable as last year.  Great time with good people . <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a> <a href=""http://picbear.com/tag/hhn"" title=""posts tagged as hhn"">#hhn</a> <a href=""http://picbear.com/tag/universal"" title=""posts tagged as universal"">#universal</a> <a href=""http://picbear.com/tag/orlando"" title=""posts tagged as orlando"">#orlando</a></p>",157,20
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278078_382869692145103_8503247935624970240_n.jpg,http://picbear.com/media/1620978231003142218_54233342,November 07 2017 - 05:32,October 08 2017 - 12:41,"<p>Out with the guys and beautiful gal . <a href=""http://picbear.com/tag/downtown"" title=""posts tagged as downtown"">#downtown</a> <a href=""http://picbear.com/tag/laidback"" title=""posts tagged as laidback"">#laidback</a> <a href=""http://picbear.com/tag/latin"" title=""posts tagged as latin"">#latin</a> <a href=""http://picbear.com/tag/vibez"" title=""posts tagged as vibez"">#vibez</a></p>",181,12
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278054_286570885080491_822215697194024960_n.jpg,http://picbear.com/media/1620971515570121960_54233342,November 07 2017 - 05:32,October 08 2017 - 12:28,"<p>Good times, <a href=""http://picbear.com/tag/nosleep"" title=""posts tagged as nosleep"">#nosleep</a>, <a href=""http://picbear.com/tag/bbq"" title=""posts tagged as bbq"">#bbq</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a></p>",104,7
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22280804_856296541206051_5242872178864553984_n.jpg,http://picbear.com/media/1620965486618805854_54233342,November 07 2017 - 05:32,October 08 2017 - 12:16,"<p>Just a random night for me. Costume Halloween party with some really good friends. 😊💯 <a href=""http://picbear.com/tag/itslit"" title=""posts tagged as itslit"">#itslit</a> <a href=""http://picbear.com/tag/halloween"" title=""posts tagged as halloween"">#halloween</a> <a href=""http://picbear.com/tag/supermario"" title=""posts tagged as supermario"">#supermario</a>  continued drinking until almost 5 in the morning. 😁 <a href=""http://picbear.com/tag/orlando"" title=""posts tagged as orlando"">#orlando</a> <a href=""http://picbear.com/tag/drink"" title=""posts tagged as drink"">#drink</a> <a href=""http://picbear.com/tag/lit"" title=""posts tagged as lit"">#lit</a></p>",69,1
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22070947_242750719583992_7007615116271157248_n.jpg,http://picbear.com/media/1616814178286697655_54233342,November 07 2017 - 05:32,October 02 2017 - 18:48,"<p>Saddened to wake up to this unfathomably cowardly act. I want to express my heartfelt sympathy to the families of all the victims and to anybody who might have been affected by this senseless act . It's a tragedy wonderful lives were lost during a festival when people were just trying to enjoy themselves. This is absolutely horrific seeing this act of domestic terrorism.  It's a very sad day . 😔  <a href=""http://picbear.com/tag/staystrong"" title=""posts tagged as staystrong"">#staystrong</a> <a href=""http://picbear.com/tag/lasvegas"" title=""posts tagged as lasvegas"">#lasvegas</a> <a href=""http://picbear.com/tag/nevada"" title=""posts tagged as nevada"">#nevada</a></p>",116,7
November 07 2017 - 05:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22071518_177452042816675_8027979159730913280_n.jpg,http://picbear.com/media/1615878504804796366_54233342,November 07 2017 - 05:32,October 01 2017 - 11:49,"<p>Amazing evening . Spending my evening with such amazing people is incredible. <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/downtown"" title=""posts tagged as downtown"">#downtown</a> <a href=""http://picbear.com/tag/orlando"" title=""posts tagged as orlando"">#orlando</a> <a href=""http://picbear.com/tag/bbkings"" title=""posts tagged as bbkings"">#bbkings</a> <a href=""http://picbear.com/tag/aero"" title=""posts tagged as aero"">#aero</a> <a href=""http://picbear.com/tag/wallstreet"" title=""posts tagged as wallstreet"">#wallstreet</a> <a href=""http://picbear.com/tag/treehouse"" title=""posts tagged as treehouse"">#treehouse</a></p>",94,5
