user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164450_130473564324348_4513896510814945280_n.jpg,http://picbear.com/media/1642442567219921364_2080802700,November 07 2017 - 04:09,November 07 2017 - 03:27,"<p>🌆 . . . . <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/igargentina"" title=""posts tagged as igargentina"">#igargentina</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_argentina <a href=""http://picbear.com/tag/igbuenosaires"" title=""posts tagged as igbuenosaires"">#igbuenosaires</a> <a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a> <a href=""http://picbear.com/tag/cityexplorer"" title=""posts tagged as cityexplorer"">#cityexplorer</a> <a href=""http://picbear.com/tag/turistando"" title=""posts tagged as turistando"">#turistando</a> <a href=""http://picbear.com/tag/turistaenmiciudad"" title=""posts tagged as turistaenmiciudad"">#turistaenmiciudad</a> <a href=""http://picbear.com/tag/lunes"" title=""posts tagged as lunes"">#lunes</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/afternoon"" title=""posts tagged as afternoon"">#afternoon</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/microcentro"" title=""posts tagged as microcentro"">#microcentro</a> <a href=""http://picbear.com/tag/buenosairesphoto"" title=""posts tagged as buenosairesphoto"">#buenosairesphoto</a></p>",31,5
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101655_123198488348194_2509741496350015488_n.jpg,http://picbear.com/media/1637939059800002940_2080802700,November 07 2017 - 04:09,October 31 2017 - 22:19,"<p>Chusmeando ofertas en la hora de almuerzo 😜 . . . . <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/igargentina"" title=""posts tagged as igargentina"">#igargentina</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_argentina <a href=""http://picbear.com/tag/igbuenosaires"" title=""posts tagged as igbuenosaires"">#igbuenosaires</a> <a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a> <a href=""http://picbear.com/tag/cityexplorer"" title=""posts tagged as cityexplorer"">#cityexplorer</a> <a href=""http://picbear.com/tag/turistando"" title=""posts tagged as turistando"">#turistando</a> <a href=""http://picbear.com/tag/turistaenmiciudad"" title=""posts tagged as turistaenmiciudad"">#turistaenmiciudad</a> <a href=""http://picbear.com/tag/martes"" title=""posts tagged as martes"">#martes</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/afternoon"" title=""posts tagged as afternoon"">#afternoon</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/microcentro"" title=""posts tagged as microcentro"">#microcentro</a> <a href=""http://picbear.com/tag/buenosairesphoto"" title=""posts tagged as buenosairesphoto"">#buenosairesphoto</a></p>",41,0
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22794405_512915042411235_6673672514129887232_n.jpg,http://picbear.com/media/1635641119957881833_2080802700,November 07 2017 - 04:09,October 28 2017 - 18:13,"<p>Pasaje Russel . . . . <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/skygram"" title=""posts tagged as skygram"">#skygram</a> <a href=""http://picbear.com/tag/skyline"" title=""posts tagged as skyline"">#skyline</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/argentinaig"" title=""posts tagged as argentinaig"">#argentinaig</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a>_up <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a></p>",57,0
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22793711_1698721560200566_6947411644855091200_n.jpg,http://picbear.com/media/1634411668230193136_2080802700,November 07 2017 - 04:09,October 27 2017 - 01:31,"<p>Usted está aquí . . . . <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/igargentina"" title=""posts tagged as igargentina"">#igargentina</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_argentina <a href=""http://picbear.com/tag/igbuenosaires"" title=""posts tagged as igbuenosaires"">#igbuenosaires</a> <a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a> <a href=""http://picbear.com/tag/cityexplorer"" title=""posts tagged as cityexplorer"">#cityexplorer</a> <a href=""http://picbear.com/tag/turistando"" title=""posts tagged as turistando"">#turistando</a> <a href=""http://picbear.com/tag/turistaenmiciudad"" title=""posts tagged as turistaenmiciudad"">#turistaenmiciudad</a> <a href=""http://picbear.com/tag/jueves"" title=""posts tagged as jueves"">#jueves</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/afternoon"" title=""posts tagged as afternoon"">#afternoon</a> <a href=""http://picbear.com/tag/evening"" title=""posts tagged as evening"">#evening</a> <a href=""http://picbear.com/tag/microcentro"" title=""posts tagged as microcentro"">#microcentro</a> <a href=""http://picbear.com/tag/buenosairesphoto"" title=""posts tagged as buenosairesphoto"">#buenosairesphoto</a></p>",57,8
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22802562_179303459290672_2844064203096981504_n.jpg,http://picbear.com/media/1632963065494273661_2080802700,November 07 2017 - 04:09,October 25 2017 - 01:33,"<p>🌴 . . . . <a href=""http://picbear.com/tag/skyline"" title=""posts tagged as skyline"">#skyline</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/skylovers"" title=""posts tagged as skylovers"">#skylovers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/picture"" title=""posts tagged as picture"">#picture</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/ba"" title=""posts tagged as ba"">#ba</a> <a href=""http://picbear.com/tag/view"" title=""posts tagged as view"">#view</a> <a href=""http://picbear.com/tag/baires"" title=""posts tagged as baires"">#baires</a> <a href=""http://picbear.com/tag/street"" title=""posts tagged as street"">#street</a> <a href=""http://picbear.com/tag/streetphotography"" title=""posts tagged as streetphotography"">#streetphotography</a></p>",40,1
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708905_136334380348383_1393112821876654080_n.jpg,http://picbear.com/media/1630540932579280823_2080802700,November 07 2017 - 04:09,October 21 2017 - 17:20,"<p>Buen día ❤️️ . . . . <a href=""http://picbear.com/tag/coffee"" title=""posts tagged as coffee"">#coffee</a> <a href=""http://picbear.com/tag/coffemoment"" title=""posts tagged as coffemoment"">#coffemoment</a> <a href=""http://picbear.com/tag/coffeeart"" title=""posts tagged as coffeeart"">#coffeeart</a> <a href=""http://picbear.com/tag/coffeecup"" title=""posts tagged as coffeecup"">#coffeecup</a> <a href=""http://picbear.com/tag/barista"" title=""posts tagged as barista"">#barista</a> <a href=""http://picbear.com/tag/baristalife"" title=""posts tagged as baristalife"">#baristalife</a> <a href=""http://picbear.com/tag/latteart"" title=""posts tagged as latteart"">#latteart</a> <a href=""http://picbear.com/tag/lateartist"" title=""posts tagged as lateartist"">#lateartist</a> <a href=""http://picbear.com/tag/latteartgram"" title=""posts tagged as latteartgram"">#latteartgram</a> <a href=""http://picbear.com/tag/muglife"" title=""posts tagged as muglife"">#muglife</a> <a href=""http://picbear.com/tag/foodie"" title=""posts tagged as foodie"">#foodie</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/igargentina"" title=""posts tagged as igargentina"">#igargentina</a> <a href=""http://picbear.com/tag/cityexplorer"" title=""posts tagged as cityexplorer"">#cityexplorer</a> <a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/weekends"" title=""posts tagged as weekends"">#weekends</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a></p>",52,2
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499711_369139083538067_8961426370928312320_n.jpg,http://picbear.com/media/1627132294833616864_2080802700,November 07 2017 - 04:09,October 17 2017 - 00:28,"<p>Villurca . . . . <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/skygram"" title=""posts tagged as skygram"">#skygram</a> <a href=""http://picbear.com/tag/skyline"" title=""posts tagged as skyline"">#skyline</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/argentinaig"" title=""posts tagged as argentinaig"">#argentinaig</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/colours"" title=""posts tagged as colours"">#colours</a></p>",45,0
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22499819_273982173122983_2161632326834978816_n.jpg,http://picbear.com/media/1624986890771881818_2080802700,November 07 2017 - 04:09,October 14 2017 - 01:25,"<p>Viernes, 19 hs. Se abre la ventana de la oficina. . . . . <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/igers"" title=""posts tagged as igers"">#igers</a> <a href=""http://picbear.com/tag/igargentina"" title=""posts tagged as igargentina"">#igargentina</a> <a href=""http://picbear.com/tag/ig"" title=""posts tagged as ig"">#ig</a>_argentina <a href=""http://picbear.com/tag/igbuenosaires"" title=""posts tagged as igbuenosaires"">#igbuenosaires</a> <a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a> <a href=""http://picbear.com/tag/cityexplorer"" title=""posts tagged as cityexplorer"">#cityexplorer</a> <a href=""http://picbear.com/tag/turistando"" title=""posts tagged as turistando"">#turistando</a> <a href=""http://picbear.com/tag/turistaenmiciudad"" title=""posts tagged as turistaenmiciudad"">#turistaenmiciudad</a> <a href=""http://picbear.com/tag/lunes"" title=""posts tagged as lunes"">#lunes</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a> <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/skygram"" title=""posts tagged as skygram"">#skygram</a> <a href=""http://picbear.com/tag/skyline"" title=""posts tagged as skyline"">#skyline</a> <a href=""http://picbear.com/tag/skylovers"" title=""posts tagged as skylovers"">#skylovers</a></p>",77,14
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22427645_1903700699948253_3967613886655365120_n.jpg,http://picbear.com/media/1621273251275436693_2080802700,November 07 2017 - 04:09,October 08 2017 - 22:27,"<p>There is a light that never goes out . . . . <a href=""http://picbear.com/tag/sunday"" title=""posts tagged as sunday"">#sunday</a> <a href=""http://picbear.com/tag/music"" title=""posts tagged as music"">#music</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a> <a href=""http://picbear.com/tag/guitar"" title=""posts tagged as guitar"">#guitar</a> <a href=""http://picbear.com/tag/guitarra"" title=""posts tagged as guitarra"">#guitarra</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/musically"" title=""posts tagged as musically"">#musically</a> <a href=""http://picbear.com/tag/musica"" title=""posts tagged as musica"">#musica</a> <a href=""http://picbear.com/tag/thesmiths"" title=""posts tagged as thesmiths"">#thesmiths</a> <a href=""http://picbear.com/tag/picture"" title=""posts tagged as picture"">#picture</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/boyfriend"" title=""posts tagged as boyfriend"">#boyfriend</a></p>",28,0
November 07 2017 - 04:09,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221359_1116763591790375_1822813051322105856_n.jpg,http://picbear.com/media/1620479926910003106_2080802700,November 07 2017 - 04:09,October 07 2017 - 20:11,"<p>Take a <a href=""http://picbear.com/tag/wok"" title=""posts tagged as wok"">#wok</a> on the wild side . . . . <a href=""http://picbear.com/tag/food"" title=""posts tagged as food"">#food</a> <a href=""http://picbear.com/tag/foodies"" title=""posts tagged as foodies"">#foodies</a> <a href=""http://picbear.com/tag/foodiegram"" title=""posts tagged as foodiegram"">#foodiegram</a> <a href=""http://picbear.com/tag/vegan"" title=""posts tagged as vegan"">#vegan</a> <a href=""http://picbear.com/tag/vegetarianfood"" title=""posts tagged as vegetarianfood"">#vegetarianfood</a> <a href=""http://picbear.com/tag/vegetariano"" title=""posts tagged as vegetariano"">#vegetariano</a> <a href=""http://picbear.com/tag/argentina"" title=""posts tagged as argentina"">#argentina</a> <a href=""http://picbear.com/tag/argentinaig"" title=""posts tagged as argentinaig"">#argentinaig</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a> <a href=""http://picbear.com/tag/buenosaires"" title=""posts tagged as buenosaires"">#buenosaires</a>_ig <a href=""http://picbear.com/tag/buenosairescity"" title=""posts tagged as buenosairescity"">#buenosairescity</a> <a href=""http://picbear.com/tag/palermo"" title=""posts tagged as palermo"">#palermo</a> <a href=""http://picbear.com/tag/myview"" title=""posts tagged as myview"">#myview</a> <a href=""http://picbear.com/tag/shotoniphone"" title=""posts tagged as shotoniphone"">#shotoniphone</a> <a href=""http://picbear.com/tag/lunch"" title=""posts tagged as lunch"">#lunch</a> <a href=""http://picbear.com/tag/lunchtime"" title=""posts tagged as lunchtime"">#lunchtime</a></p>",47,1
