user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/22158038_1135997356543935_1384719906024456192_n.jpg,http://picbear.com/media/1617316627299561240_2867076410,November 07 2017 - 05:06,October 03 2017 - 11:26,"<p>Kegagalan atau keberhasilan sebuah proses adalah dimensi lain yang akan melahirkan pelajaran baru untuk proses selanjutnya 🎀  <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/follows"" title=""posts tagged as follows"">#follows</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instafollowers"" title=""posts tagged as instafollowers"">#instafollowers</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a> <a href=""http://picbear.com/tag/asiangirls"" title=""posts tagged as asiangirls"">#asiangirls</a> <a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/lll"" title=""posts tagged as lll"">#lll</a> <a href=""http://picbear.com/tag/ff"" title=""posts tagged as ff"">#ff</a></p>",54,3
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/22071484_120746461933369_2359930674833522688_n.jpg,http://picbear.com/media/1617314369606347563_2867076410,November 07 2017 - 05:06,October 03 2017 - 11:21,"<p>Megapa ada celah²kecil dijari manusia, karena akan ada saat nya celah kecil tersebut diisi oleh seseorang yang tepat, yang Setia menggang tanganmu dalam keadaan apa-pun 💦 . . . . <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instafollowers"" title=""posts tagged as instafollowers"">#instafollowers</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follows"" title=""posts tagged as follows"">#follows</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a> <a href=""http://picbear.com/tag/asiangirls"" title=""posts tagged as asiangirls"">#asiangirls</a></p>",65,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/22157344_308237456318209_3529406173105094656_n.jpg,http://picbear.com/media/1617311652930550695_2867076410,November 07 2017 - 05:06,October 03 2017 - 11:16,"<p>Gak semua yang kita harapin akan terwujud dan gak semua yang kita takutin itu akan terjadi 💗 . . . . . . <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follows"" title=""posts tagged as follows"">#follows</a><a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instafollowers"" title=""posts tagged as instafollowers"">#instafollowers</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a> <a href=""http://picbear.com/tag/cewek"" title=""posts tagged as cewek"">#cewek</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a></p>",44,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/21297040_145989159328254_565575076087332864_n.jpg,http://picbear.com/media/1595641978757212366_2867076410,November 07 2017 - 05:06,September 03 2017 - 13:42,<p>Senyum itu ibadah 💜</p>,47,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/21295070_131097674177345_5309378815435210752_n.jpg,http://picbear.com/media/1595641120577516750_2867076410,November 07 2017 - 05:06,September 03 2017 - 13:41,,53,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.120.960.960/21295066_787624398085879_1512445790956552192_n.jpg,http://picbear.com/media/1595639549273773399_2867076410,November 07 2017 - 05:06,September 03 2017 - 13:37,<p>Tawa terus 💦</p>,41,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c171.0.738.738/19985976_857985391019293_1229940812368838656_n.jpg,http://picbear.com/media/1556641579312479269_2867076410,November 07 2017 - 05:06,July 11 2017 - 18:15,"<p>Puncak dari kesabaran adalah saat kamu memilih diam , padahal dihatimu ada luka yang saya sedang bicara ,dan puncak dari kekuataan adalah ketika kamu  memilih tersenyum ,padahal dihati kamu ada selaksa air mata yang terbendung . . . . . <a href=""http://picbear.com/tag/follows"" title=""posts tagged as follows"">#follows</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a> <a href=""http://picbear.com/tag/pantai"" title=""posts tagged as pantai"">#pantai</a></p>",86,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c163.0.753.753/19955297_296055797471515_7315822338799304704_n.jpg,http://picbear.com/media/1556639791448508435_2867076410,November 07 2017 - 05:06,July 11 2017 - 18:12,"<p>Tak perlu berlebihan menunjukan perasaanmu dengan sedemikian cara , cukup menyakinkan dia bahwa cinta mu bukan cinta biasa 💕 . . . . . . <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a> <a href=""http://picbear.com/tag/pantai"" title=""posts tagged as pantai"">#pantai</a></p>",65,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c214.0.651.651/19955513_414731428920477_6167336818149687296_n.jpg,http://picbear.com/media/1556599346127206240_2867076410,November 07 2017 - 05:06,July 11 2017 - 16:52,"<p>Bila sedang marah lebih baik jangan berkata apa2, pergi diamkan diri . karena bila kemarahan sudah reda , kau akan menyesal dengan apa yang kau katakan . . . . . . <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/follows"" title=""posts tagged as follows"">#follows</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/likes"" title=""posts tagged as likes"">#likes</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/pantai"" title=""posts tagged as pantai"">#pantai</a> <a href=""http://picbear.com/tag/gilrs"" title=""posts tagged as gilrs"">#gilrs</a></p>",73,0
November 07 2017 - 05:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/18722868_1336792133108442_7412075888797286400_n.jpg,http://picbear.com/media/1524070053312815443_2867076410,November 07 2017 - 05:06,May 27 2017 - 19:42,"<p>Tak perlu seseorang yang sempurna . Cukup temukan orang yang selalu membuatmu bahagia dan membuatmu berarti lebih dari siapa pun. . . . . . <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/fff"" title=""posts tagged as fff"">#fff</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/instalike"" title=""posts tagged as instalike"">#instalike</a> <a href=""http://picbear.com/tag/cute"" title=""posts tagged as cute"">#cute</a> <a href=""http://picbear.com/tag/kangenrambutpanjangku"" title=""posts tagged as kangenrambutpanjangku"">#kangenrambutpanjangku</a></p>",123,0
