user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/23279915_529668950719913_2708424755022659584_n.jpg,http://picbear.com/media/1642369515538204250_189650233,November 07 2017 - 03:34,November 07 2017 - 01:02,"<p><a href=""http://picbear.com/tag/monday"" title=""posts tagged as monday"">#monday</a> <a href=""http://picbear.com/tag/motivation"" title=""posts tagged as motivation"">#motivation</a> . 🐯 . Work hard &amp; push yourself towards your goals!</p>",62,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161456_1736575756652389_5850157164127059968_n.jpg,http://picbear.com/media/1640292113962228607_189650233,November 07 2017 - 03:34,November 04 2017 - 04:14,"<p>NEW! . John Muller Media 📷 .  Please feel free, take a moment to check out my new website &amp; subscribe for some cool content and future info (link in bio) also go like my page on <a href=""http://picbear.com/tag/facebook"" title=""posts tagged as facebook"">#facebook</a> you won't regret it! (link in website) .  Still much to be developed so stay tuned &amp; look out for further updates! . Based in <a href=""http://picbear.com/tag/chicago"" title=""posts tagged as chicago"">#chicago</a> IL . Looking to create the best content possible🔥📷 DM to <a href=""http://picbear.com/tag/collab"" title=""posts tagged as collab"">#collab</a></p>",109,6
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c194.0.691.691/23099050_124241061577742_6109877972569686016_n.jpg,http://picbear.com/media/1639475732593242739_189650233,November 07 2017 - 03:34,November 03 2017 - 01:12,<p>Life in the city 📲</p>,94,6
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22711083_1843874932292833_4272064979894534144_n.jpg,http://picbear.com/media/1634518952813325624_189650233,November 07 2017 - 03:34,October 27 2017 - 05:04,<p>King Zeus 🐶</p>,82,3
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22710505_1752616084810652_8721074915802873856_n.jpg,http://picbear.com/media/1633713162523395926_189650233,November 07 2017 - 03:34,October 26 2017 - 02:23,<p>Zeus is one with the wild 🐶</p>,69,5
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639563_764527387066994_5860496198380552192_n.jpg,http://picbear.com/media/1632935185518839666_189650233,November 07 2017 - 03:34,October 25 2017 - 00:37,<p>King Zeus 🐶</p>,103,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c142.0.795.795/22499823_1176940432438482_5254408126014160896_n.jpg,http://picbear.com/media/1627301956535278994_189650233,November 07 2017 - 03:34,October 17 2017 - 06:05,<p>Chicago Drift 🚘</p>,86,6
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c170.0.740.740/22500634_753901361471942_219376634443071488_n.jpg,http://picbear.com/media/1626573388532423283_189650233,November 07 2017 - 03:34,October 16 2017 - 05:57,<p>Chicago Drift 🚘</p>,68,3
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c181.0.717.717/22499657_1161117777322994_3546104013814497280_n.jpg,http://picbear.com/media/1625853393133510583_189650233,November 07 2017 - 03:34,October 15 2017 - 06:07,<p>Chicago Drift 🚘</p>,72,5
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21373233_1423765764373650_7581100212152696832_n.jpg,http://picbear.com/media/1598943185002109212_189650233,November 07 2017 - 03:34,September 08 2017 - 03:01,"<p>""Calabasas"" Series 3/3 🔥</p>",96,9
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/21433404_1075903585874103_3759513023128010752_n.jpg,http://picbear.com/media/1598160929044046740_189650233,November 07 2017 - 03:34,September 07 2017 - 01:07,"<p>""Calabasas"" Series 2/3 📷</p>",121,10
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.59.1080.1080/21372268_114544112555000_3594282178097184768_n.jpg,http://picbear.com/media/1597343562642918593_189650233,November 07 2017 - 03:35,September 05 2017 - 22:03,"<p>""Calabasas"" Series 1/3</p>",84,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21296468_1949783325309877_3059608395272159232_n.jpg,http://picbear.com/media/1596194610983864751_189650233,November 07 2017 - 03:35,September 04 2017 - 08:00,<p>Night Moves 🌃</p>,127,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c194.0.691.691/21296067_210811329454126_2316249040662036480_n.jpg,http://picbear.com/media/1595262050908929223_189650233,November 07 2017 - 03:35,September 03 2017 - 01:07,<p>Street lights 🚥</p>,77,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c105.0.870.870/21227032_114376285933229_8050572719227404288_n.jpg,http://picbear.com/media/1594081048987589402_189650233,November 07 2017 - 03:35,September 01 2017 - 10:01,<p>All in a day's work 📷</p>,121,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c130.0.819.819/21227218_116331155699472_4403045350525370368_n.jpg,http://picbear.com/media/1593355836528786857_189650233,November 07 2017 - 03:35,August 31 2017 - 10:00,<p>Take a look around 📷</p>,87,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c204.0.672.672/21224780_736581406543239_6228651745497579520_n.jpg,http://picbear.com/media/1592573382373062356_189650233,November 07 2017 - 03:35,August 30 2017 - 08:06,<p>Push towards progress 🔝</p>,82,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c189.0.702.702/21224477_1963912317198248_8320845807049768960_n.jpg,http://picbear.com/media/1591924019036539890_189650233,November 07 2017 - 03:35,August 29 2017 - 10:35,<p>Patiently waiting.. 🚲</p>,97,5
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c115.0.850.850/21042475_126917504601873_5618362898762956800_n.jpg,http://picbear.com/media/1591151680258702534_189650233,November 07 2017 - 03:35,August 28 2017 - 09:01,<p>🏢📷</p>,104,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c131.0.817.817/21041731_308109396319342_3319730710142517248_n.jpg,http://picbear.com/media/1590470918328959695_189650233,November 07 2017 - 03:35,August 27 2017 - 10:28,<p>Stand strong 📷</p>,84,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.840.840/21107461_113614795978040_1733361277822042112_n.jpg,http://picbear.com/media/1589731885395104075_189650233,November 07 2017 - 03:35,August 26 2017 - 10:00,<p>Wabash Ave.</p>,93,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20987095_473362716353277_704388144216145920_n.jpg,http://picbear.com/media/1588977462771435274_189650233,November 07 2017 - 03:35,August 25 2017 - 09:01,<p>Make your way 📷</p>,91,3
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c155.0.770.770/21041219_268774223620892_1525726224972775424_n.jpg,http://picbear.com/media/1588252549030834306_189650233,November 07 2017 - 03:35,August 24 2017 - 09:01,<p>Pride. 🇺🇸</p>,102,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c144.0.792.792/21042409_194412887765116_4629303965685645312_n.jpg,http://picbear.com/media/1587533913534212293_189650233,November 07 2017 - 03:35,August 23 2017 - 09:13,<p>⛵</p>,123,7
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c170.0.740.740/20987132_472169449848503_6384545318741999616_n.jpg,http://picbear.com/media/1586847855616071832_189650233,November 07 2017 - 03:35,August 22 2017 - 10:30,<p>Take it easy</p>,156,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20905085_317287455341616_4606223051955109888_n.jpg,http://picbear.com/media/1586115241653456325_189650233,November 07 2017 - 03:35,August 21 2017 - 10:14,<p>Relaxing along the river 📷</p>,110,8
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c153.0.774.774/20901988_1928073550789388_5617968586405445632_n.jpg,http://picbear.com/media/1582484010667849117_189650233,November 07 2017 - 03:35,August 16 2017 - 10:00,<p>See it different 📷</p>,117,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c203.0.673.673/20836944_660440634160877_4552415310828797952_n.jpg,http://picbear.com/media/1581698987920250238_189650233,November 07 2017 - 03:35,August 15 2017 - 08:00,<p>LaSalle.</p>,81,3
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c125.0.830.830/20759278_1202021389903008_7540613269145255936_n.jpg,http://picbear.com/media/1581038484420253156_189650233,November 07 2017 - 03:35,August 14 2017 - 10:08,<p>Weekend vibes📷</p>,125,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c144.0.791.791/20686774_1701551286582367_7975536900377149440_n.jpg,http://picbear.com/media/1578830568602662908_189650233,November 07 2017 - 03:35,August 11 2017 - 09:01,<p>The time is now 📷</p>,108,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20766554_1482557411854191_807300108998672384_n.jpg,http://picbear.com/media/1578105730820875818_189650233,November 07 2017 - 03:35,August 10 2017 - 09:01,<p>Seize the opportunity 📷</p>,119,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c147.0.785.785/20687916_1919503011600395_8820502017135869952_n.jpg,http://picbear.com/media/1577351121500349015_189650233,November 07 2017 - 03:35,August 09 2017 - 08:02,<p>Stay true to yourself 📷</p>,106,3
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20635518_114771862514323_4353219765636956160_n.jpg,http://picbear.com/media/1576636177142086882_189650233,November 07 2017 - 03:35,August 08 2017 - 08:21,<p>No days off..</p>,102,5
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c172.0.735.735/20633314_134087303864732_226373539895181312_n.jpg,http://picbear.com/media/1575754832312421079_189650233,November 07 2017 - 03:35,August 07 2017 - 03:10,<p>There for you..</p>,75,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20633983_2014026265494546_8806301579650007040_n.jpg,http://picbear.com/media/1574519776583563060_189650233,November 07 2017 - 03:35,August 05 2017 - 10:16,<p>Navigate 📷</p>,112,5
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c138.0.803.803/20633793_108246389856247_4093411129408094208_n.jpg,http://picbear.com/media/1573774556271170243_189650233,November 07 2017 - 03:35,August 04 2017 - 09:36,<p>Keep it rolling 🚤</p>,104,2
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c121.0.837.837/20482242_459213727793403_1879275631993159680_n.jpg,http://picbear.com/media/1573004870264608037_189650233,November 07 2017 - 03:35,August 03 2017 - 08:06,<p>Standout in a crowd 📷</p>,106,6
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20482507_158567471380038_1433045516534415360_n.jpg,http://picbear.com/media/1572282931166330942_189650233,November 07 2017 - 03:35,August 02 2017 - 08:12,<p>Urban Explorer🚶</p>,124,1
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c136.0.808.808/20590050_1617748018244151_5593577935282896896_n.jpg,http://picbear.com/media/1571558940357232759_189650233,November 07 2017 - 03:35,August 01 2017 - 08:14,<p>Stay driven...</p>,95,7
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20347616_1337951486301992_992142285804142592_n.jpg,http://picbear.com/media/1568657623208985914_189650233,November 07 2017 - 03:35,July 28 2017 - 08:09,<p>Lost in the city 📷</p>,113,4
November 07 2017 - 03:34,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c25.0.1030.1030/20347744_468060396908264_2136516543498944512_n.jpg,http://picbear.com/media/1567930465205505822_189650233,November 07 2017 - 03:35,July 27 2017 - 08:04,<p>Timeless 🏫</p>,113,2
