user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101854_385874251831133_415199002514948096_n.jpg,http://picbear.com/media/1639577582179803167_5384771489,November 07 2017 - 02:53,November 03 2017 - 04:35,"<p>Berjuanglah seperti kupu kupu ini, walau hannya hidup sebentar dia bisa membuat keindahan.  <a href=""http://picbear.com/tag/fotohp"" title=""posts tagged as fotohp"">#fotohp</a><a href=""http://picbear.com/tag/binatang"" title=""posts tagged as binatang"">#binatang</a><a href=""http://picbear.com/tag/kupukupu"" title=""posts tagged as kupukupu"">#kupukupu</a> <a href=""http://picbear.com/tag/mahlukciptaanallah"" title=""posts tagged as mahlukciptaanallah"">#mahlukciptaanallah</a> <a href=""http://picbear.com/tag/keindahan"" title=""posts tagged as keindahan"">#keindahan</a> <a href=""http://picbear.com/tag/alamdisekitarkita"" title=""posts tagged as alamdisekitarkita"">#alamdisekitarkita</a> <a href=""http://picbear.com/tag/islamituindah"" title=""posts tagged as islamituindah"">#islamituindah</a> <a href=""http://picbear.com/tag/jagalahalam"" title=""posts tagged as jagalahalam"">#jagalahalam</a></p>",40,1
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164003_143052109779757_2877479967782862848_n.jpg,http://picbear.com/media/1639243313012134060_5384771489,November 07 2017 - 02:53,November 02 2017 - 17:30,"<p>Jadilah seperti belalang, dia selalu melompati apa yg dia tidak bisa lompati, walaupun sulit baginya tapi dia truss berusaha, karna berusaha membuat ia bisa melakukan apapun yg dia inginkan. by:msb  <a href=""http://picbear.com/tag/binatang"" title=""posts tagged as binatang"">#binatang</a><a href=""http://picbear.com/tag/alam"" title=""posts tagged as alam"">#alam</a><a href=""http://picbear.com/tag/dedaunan"" title=""posts tagged as dedaunan"">#dedaunan</a><a href=""http://picbear.com/tag/fotografi"" title=""posts tagged as fotografi"">#fotografi</a><a href=""http://picbear.com/tag/pencintaalam"" title=""posts tagged as pencintaalam"">#pencintaalam</a><a href=""http://picbear.com/tag/keindahan"" title=""posts tagged as keindahan"">#keindahan</a><a href=""http://picbear.com/tag/nasehat"" title=""posts tagged as nasehat"">#nasehat</a><a href=""http://picbear.com/tag/mahlukciptaanallah"" title=""posts tagged as mahlukciptaanallah"">#mahlukciptaanallah</a><a href=""http://picbear.com/tag/rindu"" title=""posts tagged as rindu"">#rindu</a></p>",58,5
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22280572_1999073590374712_1175060776822505472_n.jpg,http://picbear.com/media/1621584085791359107_5384771489,November 07 2017 - 02:54,October 09 2017 - 08:45,"<p>Cinta yg baik itu? Cinta yg selalu bisa mengerti satu sama lain terhadap suatu apapun,dan burusahalah untuk mengerti dengan apapun yg terjadi😍😘😙. <a href=""http://picbear.com/tag/cintaanksmk"" title=""posts tagged as cintaanksmk"">#cintaanksmk</a> <a href=""http://picbear.com/tag/harmonisdanromantis"" title=""posts tagged as harmonisdanromantis"">#harmonisdanromantis</a>😙</p>",82,4
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c130.0.780.780/22221344_1656025327761280_7092200653170147328_n.jpg,http://picbear.com/media/1620733541589948579_5384771489,November 07 2017 - 02:54,October 08 2017 - 04:35,"<p>Cintailah seseorang yg kamu sayangi,karna sebuah Cinta itu membutuhkan perjuangan. 😍😘😊</p>",65,1
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c182.0.715.715/20688410_100408854018517_1537458928869179392_n.jpg,http://picbear.com/media/1579098453161536539_5384771489,November 07 2017 - 02:54,August 11 2017 - 17:53,"<p>masa dimana kita sedang menjalani kehidupan kehidupan yg paling menyenangkan - - - <a href=""http://picbear.com/tag/anksekolahan"" title=""posts tagged as anksekolahan"">#anksekolahan</a><a href=""http://picbear.com/tag/smk"" title=""posts tagged as smk"">#smk</a><a href=""http://picbear.com/tag/letris2"" title=""posts tagged as letris2"">#letris2</a><a href=""http://picbear.com/tag/bandelbandelnya"" title=""posts tagged as bandelbandelnya"">#bandelbandelnya</a><a href=""http://picbear.com/tag/temen"" title=""posts tagged as temen"">#temen</a> seperjuangan#putih#abuabu#2018</p>",81,0
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20181250_1507417692653112_2943029359222456320_n.jpg,http://picbear.com/media/1561716979445700565_5384771489,November 07 2017 - 02:54,July 18 2017 - 18:19,"<p>Karena hanya ada satu pilihan diantara wanita wanita lain, Wanita yg selalu bersama ku, wanita yg selalu menuntun kejalan yg benar, Tapi Ent Dia memaksakan diri untuk bercinta dengan orang lain, walaupun Aku tau Hati mu Tak luput dari ku,Hati yg selalu Rindu pada ku! Hati yg selalu Cemas padaku!! Tapi Maafkanlah aku! Karna Aku lebih memilih pergi menjauh dari mu.!! Dan aku pun akan pecah seperti balon. wkwkwkw  <a href=""http://picbear.com/tag/makrabmi"" title=""posts tagged as makrabmi"">#makrabmi</a><a href=""http://picbear.com/tag/wanitaberhijap"" title=""posts tagged as wanitaberhijap"">#wanitaberhijap</a><a href=""http://picbear.com/tag/islamituindah"" title=""posts tagged as islamituindah"">#islamituindah</a><a href=""http://picbear.com/tag/senyumituibadah"" title=""posts tagged as senyumituibadah"">#senyumituibadah</a><a href=""http://picbear.com/tag/remajakreatif"" title=""posts tagged as remajakreatif"">#remajakreatif</a><a href=""http://picbear.com/tag/cinta"" title=""posts tagged as cinta"">#cinta</a><a href=""http://picbear.com/tag/saung"" title=""posts tagged as saung"">#saung</a>_gembira<a href=""http://picbear.com/tag/kerinduan"" title=""posts tagged as kerinduan"">#kerinduan</a><a href=""http://picbear.com/tag/fusion"" title=""posts tagged as fusion"">#fusion</a><a href=""http://picbear.com/tag/hitamputih"" title=""posts tagged as hitamputih"">#hitamputih</a><a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a><a href=""http://picbear.com/tag/anksekolahan"" title=""posts tagged as anksekolahan"">#anksekolahan</a><a href=""http://picbear.com/tag/suksess"" title=""posts tagged as suksess"">#suksess</a><a href=""http://picbear.com/tag/amin"" title=""posts tagged as amin"">#amin</a></p>",103,6
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436992_133152480599349_4933642350393032704_n.jpg,http://picbear.com/media/1548466224089621516_5384771489,November 07 2017 - 02:54,June 30 2017 - 11:33,"<p>Walau kami hanya bertujuh tapi kami tidak akan gentar akan hal hal sepele sesulit apapun itu kami tak akan mundur. <a href=""http://picbear.com/tag/saung"" title=""posts tagged as saung"">#saung</a>_gembira <a href=""http://picbear.com/tag/pantaisambolo"" title=""posts tagged as pantaisambolo"">#pantaisambolo</a> <a href=""http://picbear.com/tag/islamituindah"" title=""posts tagged as islamituindah"">#islamituindah</a> <a href=""http://picbear.com/tag/temensejalan"" title=""posts tagged as temensejalan"">#temensejalan</a> <a href=""http://picbear.com/tag/tourmendadak"" title=""posts tagged as tourmendadak"">#tourmendadak</a> #keindahanalam#banyaknyabintang#pemandanganygsejuk#ruangrindu.</p>",91,2
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19436668_1765782043714056_5821389653567078400_n.jpg,http://picbear.com/media/1547734234633746438_5384771489,November 07 2017 - 02:54,June 29 2017 - 11:18,"<p>Ketahuilah bahwa kita tersenyum bukan karna bahagia saja,Melainkan ada satuhal yg tidak akan anda ketahuin :) <a href=""http://picbear.com/tag/bagroundnyabagus"" title=""posts tagged as bagroundnyabagus"">#bagroundnyabagus</a> <a href=""http://picbear.com/tag/thincookcook"" title=""posts tagged as thincookcook"">#thincookcook</a> <a href=""http://picbear.com/tag/izy"" title=""posts tagged as izy"">#izy</a> <a href=""http://picbear.com/tag/saung"" title=""posts tagged as saung"">#saung</a>_gembira <a href=""http://picbear.com/tag/senyum"" title=""posts tagged as senyum"">#senyum</a><a href=""http://picbear.com/tag/ibadah"" title=""posts tagged as ibadah"">#ibadah</a></p>",86,2
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18950176_451935045199006_3564391580833939456_n.jpg,http://picbear.com/media/1534682448226214717_5384771489,November 07 2017 - 02:54,June 11 2017 - 11:07,"<p>Saat tumbuh dewasa aku lebih mengerti apa yg sudah aku lakukan dulu sangat mengecewakan;-) =)) \=d/  #pr.msb199 <a href=""http://picbear.com/tag/sgb"" title=""posts tagged as sgb"">#sgb</a>_272 <a href=""http://picbear.com/tag/memikirkanapaygharustidakdifikirkan"" title=""posts tagged as memikirkanapaygharustidakdifikirkan"">#memikirkanapaygharustidakdifikirkan</a></p>",92,0
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18888666_1857542591166517_245110532292476928_n.jpg,http://picbear.com/media/1532255493380030899_5384771489,November 07 2017 - 02:54,June 08 2017 - 02:45,"<p>Aku baru menyadari bahwa segala suara suara dapat meningkatkan bahan penuh makna -penghibur dan penenang hati <a href=""http://picbear.com/tag/sgb"" title=""posts tagged as sgb"">#sgb</a>_272</p>",93,0
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/18808833_1187112191400754_9151175225746915328_n.jpg,http://picbear.com/media/1528262414947966326_5384771489,November 07 2017 - 02:54,June 02 2017 - 14:31,"<p>Walau hannya sekedar cat bekas!!!! Kami mampu berkarya!!!! Masalah jelek balakangan yg penting hasil karya sendiri,nah disitulah yg dinamakan seni😉 <a href=""http://picbear.com/tag/maklumcatnyahabisjadikayaginigambarnya"" title=""posts tagged as maklumcatnyahabisjadikayaginigambarnya"">#maklumcatnyahabisjadikayaginigambarnya</a></p>",92,0
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/18580618_168080757057859_8911951491594452992_n.jpg,http://picbear.com/media/1519738387627293669_5384771489,November 07 2017 - 02:54,May 21 2017 - 20:15,<p>Gunung salak+Bogor☺</p>,96,0
November 07 2017 - 02:53,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/18160402_1447176448658882_879783033647923200_n.jpg,http://picbear.com/media/1502942172176896750_5384771489,November 07 2017 - 02:54,April 28 2017 - 16:04,"<p>Sitiap manusia memiliki pasangannya masing masing😀😊 <a href=""http://picbear.com/tag/youknowlah"" title=""posts tagged as youknowlah"">#youknowlah</a></p>",100,0
