user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c108.0.863.863/23279533_1194541450679590_3247131829966209024_n.jpg,http://picbear.com/media/1642371144228501211_1665082678,November 07 2017 - 02:48,November 07 2017 - 01:05,"<p>Sometimes all she wants is some flowers in a box. 🌼🎁 <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a> <a href=""http://picbear.com/tag/eventplanner"" title=""posts tagged as eventplanner"">#eventplanner</a> <a href=""http://picbear.com/tag/dmv"" title=""posts tagged as dmv"">#dmv</a> <a href=""http://picbear.com/tag/dallas"" title=""posts tagged as dallas"">#dallas</a> <a href=""http://picbear.com/tag/newyork"" title=""posts tagged as newyork"">#newyork</a></p>",8,0
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23348234_124250928255645_5980251238191595520_n.jpg,http://picbear.com/media/1642346046477871313_1665082678,November 07 2017 - 02:48,November 07 2017 - 00:15,"<p>I just love flowers ...Don’t you💁🏽 BOOK ME NOW for all your unique floral arrangement needs. <a href=""http://picbear.com/tag/flowerstagram"" title=""posts tagged as flowerstagram"">#flowerstagram</a> <a href=""http://picbear.com/tag/bloggers"" title=""posts tagged as bloggers"">#bloggers</a> <a href=""http://picbear.com/tag/eventplanner"" title=""posts tagged as eventplanner"">#eventplanner</a> <a href=""http://picbear.com/tag/designs"" title=""posts tagged as designs"">#designs</a> <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a> <a href=""http://picbear.com/tag/bosslady"" title=""posts tagged as bosslady"">#bosslady</a> <a href=""http://picbear.com/tag/collaboration"" title=""posts tagged as collaboration"">#collaboration</a> <a href=""http://picbear.com/tag/branddesign"" title=""posts tagged as branddesign"">#branddesign</a> <a href=""http://picbear.com/tag/floralarrangement"" title=""posts tagged as floralarrangement"">#floralarrangement</a> <a href=""http://picbear.com/tag/potomacmd"" title=""posts tagged as potomacmd"">#potomacmd</a></p>",8,0
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164067_124677661537362_8045581430358540288_n.jpg,http://picbear.com/media/1642215786956488376_1665082678,November 07 2017 - 02:48,November 06 2017 - 19:56,"<p>If you wake up every morning hating what you do...then it’s time for a change. I realized that I wasn’t a 9-5 type of woman and I hated being confined to other people schedule and rules so I decided to take a leap of faith and rather than invest my time in someone else company I’ll just invest in mine. HAPPY MONDAY EVERYONE!!!!! Have a great and productive week. <a href=""http://picbear.com/tag/monday"" title=""posts tagged as monday"">#monday</a> <a href=""http://picbear.com/tag/bloggers"" title=""posts tagged as bloggers"">#bloggers</a> <a href=""http://picbear.com/tag/bosslady"" title=""posts tagged as bosslady"">#bosslady</a> <a href=""http://picbear.com/tag/entrepreneur"" title=""posts tagged as entrepreneur"">#entrepreneur</a> <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a></p>",8,1
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279372_1895851347395427_2478407553852112896_n.jpg,http://picbear.com/media/1641597175745218069_1665082678,November 07 2017 - 02:48,November 05 2017 - 23:27,"<p><a href=""http://picbear.com/tag/sundaypost"" title=""posts tagged as sundaypost"">#sundaypost</a> <a href=""http://picbear.com/tag/motivationalquotes"" title=""posts tagged as motivationalquotes"">#motivationalquotes</a> <a href=""http://picbear.com/tag/beu"" title=""posts tagged as beu"">#beu</a></p>",10,1
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23163986_130379164291963_7841478232195989504_n.jpg,http://picbear.com/media/1641005040499283081_1665082678,November 07 2017 - 02:48,November 05 2017 - 03:51,"<p>I’ve always knew that an ordinary life...simply wasn’t enough for me.. 🤷🏾‍♀️#eventcoordinator <a href=""http://picbear.com/tag/prettyvenue"" title=""posts tagged as prettyvenue"">#prettyvenue</a> <a href=""http://picbear.com/tag/happiness"" title=""posts tagged as happiness"">#happiness</a> <a href=""http://picbear.com/tag/extraordinarylife"" title=""posts tagged as extraordinarylife"">#extraordinarylife</a> <a href=""http://picbear.com/tag/bossbae"" title=""posts tagged as bossbae"">#bossbae</a> <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a></p>",16,0
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c4.0.1071.1071/23164256_816656961847516_7723762034835193856_n.jpg,http://picbear.com/media/1640753672303693121_1665082678,November 07 2017 - 02:48,November 04 2017 - 19:31,"<p>DONT FORGET!!!The holidays are right around the corner build a personalized for gift basket for that special person!!! Book a FREE consultation to discuss how I can fulfill your holiday needs (holiday parties, holiday gifts, holiday decor, holiday marketing materials)BOOK NOW spaces are filling up quickly.  <a href=""http://picbear.com/tag/holidayfun"" title=""posts tagged as holidayfun"">#holidayfun</a> <a href=""http://picbear.com/tag/holidaygifts"" title=""posts tagged as holidaygifts"">#holidaygifts</a> <a href=""http://picbear.com/tag/thanksgiving"" title=""posts tagged as thanksgiving"">#thanksgiving</a> <a href=""http://picbear.com/tag/christmas"" title=""posts tagged as christmas"">#christmas</a> <a href=""http://picbear.com/tag/hohoho"" title=""posts tagged as hohoho"">#hohoho</a> <a href=""http://picbear.com/tag/bloggerstyle"" title=""posts tagged as bloggerstyle"">#bloggerstyle</a> <a href=""http://picbear.com/tag/prettylittlething"" title=""posts tagged as prettylittlething"">#prettylittlething</a> <a href=""http://picbear.com/tag/giftbox"" title=""posts tagged as giftbox"">#giftbox</a> <a href=""http://picbear.com/tag/giftbaskets"" title=""posts tagged as giftbaskets"">#giftbaskets</a> <a href=""http://picbear.com/tag/designs"" title=""posts tagged as designs"">#designs</a> <a href=""http://picbear.com/tag/eventcoordinator"" title=""posts tagged as eventcoordinator"">#eventcoordinator</a> <a href=""http://picbear.com/tag/eventplanner"" title=""posts tagged as eventplanner"">#eventplanner</a> <a href=""http://picbear.com/tag/beanddesign"" title=""posts tagged as beanddesign"">#beanddesign</a> <a href=""http://picbear.com/tag/decor"" title=""posts tagged as decor"">#decor</a></p>",19,0
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101675_283489088838691_4283811131333541888_n.jpg,http://picbear.com/media/1640117600054133197_1665082678,November 07 2017 - 02:48,November 03 2017 - 22:27,"<p><a href=""http://picbear.com/tag/growthmindset"" title=""posts tagged as growthmindset"">#growthmindset</a></p>",6,0
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164161_133210497295372_7433362760328544256_n.jpg,http://picbear.com/media/1640088891536388833_1665082678,November 07 2017 - 02:48,November 03 2017 - 21:30,"<p>Mason Jar: $2-5 Fake flowers : $2  Creativity: Priceless BOOK my SERVICES and I’ll teach you how to be fancy on a budget ☺️ HAPPY FRIDAY  <a href=""http://picbear.com/tag/diys"" title=""posts tagged as diys"">#diys</a> <a href=""http://picbear.com/tag/eventcoordinator"" title=""posts tagged as eventcoordinator"">#eventcoordinator</a> <a href=""http://picbear.com/tag/eventplanner"" title=""posts tagged as eventplanner"">#eventplanner</a> <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a> <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a></p>",16,1
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164492_184481708790967_2660678415341846528_n.jpg,http://picbear.com/media/1640018592400682355_1665082678,November 07 2017 - 02:48,November 03 2017 - 19:11,"<p>Fridays are for business meetings and cute drinks 💁🏽 <a href=""http://picbear.com/tag/businessowners"" title=""posts tagged as businessowners"">#businessowners</a> <a href=""http://picbear.com/tag/friyay"" title=""posts tagged as friyay"">#friyay</a> <a href=""http://picbear.com/tag/giveaways"" title=""posts tagged as giveaways"">#giveaways</a> <a href=""http://picbear.com/tag/eventcoordinator"" title=""posts tagged as eventcoordinator"">#eventcoordinator</a> <a href=""http://picbear.com/tag/eventplanners"" title=""posts tagged as eventplanners"">#eventplanners</a> <a href=""http://picbear.com/tag/branddesigns"" title=""posts tagged as branddesigns"">#branddesigns</a> <a href=""http://picbear.com/tag/liadisdesigns"" title=""posts tagged as liadisdesigns"">#liadisdesigns</a> <a href=""http://picbear.com/tag/collaborations"" title=""posts tagged as collaborations"">#collaborations</a></p>",23,2
November 07 2017 - 02:48,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23279549_1905066393078219_3835087791654436864_n.jpg,http://picbear.com/media/1639495820247557535_1665082678,November 07 2017 - 02:48,November 03 2017 - 01:52,"<p>FREEE GIVEWAY....go watch my latest video and read how to participate in this giveaway!!!!! Ends November 7th at 8PM <a href=""http://picbear.com/tag/bridestobe"" title=""posts tagged as bridestobe"">#bridestobe</a> <a href=""http://picbear.com/tag/partyplanner"" title=""posts tagged as partyplanner"">#partyplanner</a> <a href=""http://picbear.com/tag/eventplanner"" title=""posts tagged as eventplanner"">#eventplanner</a> <a href=""http://picbear.com/tag/weddings"" title=""posts tagged as weddings"">#weddings</a> <a href=""http://picbear.com/tag/weddingprops"" title=""posts tagged as weddingprops"">#weddingprops</a></p>",18,1
