user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22639445_301907936953523_4365355565098991616_n.jpg,http://picbear.com/media/1627251831984736360_25025320,October 17 2017 - 16:38,October 17 2017 - 04:25,"<p>Photo by <a href=""http://picbear.com/kutovakika"" title=""kutovakika instagram profile"">@kutovakika</a> “Fragmented” was the word that came to mind for Veronika (@kutovakika) when describing her day-to-day life. “Thus, a picture of a puzzle,” she writes in her caption. “Every day might not be a dance on roses, but sometimes the puzzle comes together just right.” 🌹 <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",600731,2934
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582200_217476572125531_3969058361466421248_n.jpg,http://picbear.com/media/1627177261059640059_25025320,October 17 2017 - 16:38,October 17 2017 - 01:57,"<p>Photo by <a href=""http://picbear.com/its_me_zazie"" title=""its_me_zazie instagram profile"">@its_me_zazie</a> Lines from a poem by Australian poet Erin Hanson provide daily inspiration for Alessandra (@its_me_zazie) and her children: “And you ask, ‘What if I fall?’/ Oh, but my darling,/ What if you fly?” 🕊 <a href=""http://picbear.com/tag/whpmyeveryday"" title=""posts tagged as whpmyeveryday"">#whpmyeveryday</a></p>",762652,2605
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580313_121197811909097_4334938168622055424_n.jpg,http://picbear.com/media/1627154498966092970_25025320,October 17 2017 - 16:38,October 17 2017 - 01:12,"<p>Photo by <a href=""http://picbear.com/vineet_vohra"" title=""vineet_vohra instagram profile"">@vineet_vohra</a> Every morning for the past five years, photographer Vineet Vohra (@vineet_vohra) visits the bus terminal to observe “different people, buses, changes of weather and changes of mood.” 🚌 Follow along to see more of our favorites from last weekend’s hashtag project, #whpmyeveryday.</p>",331206,1279
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430397_124657868240648_5644062243600465920_n.jpg,http://picbear.com/media/1627047818328743516_25025320,October 17 2017 - 16:38,October 16 2017 - 21:40,"<p>Photo by <a href=""http://picbear.com/milkwood_permaculture"" title=""milkwood_permaculture instagram profile"">@milkwood_permaculture</a> From the golden pellets of sprouted grain they feed their chickens to the ingredients that make it to their kitchen table for supper, nearly every bite of food Kirsten Bradley and her family eats is grown on the sustainable farm where they live in Victoria, Australia. “Homegrown food tends to be very delicious,” she says. Kirsten is part of Milkwood (@milkwood_permaculture), a school where people can learn how to build sustainable farm systems. Along with an extended community of educators, Milkwood offers courses on everything from natural beekeeping and mushroom cultivation to biointensive growing, an organic vegetable growing method designed to maximize harvest in small spaces. Soon it’ll be growing season in Australia, so Kirsten's family is busy planting tomato, pepper and eggplant seedlings and making sure the bees pollinate their fruit trees in hopes of a big summer bounty. And then? They wait. “Growing of food is not an instant process,</p>",874660,3635
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22430074_724364277757217_7058150594829090816_n.jpg,http://picbear.com/media/1626372597552670972_25025320,October 17 2017 - 16:38,October 15 2017 - 23:19,"<p>Photo by <a href=""http://picbear.com/kyyyyyyyyyyyyyyyyyyyyle"" title=""kyyyyyyyyyyyyyyyyyyyyle instagram profile"">@kyyyyyyyyyyyyyyyyyyyyle</a> Round and round we go. 🌀 <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",693238,4976
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430149_745057929027291_8750594243208151040_n.jpg,http://picbear.com/media/1626358010619039424_25025320,October 17 2017 - 16:38,October 15 2017 - 22:50,"<p>Photo by <a href=""http://picbear.com/ayane7628"" title=""ayane7628 instagram profile"">@ayane7628</a> It only took 20 or so jumps for Ayane Motomitsu (@ayane7628) to perfect her form in front of this art exhibit in Japan. 🏊‍♀️ <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",1111288,3897
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22430511_164283767487996_5176805046297296896_n.jpg,http://picbear.com/media/1626322484276801726_25025320,October 17 2017 - 16:38,October 15 2017 - 21:39,"<p>Photo by <a href=""http://picbear.com/cocodavez"" title=""cocodavez instagram profile"">@cocodavez</a> Artist Coco Dávez’s (@cocodavez) “faceless faces” give pop culture icons a new feel. “I started with a portrait of Patti Smith. I was going to throw it away, but before doing that, I had so much paint left over that I did a brushstroke on the face to fill in all of that,” says the artist from Madrid of discovering her signature style. “A lightbulb went off.” When she was 21, Coco went to live in London with the intention of studying photography, but painting still called to her. Her inspiration? “Artists from the 20th century like Jackson Pollock, Alexander Calder and David Hockney.” Get to know Coco’s world and colorful style on today’s Instagram story. 🎨</p>",807741,3222
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500103_1636347496439875_6518687103130271744_n.jpg,http://picbear.com/media/1625646279156368440_25025320,October 17 2017 - 16:38,October 14 2017 - 23:15,"<p>Photo by <a href=""http://picbear.com/bakedbymelissa"" title=""bakedbymelissa instagram profile"">@bakedbymelissa</a> Melissa Ben-Ishay transformed her passion into her livelihood — but it only happened after she came up against some tough times. “In the summer of 2008, I was fired from my job in advertising,” says the 33-year-old from New York City. “Instead of feeling sorry for myself, I went home and I baked four batches of cupcakes (s’more, peanut butter cup, cookie dough and tie-dye).” The very next day, her best friend’s sister shared the treats at the public relations agency where she worked, and the right connections were made. “The rest is history!” says Melissa, who is the president and chief product officer of @bakedbymelissa. The company currently has 13 retail locations in the US plus a nationwide shipping operation. “There is no better way to learn than through experience and by surrounding yourself with people who have skills that you don’t,” says Melissa of her team. “The opportunity to collaborate with hardworking, passionate,</p>",973515,7698
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427172_230559170808785_5093865658693713920_n.jpg,http://picbear.com/media/1625392171979643561_25025320,October 17 2017 - 16:38,October 14 2017 - 14:51,"<p>Photo by <a href=""http://picbear.com/jonathaspassoss"" title=""jonathaspassoss instagram profile"">@jonathaspassoss</a> Flowers brighten up the weekend in Brazil. 💐 <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",928210,4976
October 17 2017 - 16:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430556_364432017340521_2937147762287837184_n.jpg,http://picbear.com/media/1625363704332432996_25025320,October 17 2017 - 16:38,October 14 2017 - 13:54,"<p>Photo by <a href=""http://picbear.com/carlos_oses79"" title=""carlos_oses79 instagram profile"">@carlos_oses79</a> One of these things is not like the other… 🐑 <a href=""http://picbear.com/tag/theweekoninstagram"" title=""posts tagged as theweekoninstagram"">#theweekoninstagram</a></p>",916360,3796
