user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22793852_146912245828987_7371261768066138112_n.jpg,http://picbear.com/media/1632815947981108960_5926026595,November 06 2017 - 20:32,October 24 2017 - 20:40,<p>Найди Арнольда))))👍</p>,16,2
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373448_278869565945263_4217411916189925376_n.jpg,http://picbear.com/media/1596472543382917449_5926026595,November 06 2017 - 20:32,September 04 2017 - 17:12,,23,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107352_1911892825739224_4034134327250911232_n.jpg,http://picbear.com/media/1588452555564925255_5926026595,November 06 2017 - 20:32,August 24 2017 - 15:38,,55,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041381_129975554302031_7020838676330446848_n.jpg,http://picbear.com/media/1588428312882139693_5926026595,November 06 2017 - 20:32,August 24 2017 - 14:50,,12,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21040911_113741759292667_730550834420514816_n.jpg,http://picbear.com/media/1588427352780652545_5926026595,November 06 2017 - 20:32,August 24 2017 - 14:48,,8,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c140.0.800.800/20969372_132818973995411_240804363721768960_n.jpg,http://picbear.com/media/1588278994082691169_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:53,<p>👌</p>,8,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041205_154837988429545_6782101961404579840_n.jpg,http://picbear.com/media/1588277442609573415_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:50,<p>👣👣</p>,16,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041341_1667209353290326_8816969690002751488_n.jpg,http://picbear.com/media/1588276481023340615_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:48,<p>💞💖</p>,8,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20986925_1598827770184951_168717787244527616_n.jpg,http://picbear.com/media/1588269777300936780_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:35,<p>:)</p>,9,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20968931_1963451923894523_1956981022125981696_n.jpg,http://picbear.com/media/1588269165922483538_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:34,<p>ヽ(*·ω·)ﾉ</p>,4,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987084_1102450533223396_6169192544669270016_n.jpg,http://picbear.com/media/1588268016381042552_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:32,<p>:-P</p>,5,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987121_168183663741113_7996025109854814208_n.jpg,http://picbear.com/media/1588266312319151687_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:28,<p></p>,6,0
November 06 2017 - 20:31,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20987170_122630348312190_504233764755341312_n.jpg,http://picbear.com/media/1588264686875439120_5926026595,November 06 2017 - 20:32,August 24 2017 - 09:25,<p>(^ω^)</p>,10,0
