user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23101205_354900728288991_4351210421022097408_n.jpg,http://picbear.com/media/1638991449973138530_2265106111,November 06 2017 - 20:19,November 02 2017 - 09:10,<p>Let's get high🌲🍃</p>,232,6
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22352182_489003701481456_7966412723393134592_n.jpg,http://picbear.com/media/1625593278630726489_2265106111,November 06 2017 - 20:19,October 14 2017 - 21:30,"<p>Karena senja lebih tau cara berpamitan, memang singkat tapi dinantikan banyak orang.  <a href=""http://picbear.com/andirifkybani"" title=""andirifkybani instagram profile"">@andirifkybani</a></p>",200,2
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/22157828_817211481792604_6735219348236926976_n.jpg,http://picbear.com/media/1616372345462552869_2265106111,November 06 2017 - 20:19,October 02 2017 - 04:10,<p>1 2 3 cekrek📷</p>,219,4
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19931834_1261900577253481_4577016303679700992_n.jpg,http://picbear.com/media/1555191333508870398_2265106111,November 06 2017 - 20:19,July 09 2017 - 18:14,,235,0
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.88.707.707/19429358_1966589276961524_8635066250080288768_n.jpg,http://picbear.com/media/1545761628615494083_2265106111,November 06 2017 - 20:19,June 26 2017 - 17:59,"<p>🌲🌳🌿 <a href=""http://picbear.com/tag/whp"" title=""posts tagged as whp"">#whp</a> <a href=""http://picbear.com/tag/whpcolorplay"" title=""posts tagged as whpcolorplay"">#whpcolorplay</a> <a href=""http://picbear.com/tag/whpcolorstudy"" title=""posts tagged as whpcolorstudy"">#whpcolorstudy</a> <a href=""http://picbear.com/tag/whpnaturalbeauty"" title=""posts tagged as whpnaturalbeauty"">#whpnaturalbeauty</a></p>",253,0
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18722438_123639234880177_1525168544944226304_n.jpg,http://picbear.com/media/1526371421956958309_2265106111,November 06 2017 - 20:19,May 30 2017 - 23:54,<p>Stay light as your life✨</p>,243,1
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/18380953_295717067550270_2697880051965231104_n.jpg,http://picbear.com/media/1510223109746942668_2265106111,November 06 2017 - 20:19,May 08 2017 - 17:10,<p>Feel enjoy-</p>,275,2
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c145.0.790.790/17493516_170092193511285_795615315462455296_n.jpg,http://picbear.com/media/1479725023417427272_2265106111,November 06 2017 - 20:19,March 27 2017 - 15:16,<p>Lastceremony Smansa Viberous17-</p>,191,2
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/16585662_957058164424228_590795261488398336_n.jpg,http://picbear.com/media/1453593236039554749_2265106111,November 06 2017 - 20:19,February 19 2017 - 13:57,<p>Forge the future-</p>,225,4
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/16583538_638486406337487_4525798986178625536_n.jpg,http://picbear.com/media/1447075008979348016_2265106111,November 06 2017 - 20:19,February 10 2017 - 14:06,"<p>and now, i feel that is will be fine-</p>",134,4
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/16464641_256450398111059_5252683387407171584_n.jpg,http://picbear.com/media/1442082598687609231_2265106111,November 06 2017 - 20:19,February 03 2017 - 16:47,"<p>Every togetherness will end, but the happines will remain in wonderful memories-</p>",155,5
November 06 2017 - 20:19,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c157.0.406.406/13694483_313577098982560_1097702172_n.jpg,http://picbear.com/media/1302882997024646667_2265106111,November 06 2017 - 20:19,July 26 2016 - 15:22,"<p>Temenan itu main bareng, bukan jaim bareng🙌</p>",86,0
