user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435788_178826609331101_3984001441747435520_n.jpg,http://picbear.com/media/1601373669697922820_4702128999,November 06 2017 - 20:45,September 11 2017 - 11:30,,28,1
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21433282_127354144577611_8233615850196697088_n.jpg,http://picbear.com/media/1600122546236395977_4702128999,November 06 2017 - 20:45,September 09 2017 - 18:04,,47,1
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1080.1080/20987272_1760816467550900_3263935743482920960_n.jpg,http://picbear.com/media/1587641582901880137_4702128999,November 06 2017 - 20:45,August 23 2017 - 12:47,"<p><a href=""http://picbear.com/tag/condoms"" title=""posts tagged as condoms"">#condoms</a>  Add</p>",29,5
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c8.0.1063.1063/20838399_1970051773240374_309625167326216192_n.jpg,http://picbear.com/media/1583303995999437049_4702128999,November 06 2017 - 20:45,August 17 2017 - 13:09,<p>UPL</p>,34,0
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c5.0.1070.1070/20837797_1453877348030289_8413888568346279936_n.jpg,http://picbear.com/media/1583303662644726493_4702128999,November 06 2017 - 20:45,August 17 2017 - 13:08,<p>OAD</p>,44,0
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c2.0.1075.1075/20901936_126859647937950_6910975014921568256_n.jpg,http://picbear.com/media/1583303375804541479_4702128999,November 06 2017 - 20:45,August 17 2017 - 13:08,<p>ING</p>,19,1
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19228028_1543127325724633_3985927846248841216_n.jpg,http://picbear.com/media/1539614167810589667_4702128999,November 06 2017 - 20:45,June 18 2017 - 06:25,<p>For Bitcoin Company💰</p>,27,0
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c158.0.764.764/19121149_310788642694720_1326204373935587328_n.jpg,http://picbear.com/media/1538354545749607131_4702128999,November 06 2017 - 20:45,June 16 2017 - 12:42,<p>Logo Designing..</p>,28,2
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17932536_2113912178835703_8983524965508710400_n.jpg,http://picbear.com/media/1529795910748345321_4702128999,November 06 2017 - 20:45,June 04 2017 - 17:18,<p>Shoot at Sight.!!</p>,56,2
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.1080.1080/18512577_1422692761109784_774307046404128768_n.jpg,http://picbear.com/media/1517470004063432629_4702128999,November 06 2017 - 20:45,May 18 2017 - 17:09,,21,0
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.6.1080.1080/18512982_935112879961867_8143138369786871808_n.jpg,http://picbear.com/media/1517469836937021150_4702128999,November 06 2017 - 20:45,May 18 2017 - 17:08,,11,0
November 06 2017 - 20:45,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/18445051_125286148039138_2541848876558581760_n.jpg,http://picbear.com/media/1517469652840853311_4702128999,November 06 2017 - 20:46,May 18 2017 - 17:08,,8,0
