user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c183.0.714.714/22709105_1925208857741370_6577965438590779392_n.jpg,http://picbear.com/media/1632157855820068783_1964855669,November 06 2017 - 19:43,October 23 2017 - 22:53,"<p>Certo che quando dobbiamo essere fighi ci viene proprio naturale✨🎩 <a href=""http://picbear.com/tag/eleganza"" title=""posts tagged as eleganza"">#eleganza</a> <a href=""http://picbear.com/tag/blacktie"" title=""posts tagged as blacktie"">#blacktie</a> <a href=""http://picbear.com/tag/figaggine"" title=""posts tagged as figaggine"">#figaggine</a> <a href=""http://picbear.com/tag/bottyful"" title=""posts tagged as bottyful"">#bottyful</a> <a href=""http://picbear.com/tag/bottiemorbiux"" title=""posts tagged as bottiemorbiux"">#bottiemorbiux</a> <a href=""http://picbear.com/tag/morbioloso"" title=""posts tagged as morbioloso"">#morbioloso</a> <a href=""http://picbear.com/tag/interact"" title=""posts tagged as interact"">#interact</a> <a href=""http://picbear.com/tag/chivasso"" title=""posts tagged as chivasso"">#chivasso</a> <a href=""http://picbear.com/tag/agorante"" title=""posts tagged as agorante"">#agorante</a></p>",109,1
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21433860_1637696966243261_4232058617957711872_n.jpg,http://picbear.com/media/1596571960744503743_1964855669,November 06 2017 - 19:43,September 04 2017 - 20:30,"<p>Quando a suonare sei talmente bravo che decidi di eccellere pure nel ciclismo🎺🚴🏽🎷 <a href=""http://picbear.com/tag/figaccioni"" title=""posts tagged as figaccioni"">#figaccioni</a> <a href=""http://picbear.com/tag/frazionando"" title=""posts tagged as frazionando"">#frazionando</a> <a href=""http://picbear.com/tag/bandamusicale"" title=""posts tagged as bandamusicale"">#bandamusicale</a> <a href=""http://picbear.com/tag/bandalivorno"" title=""posts tagged as bandalivorno"">#bandalivorno</a> <a href=""http://picbear.com/tag/ciclisti"" title=""posts tagged as ciclisti"">#ciclisti</a> <a href=""http://picbear.com/tag/enonciavetevistiinmoto"" title=""posts tagged as enonciavetevistiinmoto"">#enonciavetevistiinmoto</a>🛵🏍</p>",89,8
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296058_864451203706796_244912620199477248_n.jpg,http://picbear.com/media/1594403357341441004_1964855669,November 06 2017 - 19:43,September 01 2017 - 20:41,"<p>Storm⛈ <a href=""http://picbear.com/tag/instamoment"" title=""posts tagged as instamoment"">#instamoment</a> <a href=""http://picbear.com/tag/chiesa"" title=""posts tagged as chiesa"">#chiesa</a> <a href=""http://picbear.com/tag/storm"" title=""posts tagged as storm"">#storm</a> <a href=""http://picbear.com/tag/temporale"" title=""posts tagged as temporale"">#temporale</a> <a href=""http://picbear.com/tag/andiamoacasainvecedifarelefoto"" title=""posts tagged as andiamoacasainvecedifarelefoto"">#andiamoacasainvecedifarelefoto</a></p>",88,5
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107796_1544580028897180_5435910802538233856_n.jpg,http://picbear.com/media/1592143925697939569_1964855669,November 06 2017 - 19:43,August 29 2017 - 17:52,"<p>Due nomi, un'amicizia unica🔝🔞 <a href=""http://picbear.com/tag/leva"" title=""posts tagged as leva"">#leva</a> <a href=""http://picbear.com/tag/amicizia"" title=""posts tagged as amicizia"">#amicizia</a> <a href=""http://picbear.com/tag/ab"" title=""posts tagged as ab"">#ab</a> <a href=""http://picbear.com/tag/memories"" title=""posts tagged as memories"">#memories</a></p>",90,1
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20766189_135354550318083_1257044439713447936_n.jpg,http://picbear.com/media/1581902290020199655_1964855669,November 06 2017 - 19:43,August 15 2017 - 14:44,"<p>Ferragozzo🍖🌭❤️ <a href=""http://picbear.com/tag/ferragosto"" title=""posts tagged as ferragosto"">#ferragosto</a> <a href=""http://picbear.com/tag/sismo"" title=""posts tagged as sismo"">#sismo</a> <a href=""http://picbear.com/tag/amici"" title=""posts tagged as amici"">#amici</a> <a href=""http://picbear.com/tag/cibo"" title=""posts tagged as cibo"">#cibo</a> <a href=""http://picbear.com/tag/grigliata"" title=""posts tagged as grigliata"">#grigliata</a> <a href=""http://picbear.com/tag/rapfuturustico"" title=""posts tagged as rapfuturustico"">#rapfuturustico</a> <a href=""http://picbear.com/tag/alllangb"" title=""posts tagged as alllangb"">#alllangb</a></p>",102,5
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837573_121179891864140_1856187949394165760_n.jpg,http://picbear.com/media/1581194335645599870_1964855669,November 06 2017 - 19:43,August 14 2017 - 15:17,"<p>Journée au lac🏞☀️ <a href=""http://picbear.com/tag/qulramodrllagodicomo"" title=""posts tagged as qulramodrllagodicomo"">#qulramodrllagodicomo</a> <a href=""http://picbear.com/tag/cernobbio"" title=""posts tagged as cernobbio"">#cernobbio</a> <a href=""http://picbear.com/tag/famiglia"" title=""posts tagged as famiglia"">#famiglia</a> <a href=""http://picbear.com/tag/divertimento"" title=""posts tagged as divertimento"">#divertimento</a> <a href=""http://picbear.com/tag/spennati"" title=""posts tagged as spennati"">#spennati</a></p>",71,1
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837755_108681146493456_7521872020435369984_n.jpg,http://picbear.com/media/1580472046457412970_1964855669,November 06 2017 - 19:43,August 13 2017 - 15:22,"<p>Foto (di) profilo🚶🏽⛰ <a href=""http://picbear.com/tag/santachiara"" title=""posts tagged as santachiara"">#santachiara</a> <a href=""http://picbear.com/tag/profile"" title=""posts tagged as profile"">#profile</a> <a href=""http://picbear.com/tag/pirofila"" title=""posts tagged as pirofila"">#pirofila</a> <a href=""http://picbear.com/tag/sismo"" title=""posts tagged as sismo"">#sismo</a> <a href=""http://picbear.com/tag/bigfamily"" title=""posts tagged as bigfamily"">#bigfamily</a> <a href=""http://picbear.com/tag/stomale"" title=""posts tagged as stomale"">#stomale</a> <a href=""http://picbear.com/tag/cps"" title=""posts tagged as cps"">#cps</a></p>",81,0
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/20478838_1423118084445684_7729004901413421056_n.jpg,http://picbear.com/media/1576888075278411538_1964855669,November 06 2017 - 19:43,August 08 2017 - 16:42,"<p>E ora che siamo diciottenni... dove si firma per l'amicizia eterna?🔗🕊❤️ <a href=""http://picbear.com/tag/santachiara"" title=""posts tagged as santachiara"">#santachiara</a> <a href=""http://picbear.com/tag/soci"" title=""posts tagged as soci"">#soci</a> <a href=""http://picbear.com/tag/amicizia"" title=""posts tagged as amicizia"">#amicizia</a> <a href=""http://picbear.com/tag/lab"" title=""posts tagged as lab"">#lab</a></p>",95,1
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20589955_263019837548006_8972810899005898752_n.jpg,http://picbear.com/media/1573860660021294495_1964855669,November 06 2017 - 19:43,August 04 2017 - 12:27,"<p>S. Chiara trip❤️😇⛰ <a href=""http://picbear.com/tag/ermejo"" title=""posts tagged as ermejo"">#ermejo</a> <a href=""http://picbear.com/tag/sismo"" title=""posts tagged as sismo"">#sismo</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/settimanafantastica"" title=""posts tagged as settimanafantastica"">#settimanafantastica</a> <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a></p>",79,0
November 06 2017 - 19:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984622_1126189244148967_6477539087346565120_n.jpg,http://picbear.com/media/1569174315130646199_1964855669,November 06 2017 - 19:43,July 29 2017 - 01:16,"<p>Bravi bravi, fatevi le foto col mio telefono 📱🍟 <a href=""http://picbear.com/tag/amici"" title=""posts tagged as amici"">#amici</a> <a href=""http://picbear.com/tag/taverna"" title=""posts tagged as taverna"">#taverna</a> <a href=""http://picbear.com/tag/sismo"" title=""posts tagged as sismo"">#sismo</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/sgamati"" title=""posts tagged as sgamati"">#sgamati</a></p>",59,3
