user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161378_1483394471697990_2981894273470824448_n.jpg,http://picbear.com/media/1637935298136720865_2728062617,November 06 2017 - 19:40,October 31 2017 - 22:12,<p>جوله سريعه 😍😍</p>,43,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860927_2017305178513344_4309108484412014592_n.jpg,http://picbear.com/media/1636944446866233595_2728062617,November 06 2017 - 19:41,October 30 2017 - 13:23,<p>عيونج حفه. بنصهن كحل 🎗</p>,61,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582685_283919098773711_6689452073651535872_n.jpg,http://picbear.com/media/1629161797800066109_2728062617,November 06 2017 - 19:41,October 19 2017 - 19:40,<p>صمت جميل 💫والله يعلم مافي الكلام 🌺</p>,54,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221472_1782907865087888_2655485735456473088_n.jpg,http://picbear.com/media/1619905268655737116_2728062617,November 06 2017 - 19:41,October 07 2017 - 01:09,<p>SCHOOL 🙈🙉</p>,43,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069209_119452132075590_6954661695679627264_n.jpg,http://picbear.com/media/1615273590175864609_2728062617,November 06 2017 - 19:41,September 30 2017 - 15:47,<p>كل شيء تحتاجه لتكون ناجحان 🎨💫 هوه في داخلك 🔮☙</p>,57,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879303_133198597323844_5752988030180786176_n.jpg,http://picbear.com/media/1609584041521262004_2728062617,November 06 2017 - 19:41,September 22 2017 - 19:23,<p>وهل كان للطموح حدود⭐</p>,64,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827492_347075105734530_3283180568518328320_n.jpg,http://picbear.com/media/1609498777545335301_2728062617,November 06 2017 - 19:41,September 22 2017 - 16:33,,52,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827275_1840887976224396_1893905935575810048_n.jpg,http://picbear.com/media/1608252594973784007_2728062617,November 06 2017 - 19:41,September 20 2017 - 23:17,<p>وسلامأ على الطيبين 🌸💮</p>,48,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576776_146921345914250_7267796740344905728_n.jpg,http://picbear.com/media/1604657206697998862_2728062617,November 06 2017 - 19:41,September 16 2017 - 00:14,<p>افعل مايسعدك 😀🎗⚀ فا لأيام لم تعود🎀</p>,45,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372620_357217368042621_7682800777114419200_n.jpg,http://picbear.com/media/1595927367791014012_2728062617,November 06 2017 - 19:41,September 03 2017 - 23:09,<p>مدينه وكذاا</p>,37,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227144_1881611168755186_6222531142222872576_n.jpg,http://picbear.com/media/1595114747731316464_2728062617,November 06 2017 - 19:41,September 02 2017 - 20:15,<p>وناسه تاااايم</p>,35,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294776_272474816601963_1376933869051183104_n.jpg,http://picbear.com/media/1594979198403877329_2728062617,November 06 2017 - 19:41,September 02 2017 - 15:45,<p>بغداد 💮🌸 يا احلا ذكريات👑</p>,39,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147825_112614732769395_3927258554330775552_n.jpg,http://picbear.com/media/1590185517482368220_2728062617,November 06 2017 - 19:41,August 27 2017 - 01:01,<p>أنا اخر أميره🌸💮 والدتها امي 👑</p>,42,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147302_1405379836210673_8748377219744661504_n.jpg,http://picbear.com/media/1590182998240663409_2728062617,November 06 2017 - 19:41,August 27 2017 - 00:56,<p>شويه تجاهل يرجع  كل حيوان ☻طبيعته؟</p>,37,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042134_1933296383610843_1425991625456222208_n.jpg,http://picbear.com/media/1589511283869268819_2728062617,November 06 2017 - 19:41,August 26 2017 - 02:42,<p>سأكون أنا؟ومن يرضى أنا🌸💫 فمن هم لأسعى أراضيهم ⭐🕸</p>,39,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042149_283115475498911_7356010133039611904_n.jpg,http://picbear.com/media/1589167198864315288_2728062617,November 06 2017 - 19:41,August 25 2017 - 15:18,<p>كبرنه وزغرت الدنيه 💮 ولكينه الوادم شويه ☄</p>,42,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041440_113384246026620_6764952530653806592_n.jpg,http://picbear.com/media/1587230441142769936_2728062617,November 06 2017 - 19:41,August 22 2017 - 23:10,<p>السيئه........باالسيئه 💫 ولست اسفه 🎼 وسرقص 🎶فوق قبور البادءين 🏳</p>,66,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20969077_518326808504730_3904923508915830784_n.jpg,http://picbear.com/media/1586557790040858828_2728062617,November 06 2017 - 19:41,August 22 2017 - 00:54,<p>كوني مغروره 👑 🌸💮حتى يبتعد عنك كل رجل ضعيف 🕸  كوني بارده🛡  متطلبه ♾انانيه 💫شريره 🔥 لايتحملك ☙لا ذللك الرجل 🚹الذي اعمله العشق</p>,56,3
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905789_1899028153694164_5840524810907549696_n.jpg,http://picbear.com/media/1586537434336856715_2728062617,November 06 2017 - 19:41,August 22 2017 - 00:13,<p>قويه لدرجه أشرح 📄 حزني وأنا اضحك ☺</p>,50,4
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905687_1560131134043119_5441849763056058368_n.jpg,http://picbear.com/media/1584975560646463559_2728062617,November 06 2017 - 19:41,August 19 2017 - 20:30,<p>👑</p>,48,4
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20838516_238084293381258_9049250171434565632_n.jpg,http://picbear.com/media/1584301196892448849_2728062617,November 06 2017 - 19:41,August 18 2017 - 22:10,<p>َّسوِفِّ يِّشٍتّأّقِوِنِ لَګ  عٌنِدِمَأّ لَمَ يِّجِدِوِ شٍخَصٌ مَثّلَګ🎡</p>,50,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902304_892873750866551_3031353038087389184_n.jpg,http://picbear.com/media/1584161305856784778_2728062617,November 06 2017 - 19:41,August 18 2017 - 17:32,<p>كن في الحياه بسيطآ💮👑</p>,34,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902374_125086228126671_2426954292322631680_n.jpg,http://picbear.com/media/1582881721576355958_2728062617,November 06 2017 - 19:41,August 16 2017 - 23:10,<p>وما زلت أبتسم 😊 رغم افتقدت الكثير 💮👑</p>,41,3
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20837488_475011509538193_6247664238572077056_n.jpg,http://picbear.com/media/1582875696123086261_2728062617,November 06 2017 - 19:41,August 16 2017 - 22:58,,32,4
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.427.427/20766037_1912274315693994_5440867688719056896_n.jpg,http://picbear.com/media/1581499785163068875_2728062617,November 06 2017 - 19:41,August 15 2017 - 01:24,"<p>شجاني وكبرت بساع واني ادري العمر <a href=""http://picbear.com/tag/سفره"" title=""posts tagged as سفره"">#سفره</a>  شمحلاتني من ارد للبيت مأخذ عشره من <a href=""http://picbear.com/tag/عشره"" title=""posts tagged as عشره"">#عشره</a></p>",29,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759033_1959373737685449_7489336792764645376_n.jpg,http://picbear.com/media/1580802500670501205_2728062617,November 06 2017 - 19:41,August 14 2017 - 02:19,"<p><a href=""http://picbear.com/tag/ي"" title=""posts tagged as ي"">#ي</a> يكرهني وطشلهم محبتي  فقير ومشتريه دينا <a href=""http://picbear.com/tag/بض"" title=""posts tagged as بض"">#بض</a> حكتي</p>",28,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759940_750589138399106_4137287579001159680_n.jpg,http://picbear.com/media/1580708457403856962_2728062617,November 06 2017 - 19:41,August 13 2017 - 23:12,<p>ليرحل من أراد الرحيل فااا لأرض واسعه والنسيان نعمه👑👑</p>,32,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20759186_833537856810318_5423398132580876288_n.jpg,http://picbear.com/media/1579995418006199863_2728062617,November 06 2017 - 19:41,August 12 2017 - 23:35,,21,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688019_417626925299589_4437129377762770944_n.jpg,http://picbear.com/media/1579930766660439207_2728062617,November 06 2017 - 19:41,August 12 2017 - 21:27,,25,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20688635_107382156646733_5941284215390732288_n.jpg,http://picbear.com/media/1579202933843782650_2728062617,November 06 2017 - 19:41,August 11 2017 - 21:21,<p>ما نشبه بشر بل كون بس الورد يشبهنه 🌹🌷</p>,25,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c102.0.306.306/20687951_1452135101508160_5755579686461636608_n.jpg,http://picbear.com/media/1579174622962798117_2728062617,November 06 2017 - 19:41,August 11 2017 - 20:25,,17,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20635502_123518531609864_4938793145757335552_n.jpg,http://picbear.com/media/1578427563179762051_2728062617,November 06 2017 - 19:41,August 10 2017 - 19:40,<p>سوف يأتي يوم وذهب إليكي 🎡🎢</p>,18,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20686938_212753242587838_6419504840702951424_n.jpg,http://picbear.com/media/1577762726913121842_2728062617,November 06 2017 - 19:41,August 09 2017 - 21:39,<p>طير 🕊من الكرخ  لرصافه جابه 💎</p>,18,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687338_335947570162659_1282426871799087104_n.jpg,http://picbear.com/media/1577744827452418026_2728062617,November 06 2017 - 19:41,August 09 2017 - 21:04,,19,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.0.320.320/20634643_546929678971910_2871302018104819712_n.jpg,http://picbear.com/media/1576943665392269906_2728062617,November 06 2017 - 19:42,August 08 2017 - 18:32,<p>ابتسمي 😆فن الحياه جميله</p>,20,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633898_1941446609435228_3793623588968333312_n.jpg,http://picbear.com/media/1576888670986865495_2728062617,November 06 2017 - 19:42,August 08 2017 - 16:43,,17,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687301_113385549290540_1974900059476590592_n.jpg,http://picbear.com/media/1576351410122071107_2728062617,November 06 2017 - 19:42,August 07 2017 - 22:55,,18,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20590239_276177849530875_5284070484420329472_n.jpg,http://picbear.com/media/1576351098485168122_2728062617,November 06 2017 - 19:42,August 07 2017 - 22:55,,18,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20590139_123155511645695_723028285100916736_n.jpg,http://picbear.com/media/1575519830340053000_2728062617,November 06 2017 - 19:42,August 06 2017 - 19:23,,16,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20589865_285013621977351_3299752966117916672_n.jpg,http://picbear.com/media/1575461073207787076_2728062617,November 06 2017 - 19:42,August 06 2017 - 17:26,<p>سحرك عيونك 👈👀والوجه نوراني🌣</p>,20,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20582800_268465736970124_8090085486342701056_n.jpg,http://picbear.com/media/1574842510801401855_2728062617,November 06 2017 - 19:42,August 05 2017 - 20:57,<p>سوف اتذكر حينها داءمن💮🌟</p>,20,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.540.540/20589809_279586382520008_493900794995671040_n.jpg,http://picbear.com/media/1574247104795171256_2728062617,November 06 2017 - 19:42,August 05 2017 - 01:15,<p>♡♡</p>,22,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20634873_226933361164780_1984662421356150784_n.jpg,http://picbear.com/media/1574172280173519427_2728062617,November 06 2017 - 19:42,August 04 2017 - 22:46,,23,3
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398993_103326163710841_8896988177722507264_n.jpg,http://picbear.com/media/1573914971081899749_2728062617,November 06 2017 - 19:42,August 04 2017 - 14:15,,24,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c40.0.240.240/20633782_108527096493095_1982757740799328256_n.jpg,http://picbear.com/media/1573422404301051646_2728062617,November 06 2017 - 19:42,August 03 2017 - 21:56,,20,2
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c33.0.254.254/20582434_1724475891192918_8220185646375895040_n.jpg,http://picbear.com/media/1573394337394523898_2728062617,November 06 2017 - 19:42,August 03 2017 - 21:00,,21,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20482451_1327260894049558_113580431617556480_n.jpg,http://picbear.com/media/1572831842841814529_2728062617,November 06 2017 - 19:42,August 03 2017 - 02:23,,23,4
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20582796_2033003846927642_7966376521113796608_n.jpg,http://picbear.com/media/1572831818783260925_2728062617,November 06 2017 - 19:42,August 03 2017 - 02:23,,17,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18722936_667381790112025_6153181769878208512_n.jpg,http://picbear.com/media/1524977989443247476_2728062617,November 06 2017 - 19:42,May 29 2017 - 01:46,,20,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18721800_635030833355717_7791771605016772608_n.jpg,http://picbear.com/media/1524977881423107272_2728062617,November 06 2017 - 19:42,May 29 2017 - 01:45,,13,1
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18809185_1506687006044029_3263965645045235712_n.jpg,http://picbear.com/media/1524977776876057940_2728062617,November 06 2017 - 19:42,May 29 2017 - 01:45,,11,0
November 06 2017 - 19:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18645557_1892150294356594_6402313546905944064_n.jpg,http://picbear.com/media/1523271219738014409_2728062617,November 06 2017 - 19:42,May 26 2017 - 17:15,,13,3
