user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c257.0.566.566/21041475_110605882967103_8922537757050404864_n.jpg,http://picbear.com/media/1589895268912721398_5394673623,November 06 2017 - 20:46,August 26 2017 - 15:25,"<p>🔙Pauli❤Lena🔜 •Geschwister sind nie alleine, sie tragen denn anderen immer im Herzen•❤✨</p>",63,11
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20838577_1366669576783628_5175447596113592320_n.jpg,http://picbear.com/media/1584420801591898097_5394673623,November 06 2017 - 20:46,August 19 2017 - 02:08,"<p>Ja, wir haben nix besseres zu tun als am Sportplatz rumzuhüpfen und dämlich zu tanzen :) <a href=""http://picbear.com/tag/keinleben"" title=""posts tagged as keinleben"">#keinleben</a> lübbb dich❤</p>",58,9
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20589493_1464471170518552_6096229451266260992_n.jpg,http://picbear.com/media/1574803914079724192_5394673623,November 06 2017 - 20:46,August 05 2017 - 19:41,"<p>Take the risk or lose the Chance🌙🌹 <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/color"" title=""posts tagged as color"">#color</a> <a href=""http://picbear.com/tag/rainbow"" title=""posts tagged as rainbow"">#rainbow</a> <a href=""http://picbear.com/tag/children"" title=""posts tagged as children"">#children</a> <a href=""http://picbear.com/tag/tumblr"" title=""posts tagged as tumblr"">#tumblr</a> <a href=""http://picbear.com/tag/nbg"" title=""posts tagged as nbg"">#nbg</a> <a href=""http://picbear.com/tag/r"" title=""posts tagged as r"">#r</a> <a href=""http://picbear.com/tag/hair"" title=""posts tagged as hair"">#hair</a> <a href=""http://picbear.com/tag/3"" title=""posts tagged as 3"">#3</a> 💫</p>",66,10
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/20478792_1969006093336410_8581485674069229568_n.jpg,http://picbear.com/media/1570635250212397819_5394673623,November 06 2017 - 20:46,July 31 2017 - 01:38,"<p>Du darfst noch Kind sein solange du jung bist......😌🌹 <a href=""http://picbear.com/tag/kindheit"" title=""posts tagged as kindheit"">#kindheit</a><a href=""http://picbear.com/tag/friend"" title=""posts tagged as friend"">#friend</a><a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a><a href=""http://picbear.com/tag/kind"" title=""posts tagged as kind"">#kind</a><a href=""http://picbear.com/tag/draußen"" title=""posts tagged as draußen"">#draußen</a><a href=""http://picbear.com/tag/tallyweijl"" title=""posts tagged as tallyweijl"">#tallyweijl</a><a href=""http://picbear.com/tag/h"" title=""posts tagged as h"">#h</a>&amp;m;  Markiert eure beste Freundin 🌹@chantisntg</p>",48,15
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19535042_452861638403428_7369806448462659584_n.jpg,http://picbear.com/media/1559421585094216764_5394673623,November 06 2017 - 20:46,July 15 2017 - 14:19,"<p>Wenn dich dein Leben nervt, dann streu glitzer drauf 🌹💫 <a href=""http://picbear.com/tag/glitter"" title=""posts tagged as glitter"">#glitter</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a> <a href=""http://picbear.com/tag/natur"" title=""posts tagged as natur"">#natur</a> <a href=""http://picbear.com/tag/frei"" title=""posts tagged as frei"">#frei</a> <a href=""http://picbear.com/tag/lifehack"" title=""posts tagged as lifehack"">#lifehack</a> <a href=""http://picbear.com/tag/lipenstift"" title=""posts tagged as lipenstift"">#lipenstift</a> <a href=""http://picbear.com/tag/glitterlips"" title=""posts tagged as glitterlips"">#glitterlips</a></p>",41,8
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19429172_1417575091663178_2096091344941350912_n.jpg,http://picbear.com/media/1543611670614422852_5394673623,November 06 2017 - 20:46,June 23 2017 - 18:47,"<p>If you're on the beach and the sun is shining, that's SUMMER 🌞🌊❤</p>",41,9
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18878979_233456363822470_1732809202725814272_n.jpg,http://picbear.com/media/1531425659209859622_5394673623,November 06 2017 - 20:46,June 06 2017 - 23:16,"<p>War so schönes Wetter und dann hat es angefangen zu Regnen💦❤ <a href=""http://picbear.com/tag/lucrew"" title=""posts tagged as lucrew"">#lucrew</a> <a href=""http://picbear.com/tag/hamburgdockland"" title=""posts tagged as hamburgdockland"">#hamburgdockland</a> <a href=""http://picbear.com/tag/laserluca"" title=""posts tagged as laserluca"">#laserluca</a> <a href=""http://picbear.com/laserluca"" title=""laserluca instagram profile"">@laserluca</a> [Like] ♡❤</p>",38,7
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18722877_1909121902690140_1304283715555295232_n.jpg,http://picbear.com/media/1527709361085704876_5394673623,November 06 2017 - 20:46,June 01 2017 - 20:12,"<p>Mann weiß erst wie wichtig dir eine Person ist wenn, du sie nicht mehr bei dir hast ❤💫 <a href=""http://picbear.com/tag/rainbowface"" title=""posts tagged as rainbowface"">#rainbowface</a> <a href=""http://picbear.com/tag/lifehack"" title=""posts tagged as lifehack"">#lifehack</a> <a href=""http://picbear.com/tag/nomakeup"" title=""posts tagged as nomakeup"">#nomakeup</a> <a href=""http://picbear.com/tag/nofilter"" title=""posts tagged as nofilter"">#nofilter</a> <a href=""http://picbear.com/tag/sister"" title=""posts tagged as sister"">#sister</a> <a href=""http://picbear.com/tag/sis"" title=""posts tagged as sis"">#sis</a> <a href=""http://picbear.com/tag/family"" title=""posts tagged as family"">#family</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/zusammenhalt"" title=""posts tagged as zusammenhalt"">#zusammenhalt</a> ...........</p>",57,20
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18579658_280154275788200_6393344813378306048_n.jpg,http://picbear.com/media/1520492859869637359_5394673623,November 06 2017 - 20:47,May 22 2017 - 21:14,<p>Never give up.....🙅🙆🔝❤❤</p>,45,13
November 06 2017 - 20:46,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/18382449_1400467326662978_5750063045783060480_n.jpg,http://picbear.com/media/1513068620942277238_5394673623,November 06 2017 - 20:47,May 12 2017 - 15:24,"<p>Harry Potter💫💗 <a href=""http://picbear.com/tag/herminegranger"" title=""posts tagged as herminegranger"">#herminegranger</a> <a href=""http://picbear.com/tag/ronaldweasly"" title=""posts tagged as ronaldweasly"">#ronaldweasly</a> <a href=""http://picbear.com/tag/hermioneandron"" title=""posts tagged as hermioneandron"">#hermioneandron</a> <a href=""http://picbear.com/tag/liebe"" title=""posts tagged as liebe"">#liebe</a> <a href=""http://picbear.com/tag/harrypotter"" title=""posts tagged as harrypotter"">#harrypotter</a> <a href=""http://picbear.com/tag/harrypotterunddieheiligtümerdestodesteil2"" title=""posts tagged as harrypotterunddieheiligtümerdestodesteil2"">#harrypotterunddieheiligtümerdestodesteil2</a> 💗💗💗💗💗💗</p>",38,2
