user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161320_308474849558511_6243537432130617344_n.jpg,http://picbear.com/media/1638953966888143431_3962860376,November 06 2017 - 19:47,November 02 2017 - 07:55,<p>Please my song in singing Mr Adi patil</p>,30,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980178_520052325010873_8705392310872965120_n.jpg,http://picbear.com/media/1609355690249748423_3962860376,November 06 2017 - 19:47,September 22 2017 - 11:49,"<p>Tu 👰👉 नवरात्रि  में चाहे कितने भी <a href=""http://picbear.com/tag/गरब"" title=""posts tagged as गरब"">#गरब</a>े ⚒️ खेल ले पर तेरे 👰होटो 💋 पे मुस्कान ☺️ तो तभी आएगी  जब Hʊʍ 🤵 तुम्हे 👰 वहाँ देखने 👀 आएंगे ❤️😍😘</p>",56,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149086_336656886761503_2561654697337290752_n.jpg,http://picbear.com/media/1594292655474673228_3962860376,November 06 2017 - 19:47,September 01 2017 - 17:01,<p>Ganpatis enjoy Mangruil</p>,70,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18579825_1421535257906177_8438754698118299648_n.jpg,http://picbear.com/media/1520057287557080473_3962860376,November 06 2017 - 19:47,May 22 2017 - 06:49,<p>Log 👬 hame BADNAAM🙅 karte Gaye🙊  Aor HAMARA😎 NAAM😍 Bante Gaya😘🤓</p>,76,1
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18096269_1282021931894065_4445063530978213888_n.jpg,http://picbear.com/media/1501191483654717259_3962860376,November 06 2017 - 19:47,April 26 2017 - 06:06,"<p><a href=""http://picbear.com/tag/tu"" title=""posts tagged as tu"">#tu</a>👰🏻 थी <a href=""http://picbear.com/tag/tu"" title=""posts tagged as tu"">#tu</a>👰🏻 हे और <a href=""http://picbear.com/tag/tu"" title=""posts tagged as tu"">#tu</a>👰🏻 ही हमेशा <a href=""http://picbear.com/tag/rahegii"" title=""posts tagged as rahegii"">#rahegii</a>💬 जब <a href=""http://picbear.com/tag/dil"" title=""posts tagged as dil"">#dil</a>❤ एक☝🏻 हे तो, <a href=""http://picbear.com/tag/dil"" title=""posts tagged as dil"">#dil</a>💞 में रहेने <a href=""http://picbear.com/tag/wali"" title=""posts tagged as wali"">#wali</a> 👸🏻 भी तो <a href=""http://picbear.com/tag/ek"" title=""posts tagged as ek"">#ek</a>☝🏻ही होगी..😘 💚💛💜💓😘😍 ###sk...🙇🙇🙇</p>",80,3
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15876095_960802294051725_5177026224228139008_n.jpg,http://picbear.com/media/1425508114933117687_3962860376,November 06 2017 - 19:47,January 11 2017 - 19:57,"<p>डरते तो 😈हम किसि के बापसे भी नही, बस साला ये <a href=""http://picbear.com/tag/respect"" title=""posts tagged as respect"">#respect</a>🔫 नाम की चीज बीचमें आती है...</p>",46,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15538379_1368421829876466_6561462847094652928_n.jpg,http://picbear.com/media/1425507459321361461_3962860376,November 06 2017 - 19:47,January 11 2017 - 19:55,,50,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/15338517_1821741724772191_5844399614437883904_n.jpg,http://picbear.com/media/1405189310717958023_3962860376,November 06 2017 - 19:47,December 14 2016 - 19:07,,44,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14359608_610437252451135_1388062777855180800_n.jpg,http://picbear.com/media/1346451569637838249_3962860376,November 06 2017 - 19:47,September 24 2016 - 18:05,,25,0
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21827011_1620259114692301_1177367015346667520_n.jpg,http://picbear.com/media/1605907263255981284_3962860376,November 06 2017 - 19:48,September 17 2017 - 17:38,<p>My new song plz sab zharuri sunaaa</p>,25,7
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21689071_1481825475245545_3841732411004026880_n.jpg,http://picbear.com/media/1603085243979724024_3962860376,November 06 2017 - 19:48,September 13 2017 - 20:11,<p>My new song friends</p>,23,6
November 06 2017 - 19:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21479992_116365092387280_5319942193010442240_n.jpg,http://picbear.com/media/1602362274257127854_3962860376,November 06 2017 - 19:48,September 12 2017 - 20:14,<p>My singing voice friends</p>,42,6
