user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.119.1080.1080/23164618_186250288589948_1919802393642401792_n.jpg,http://picbear.com/media/1641934116373681151_4061446514,November 06 2017 - 19:34,November 06 2017 - 10:37,,49,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c155.0.409.409/23347844_530798993936401_8719676457271427072_n.jpg,http://picbear.com/media/1641933475828015726_4061446514,November 06 2017 - 19:34,November 06 2017 - 10:35,,44,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279990_127544871290179_6637161886204821504_n.jpg,http://picbear.com/media/1639856857605450315_4061446514,November 06 2017 - 19:34,November 03 2017 - 13:49,,56,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710310_193550341190553_4152701971813367808_n.jpg,http://picbear.com/media/1631789636513652254_4061446514,November 06 2017 - 19:34,October 23 2017 - 10:41,,52,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.51.720.720/22709258_138420540131156_8701844964239212544_n.jpg,http://picbear.com/media/1631786788715303910_4061446514,November 06 2017 - 19:34,October 23 2017 - 10:36,,48,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22709633_738915659612259_5678271357465395200_n.jpg,http://picbear.com/media/1631786039226898188_4061446514,November 06 2017 - 19:34,October 23 2017 - 10:34,,47,4
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22499873_135204490537663_1610483839736479744_n.jpg,http://picbear.com/media/1625269053227276358_4061446514,November 06 2017 - 19:34,October 14 2017 - 10:46,,54,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.71.720.720/22352471_1594298073964800_3776638638285127680_n.jpg,http://picbear.com/media/1625268766009771852_4061446514,November 06 2017 - 19:34,October 14 2017 - 10:45,,56,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.132.1080.1080/22430393_367400610357992_6779260788998668288_n.jpg,http://picbear.com/media/1625268600435496883_4061446514,November 06 2017 - 19:34,October 14 2017 - 10:45,,53,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.60.720.720/22280906_121507915164309_7841527946442440704_n.jpg,http://picbear.com/media/1621737785994787252_4061446514,November 06 2017 - 19:34,October 09 2017 - 13:50,,46,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c51.0.617.617/22344123_1626842717365955_5368018368999718912_n.jpg,http://picbear.com/media/1621737485405948664_4061446514,November 06 2017 - 19:34,October 09 2017 - 13:49,,48,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c77.0.445.445/22221077_515717675449250_9119205516420055040_n.jpg,http://picbear.com/media/1618742693386319263_4061446514,November 06 2017 - 19:34,October 05 2017 - 10:39,,50,2
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.48.720.720/22070013_852144831608180_4067432173609680896_n.jpg,http://picbear.com/media/1616625183442814683_4061446514,November 06 2017 - 19:34,October 02 2017 - 12:32,,51,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.7.712.712/22071434_1716351798438649_2713569825195556864_n.jpg,http://picbear.com/media/1616624958074407461_4061446514,November 06 2017 - 19:34,October 02 2017 - 12:32,,48,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.24.720.720/17076616_213037809233214_4490926415830581248_n.jpg,http://picbear.com/media/1616624607245937695_4061446514,November 06 2017 - 19:34,October 02 2017 - 12:31,<p>ماهم نفهمیدیم..!!!</p>,43,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21985330_175744752999085_1059875582214406144_n.jpg,http://picbear.com/media/1613672196059589902_4061446514,November 06 2017 - 19:34,September 28 2017 - 10:45,,56,2
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.11.720.720/21984578_137509396986205_8157697686150053888_n.jpg,http://picbear.com/media/1613671826281263469_4061446514,November 06 2017 - 19:34,September 28 2017 - 10:44,,50,2
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22070609_278796185957864_7713964961029947392_n.jpg,http://picbear.com/media/1613636407950959451_4061446514,November 06 2017 - 19:34,September 28 2017 - 09:34,,49,0
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911013_2035741956713089_5198453408045989888_n.jpg,http://picbear.com/media/1612189590562335428_4061446514,November 06 2017 - 19:34,September 26 2017 - 09:39,,54,3
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980331_133373904062634_2484902558015946752_n.jpg,http://picbear.com/media/1612186558550351372_4061446514,November 06 2017 - 19:34,September 26 2017 - 09:33,,53,1
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c1.0.628.628/21911539_1464476867006878_1052281083602665472_n.jpg,http://picbear.com/media/1612182512775138371_4061446514,November 06 2017 - 19:34,September 26 2017 - 09:25,,44,3
November 06 2017 - 19:30,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c9.0.701.701/21911296_1954748714814365_8803629019070201856_n.jpg,http://picbear.com/media/1610749912969794288_4061446514,November 06 2017 - 19:34,September 24 2017 - 09:59,,50,5
