username,media_scrape_dt,media_url,medadata_scrape,likes,comments
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1641351434325645436_4188681658,2017-11-06 18:34:58.221713,"['aneeqfataar', 'mubeenbrown', 'fit_zainyy', 'sufyaan_gassiep1701', 'mardhiyah_abrahams', 'zoekoeberg', 'camerondjbongo', 'bravestar_83', 'majietj23', 'skye_siinge', 'hanafestival', 'puveshangovender', 'zay_blakeley', 'jeanisaacs._', 'caseybiscombe']",['lilshawtybad_7036']
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1641070218263267073_4188681658,2017-11-06 18:34:59.724876,"['caleb_matthew96', 'lilshawtybad_7036', 'luke_weber1000', 'deon.barron', 'layla_laylz', 'crafted_nutrition', 'adrianneilzaanbritz', 'nikita.ludski', 'iamzunaid21', 'haajierah_deaney', 'imraang7', 'moe_sobhey', 'puveshangovender', 'ilyaas_adams97']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1640122453324628290_4188681658,2017-11-06 18:35:00.855768,"['callenjohn06', 'heatherclayton1207', 'danyal_riffel', 'faheemudeen', 'nabeelallie', 'tylaaacooper', 'inspire.by.annie', 'themielo', 'adrianneilzaanbritz', 'thaabit_ahmed', 'yaseen_hendrix_', 'erogengirls', 'mishzn716', 'belle_brita', 'gramadentclinicadental']",['mishzn716']
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1639414661026595423_4188681658,2017-11-06 18:35:03.111391,"['callenjohn06', 'hesqua06', 'tylaaacooper', 'inspire.by.annie', 'fatima_hendricks', 'layla_laylz', 'macandwood', 'lyle_thomas_365', 'shaheensydow', 'loserlogic_', 'rubey_2_shoes', 'tyrique.arendse', 'josh420vaneden', 'belle_brita', 'kendall_dylan_muir']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1637880522884268492_4188681658,2017-11-06 18:35:09.740967,"['callenjohn06', 'jennifermurphyezs', 'faheemudeen', 'dullibobmaan', 'free2suza', 'tretchiproject', 'inspire.by.annie', 'umer_jacobs', 'adrianneilzaanbritz', 'bravestar_83', 'bd_lesexpressionsfrancaises', 'eva_hutnikova', 'camerondjbongo', 'belle_brita', 'raniaessy3']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1634172234606866757_4188681658,2017-11-06 18:35:11.100178,"['callenjohn06', 'hesqua06', 'wvthq_94', 'yulinsachie', 'dullibobmaan', 'free2suza', 'tretchiproject', 'fatima_hendricks', 'adrianneilzaanbritz', 'haroun_s10', 'royfelix9416', 'thanweergafoor', 'bd_lesexpressionsfrancaises', 'ismaeel_schroeder', 'ukgoldeneye']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1633680528799197776_4188681658,2017-11-06 18:35:12.784762,"['dekockebrahim', 'hesqua06', 'wvthq_94', 'shakeelismail76', 'faheemudeen', 'natanxa', 'dullibobmaan', 'eyeluvmunny', 'themielo', 'haroun_s10', 'royfelix9416', 'grimehousesa', 'bd_lesexpressionsfrancaises', 'tyrique.arendse', 'keagan94']","['ecofiretv', 'ismaxeel']"
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1632482781941283498_4188681658,2017-11-06 18:35:14.633125,"['callenjohn06', 'hesqua06', 'imraanbray', 'faheemudeen', 'dullibobmaan', 'nabeelallie', 'adrianneilzaanbritz', 'ilyaas_adams97', 'nikita.ludski', 'hadleyliberty', 'tyrique.arendse', 'iamzunaid21', 'autumnjade160', 'maks_988', 'ismaeel_schroeder']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1628492501101624287_4188681658,2017-11-06 18:35:16.177509,"['fortuinhewitt', 'dekockebrahim', 'skinnyonbeauty', 'bb.maj', 'faheemudeen', 'fit_zainyy', 'azharo04', 'myhoundsonraw', 'dullibobmaan', 'imrahismail09', 'tommyliangus18', 'whistlerinternational', 'adrianneilzaanbritz', 'fantacy_101', 'casey_kaas007']",[]
prince55lailah,2017-11-06 18:34:54.861594,http://picbear.com/media/1628093321959137668_4188681658,2017-11-06 18:35:17.659453,"['bb.maj', 'hesqua06', 'myhoundsonraw', 'kylie_plaatjiies', 'dullibobmaan', 'nabeelallie', 'nikita_esterhuizen', 'luke_weber1000', 'fatima_hendricks', 'themielo', 'adrianneilzaanbritz', 'taqcoe', 'haajierah_deaney', 'casey_kaas007', 'joelmeyer1606']","['davidsconnita', 'joelmeyer1606']"
nelci_hapendatu,2017-11-06 18:35:17.664445,http://picbear.com/media/1642095368782409977_6281923707,2017-11-06 18:35:19.926426,"['meis_mangimbulude16', 'stella_kilala', 'mangimbuludecharles16', 'claudia_mangimbulude16']",[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1642157350370193241_3909185704,2017-11-06 18:35:28.021605,['pollyopili'],[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1640845027525472383_3909185704,2017-11-06 18:35:29.482718,['pollyopili'],[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1639310592132789171_3909185704,2017-11-06 18:35:31.946872,"['delickbikobko', 'titoclinton', 'shantyz_shazz', 'dns_hiphoplike', 'kwarulachil', 'cynthia_juma', 'ryanindasi', 'duncanmaranda93']",[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1636097416738177448_3909185704,2017-11-06 18:35:34.073422,"['delickbikobko', 'titoclinton', 'vikidostedi', 'shantyz_shazz', '_serah_xerie_', 'dns_hiphoplike', 'duncanmaranda93']",['eznavil']
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1636096317838867759_3909185704,2017-11-06 18:35:35.414626,"['delickbikobko', 'janetkhamala', 'titoclinton', 'eznavil', 'dns_hiphoplike', 'cynthia_juma', 'duncanmaranda93']",[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1635023780602269458_3909185704,2017-11-06 18:35:37.846668,"['titoclinton', 'eznavil', 'cyrusamiani', 'dns_hiphoplike', 'ryanindasi', 'cynthia_juma']",[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1624446829613499732_3909185704,2017-11-06 18:35:44.014505,"['titoclinton', 'jairusmadegwa', 'young_reagan', 'dns_hiphoplike', 'ryanindasi', 'kennedy_the_lover_boy']",[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1618370127439304964_3909185704,2017-11-06 18:35:46.067370,['ryanindasi'],[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1618369087218204617_3909185704,2017-11-06 18:35:47.608155,[],[]
ryanindasi,2017-11-06 18:35:23.711932,http://picbear.com/media/1608782214976127801_3909185704,2017-11-06 18:35:49.246537,"['duncanmaranda93', 'deroz_omosh']",[]
saleh_3178,2017-11-06 18:35:51.719674,http://picbear.com/media/1641934116373681151_4061446514,2017-11-06 18:35:54.872172,"['effat.heidary.book', 'ali__salamat', 'elham_sh13611', 'anne.gharravi', 'sohrab2294', 'gypsyrain_designs', 'h.f.13.238', 'yaghob_9367', 'bahar_naz_13951369', 'masoud.khojamly', 'miss_sogol4361', 'gracielaacevedo5377', 'mehrancheperli', 'behnaz.ghlich', 'behnam.markani']",[]
saleh_3178,2017-11-06 18:35:51.719674,http://picbear.com/media/1641933475828015726_4061446514,2017-11-06 18:35:56.175365,"['effat.heidary.book', 'elham_sh13611', 'ali__salamat', 'nadereh_apd', 'kosargh09', 'sohrab2294', 'h.f.13.238', 'yaghob_9367', 'bahar_naz_13951369', 'masoud.khojamly', 'miss_sogol4361', 'lli__haji_wares_yousofzai__ill', 'mehrancheperli', 'behnaz.ghlich', 'behnam.markani']",[]
saleh_3178,2017-11-06 18:35:51.719674,http://picbear.com/media/1639856857605450315_4061446514,2017-11-06 18:35:57.846350,"['fishingnutbars', '1mohadeseh7', 'sadegh.ghojoghi', 'faridmalakoot7097', 'sohrab2294', 'bnt_far5ia', 'erkin__rayaneh', 'mayamechta92', 'sahelearamesh2500', 'afoon1373', 'sama_a.f', 'masoud.khojamly', 'lli__haji_wares_yousofzai__ill', 'pasazheisabeigi', 'rahman.kor_']",['mahmoudgh1']
saleh_3178,2017-11-06 18:35:51.719674,http://picbear.com/media/1631789636513652254_4061446514,2017-11-06 18:35:59.651810,"['arazo14567', 'booos2608', 'samanehjalali73', 'emad85b', 'shima.4321', 'faridmalakoot7097', 'saraparsa7911', 'sama_a.f', 'honey_kh.p', 'masoud.khojamly', 'glam_plaits', 'pasazheisabeigi', 'bano_e_khurasani', 'miss_sogol4361', 'alana_wbffpro']",['nadereh_apd']
saleh_3178,2017-11-06 18:35:51.719674,http://picbear.com/media/1631786788715303910_4061446514,2017-11-06 18:36:01.419622,"['__dokhtar.shirazi__', 'emad85b', 'ali__salamat', 'elham_sh13611', 'shima.4321', 'faridmalakoot7097', 'behnaz.ghlich', 'bahar_naz_13951369', 'sama_a.f', 'honey_kh.p', 'masoud.khojamly', 'reza_4552', 'yac05088', 'miss_sogol4361', 'pasazheisabeigi']",['nadereh_apd']
