top_user_date,username,rank (follower_count),media_scrape_dt,media_url,medadata_scrape,likes,comments
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1641608775134544200_25025320,2017-11-06 18:33:03.536559,"['emma_andrzejewski', '_triscele_', 'erobakidze1', 'yasirbhatti110', 'r6leex', 'liviao27', '97pixeldust', 'tesssedla', 'shri.ghosh', 'unicornmeggy', 'sush1857', 'abdulnasirahmed', 'giselle_c04', 'lesia_lc_shimasu', 'mx_sudhakar']","['ikramdjaan', 'kvs.jvxn', 'genero.music', 'mehmet_samo']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1641522962585610632_25025320,2017-11-06 18:33:05.590993,"['ikrambairouk', 'iwaqassr', 'saifahmad719', 'dishudg143', 'sha_nia_joseph', 'hamid.m.ahmadi', 'hksherwani', 'my_world_and_more', 'liloudarmois', 'mr_14_09_2000', 'saeed_hasanabbasi', 'aneta_makovcova', 'mohamadreza.shabany', 'roy_the_morningstar', 'fajes_s_sunil']","['derwargut', 'ela_4661', 'rahul_alive05', 'hastiijoon80', 'love_pozharskaya', 'elia_torres_', 'genero.music', 'fay_raz']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1641493011488396489_25025320,2017-11-06 18:33:08.298880,"['zaraf.grf', 'istekyasar', 'tutusotero', 'vespolinamiao', 'raihan.khannzdp', 'prince55lailah', 'masuodmmmm', 'rafael_jow', 'chis_manuel10', 'row_romero13', '_praveenthakur', 'aneta_makovcova', 'noemago', 'destineeheaven', 'marishka.sima4kova']","['sweetsandfashionlove', 'rahul_alive05', 'jklhg3', 'ryanindasi', 'harif_rizza', 'hdartgroup', 'youngungtaekwondo', 'yang_marc', 'mave.ra', 'fay_raz']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640801085109917788_25025320,2017-11-06 18:33:09.947689,"['t_a_n_y_a_24', 'tattasepta', 'tasneem03_khan', 'maryam_el_byade', 'hockeynitram_13', 'hitsvaghela136', 'harry_gehlot', 'elbyakov', 'muffi_fidvi', 'sanket6759', '________baran_', 'salute_72_', 'jack_8_theripper', 'bolnarmianka', 'leni.iiy']","['jonathan_turuk', 'subme.rj', 'johnpatrick.baltazar', 'emirhan_akisik', 'the.tint.pros', 'fardinmoon', 'frosildapolena', 'sara_bella7828', 'sascha_flohr_photography']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640765596751373087_25025320,2017-11-06 18:33:11.583782,"['lorcanfunnell.x23', 'mouradzah', 'aqeelansari590', 'jem_tm10', 'the_queen_of_his_heart__', 'alexandreschepis', 'santi_lpz15', 'hockeynitram_13', 'iraiaispizua', 'hitsvaghela136', 'eugenier12', 'aneta_makovcova', 'vercasykorova', 'thalhahhazni', 'correia2006']","['thom_wien', 'ayeshahaq51', 'rumariohernandez', 'emirhan_akisik', 'ivinna05', 'premi_rina0101', 'arnaudjolois', 'mahdi17m', 'flyaxluftraumfahrer', 'ilmiim']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640734091807493832_25025320,2017-11-06 18:33:13.281438,"['julie_rgna', '11nami11yuki', 'yasarucn', 'patil7727', 'vikaganibal', 'jisanangle', 'gio_marsilio', 'laynadeans_', 'gohil3295', 'ebhthree', '_eto_zhe_ya_vika_', 'alekstya45', 'r6leex', 'leni.iiy', 'kapil_ratnakar']","['johnpatrick.baltazar', 'spark._.shepa._.official', 'shareefhussein5', 'emirhan_akisik', 'ivinna05', 'frosildapolena', 'extravagantjourneys', 'carolinemigowski', 'susilawatirpc']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640225933011737400_25025320,2017-11-06 18:33:14.712310,"['domtrom21', 'leorodrilr877', 'jyxu288', 'n.m.malikova0511', 'furqon_essikal', 'leyla.saeri', 'sophie_4_u', 'azimovseymur_', 'gift9619', 'berlizovnikolai', 'capunkalexpiero', 'vishal_singh_bhadoria', 'followmeandi_followu', 'denis_zanaev', 'iambot_rickbot']","['brijendra9089', 'johnpatrick.baltazar', 'frosildapolena', 'ahd.sawaftah', 'sufiin_', 'holy_bildo', 'junk_a.r.t.s__0.0', 'prabhav_miglani', 'extravagantjourneys']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640163201717749308_25025320,2017-11-06 18:33:16.125716,"['lukinhas_mendees', 'suzannanass', 'shefeq_yusifli_', 'vilmaalves1897', 'nadezhdas07', 'piglet_wiglet', 'ms._klitzka', 'ugur.caglayan1903', 'yarovaya_lyubov', 'ana_zlb', 'emac_25.04', 'l_.u_c_a_s', 'filippotripolino00.ft', 'nikca_capalova', 'erdavlatova']","['_blackwolf_01', 'vibrofitbulgaria', 'johnpatrick.baltazar', 'ikramdjaan', 'bekir.erdem.ozgul', 'ricardo_tubay', 'mrsinsigne', 'agnieszka.sasin', 'yaquilcia21', 'aboody1060']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1640013816077219701_25025320,2017-11-06 18:33:18.015303,"['gs5172', 'aceof_hearts9', 'furqon_essikal', 'patil7727', 'jeanlucna', 'flavie_gre', 'julievanspauwen', 'pouya.azad', 'saleh_3178', 'omaaymaaa_', 'riadaudfirend', 'aki_pejovic', 'ailtonmnalmeida', 'violetacavallero', 'ashokapplied']","['congg0322', 'johnpatrick.baltazar', 'alina_wippi_99', 'dale_george_queres_un_globito', 'arsslan_nawaz', 'hidden_feelings_4ever', 'frosildapolena', 'nrllziza', 'edmickoranje']"
2017-11-06,instagram,1 (227559583),2017-11-06 18:33:00.222056,http://picbear.com/media/1639381375365460017_25025320,2017-11-06 18:33:20.732699,"['sonia_ionela4578', 'besvika', 'furqon_essikal', 'nicolaeistratie', 'ahmetozden66', 'barbkie', 'mahmoud.abo.eldahab', 'josh.stotty', 'hannahw1710', 'adrias2s2', 'rizwan_khan_oo', 'omar_abd_mohsen', 'nelci_hapendatu', 'thetilderbeast', 'ritwikanghosh']","['temurpoiano', 'zainijmusic', 'steve24200', 'shersingh_gill', 'jack_khesoh', 'emirhan_akisik', '16_puppy_nov', 'yasar2988', 'baharmahtab4142']"
