user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164744_301953456972730_1396851358979588096_n.jpg,http://picbear.com/media/1641739284199486709_2363275857,November 07 2017 - 02:40,November 06 2017 - 04:09,<p>Those who lose the least are the strongest ones. 🏺</p>,29,0
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161213_2017212451899291_8402298414414430208_n.jpg,http://picbear.com/media/1638923815050484055_2363275857,November 07 2017 - 02:40,November 02 2017 - 06:56,<p>Happy Halloween Everyone 🎃💘</p>,44,1
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22858340_126256704757827_604316806378684416_n.jpg,http://picbear.com/media/1638013970503746007_2363275857,November 07 2017 - 02:40,November 01 2017 - 00:48,<p>‘Cause there be no sunshine if i lose you ☀️✨</p>,27,0
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710961_1739235376373044_1406088321804795904_n.jpg,http://picbear.com/media/1633728723347854513_2363275857,November 07 2017 - 02:40,October 26 2017 - 02:54,<p>Don’t copy my style! 💘💅🏻</p>,39,2
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22638759_508142626251226_8838127025320361984_n.jpg,http://picbear.com/media/1631959610044957164_2363275857,November 07 2017 - 02:40,October 23 2017 - 16:19,<p>💙❤️💛</p>,29,2
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639277_552399275151979_3877688111974580224_n.jpg,http://picbear.com/media/1629301002538840407_2363275857,November 07 2017 - 02:40,October 20 2017 - 00:17,<p>A nice minimalistic clothing tester! 🥀</p>,34,2
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637113_2004233996487502_2280890073857654784_n.jpg,http://picbear.com/media/1626609731068134865_2363275857,November 07 2017 - 02:40,October 16 2017 - 07:10,<p>So yummy💕</p>,29,0
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344871_1979669922321194_1737814647806885888_n.jpg,http://picbear.com/media/1623929982835444793_2363275857,November 07 2017 - 02:40,October 12 2017 - 14:26,"<p>I have nothing left to lose, you took your time to choose. ⚡️</p>",39,0
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22221441_318342171974215_4492257920116850688_n.jpg,http://picbear.com/media/1619910051487779163_2363275857,November 07 2017 - 02:40,October 07 2017 - 01:19,"<p>You mother say to pick a very best girl, and i am her 🐲.-By: <a href=""http://picbear.com/xime_io_alv"" title=""xime_io_alv instagram profile"">@xime_io_alv</a></p>",48,3
November 07 2017 - 02:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22070917_354898771631848_1076692539546796032_n.jpg,http://picbear.com/media/1613326617160113491_2363275857,November 07 2017 - 02:41,September 27 2017 - 23:19,"<p>Learn to let go, and also grab strong of yourself...🌜</p>",43,1
