user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637086_326157854460212_4794326251399544832_n.jpg,http://picbear.com/media/1627729254182923782_5311543406,November 06 2017 - 20:23,October 17 2017 - 20:14,<p>Опасность</p>,19,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c234.0.612.612/22351691_122699008447405_5149554836013842432_n.jpg,http://picbear.com/media/1622753494875567523_5311543406,November 06 2017 - 20:23,October 10 2017 - 23:28,<p>😀😀😀😊</p>,23,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21985144_1446961012008384_5051548995193667584_n.jpg,http://picbear.com/media/1613071282932706178_5311543406,November 06 2017 - 20:23,September 27 2017 - 14:51,<p>Когда больше не школьник😀😀😀</p>,26,1
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910858_1886754751642642_3156095819124310016_n.jpg,http://picbear.com/media/1611805503507453634_5311543406,November 06 2017 - 20:23,September 25 2017 - 20:56,<p>😭😭😭😭😭</p>,19,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21820523_137026690259379_3950692226610233344_n.jpg,http://picbear.com/media/1607864167502874571_5311543406,November 06 2017 - 20:23,September 20 2017 - 10:26,"<p>Гаделька,Гаделька...</p>",27,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690299_118097868859420_5308952488391475200_n.jpg,http://picbear.com/media/1604725784886793045_5311543406,November 06 2017 - 20:23,September 16 2017 - 02:30,<p>4 пара😒😒😒</p>,24,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435594_280329382483637_7020760447796117504_n.jpg,http://picbear.com/media/1598018997999403435_5311543406,November 06 2017 - 20:24,September 06 2017 - 20:25,<p>Вот и тренировки подошли)))</p>,28,0
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21227720_121822508472618_2164124975529721856_n.jpg,http://picbear.com/media/1593103678906446974_5311543406,November 06 2017 - 20:24,August 31 2017 - 01:39,<p>Когда страдаешь хернёй😂😂😂</p>,81,2
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18581449_1302112909909046_5188147011248979968_n.jpg,http://picbear.com/media/1520281789859693400_5311543406,November 06 2017 - 20:24,May 22 2017 - 14:15,,34,1
November 06 2017 - 20:23,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22636874_506750053023517_912003380086308864_n.jpg,http://picbear.com/media/1629058400859265490_5311543406,November 06 2017 - 20:24,October 19 2017 - 16:15,<p>Дээээ</p>,14,0
