user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22157612_1922113334672202_2233749277320937472_n.jpg,http://picbear.com/media/1615957020833639305_1687760719,October 18 2017 - 17:05,October 01 2017 - 14:25,<p>The Mindanao Star 💯</p>,27,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21689956_124581588267506_5244948013868122112_n.jpg,http://picbear.com/media/1605016070938558795_1687760719,October 18 2017 - 17:06,September 16 2017 - 12:07,"<p>Concentric. 🎯 . . . . . <a href=""http://picbear.com/tag/concentric"" title=""posts tagged as concentric"">#concentric</a> <a href=""http://picbear.com/tag/circles"" title=""posts tagged as circles"">#circles</a> <a href=""http://picbear.com/tag/lightroom"" title=""posts tagged as lightroom"">#lightroom</a> <a href=""http://picbear.com/tag/s6edgeplus"" title=""posts tagged as s6edgeplus"">#s6edgeplus</a></p>",39,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21224754_1722001778101163_6208492225572110336_n.jpg,http://picbear.com/media/1594973321975726102_1687760719,October 18 2017 - 17:06,September 02 2017 - 15:34,"<p>Stand Tall. United. Resilient. <a href=""http://picbear.com/tag/weremember"" title=""posts tagged as weremember"">#weremember</a></p>",34,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21042677_1833763313315398_3054338354435850240_n.jpg,http://picbear.com/media/1590652388398064194_1687760719,October 18 2017 - 17:06,August 27 2017 - 16:29,"<p>Yesterday, the sky was so blue that it wasn't able to contain its emotions and just cried. . . . . . . <a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a> <a href=""http://picbear.com/tag/blue"" title=""posts tagged as blue"">#blue</a> <a href=""http://picbear.com/tag/beforeitrains"" title=""posts tagged as beforeitrains"">#beforeitrains</a> <a href=""http://picbear.com/tag/s6edgeplus"" title=""posts tagged as s6edgeplus"">#s6edgeplus</a></p>",27,0
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21041485_168290897076611_6081273550507868160_n.jpg,http://picbear.com/media/1587651386635719906_1687760719,October 18 2017 - 17:06,August 23 2017 - 13:06,"<p>You're halfway there. Keep on journeying, and surely you'll get there. 🚣‍♂️🌞</p>",23,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20839009_203177860218238_3858395956399570944_n.jpg,http://picbear.com/media/1585574731905856780_1687760719,October 18 2017 - 17:06,August 20 2017 - 16:20,"<p>So much story to tell, only if it can speak.</p>",39,4
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20902682_467926653588698_2617861654439788544_n.jpg,http://picbear.com/media/1584957392692763540_1687760719,October 18 2017 - 17:06,August 19 2017 - 19:54,"<p><a href=""http://picbear.com/tag/newprofilepic"" title=""posts tagged as newprofilepic"">#newprofilepic</a> 😂</p>",33,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20839042_1507686225964240_4122299388678635520_n.jpg,http://picbear.com/media/1583282519796998572_1687760719,October 18 2017 - 17:06,August 17 2017 - 12:26,"<p>A place to release all blues. . . . . . <a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a> <a href=""http://picbear.com/tag/sea"" title=""posts tagged as sea"">#sea</a> <a href=""http://picbear.com/tag/bluesea"" title=""posts tagged as bluesea"">#bluesea</a> <a href=""http://picbear.com/tag/lightroom"" title=""posts tagged as lightroom"">#lightroom</a> <a href=""http://picbear.com/tag/s6edgeplus"" title=""posts tagged as s6edgeplus"">#s6edgeplus</a></p>",35,0
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20838848_1539192899479586_6418836195899342848_n.jpg,http://picbear.com/media/1583067208833545990_1687760719,October 18 2017 - 17:06,August 17 2017 - 05:18,"<p>Stand high and aim for the sky! <a href=""http://picbear.com/tag/thebluepride"" title=""posts tagged as thebluepride"">#thebluepride</a></p>",38,1
October 18 2017 - 17:05,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20759237_1473840456256244_6722686139745959936_n.jpg,http://picbear.com/media/1581195173727539367_1687760719,October 18 2017 - 17:06,August 14 2017 - 15:19,<p>Meet me upstairs.</p>,38,1
