user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c106.0.868.868/18812332_949452138530800_7820405804086853632_n.jpg,http://picbear.com/media/1528964954468029522_1292400256,October 25 2017 - 14:41,June 03 2017 - 13:47,<p>👐👐👍👐👐</p>,260,7
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18645952_1932713930297958_5557972433060757504_n.jpg,http://picbear.com/media/1524026481793484483_1292400256,October 25 2017 - 14:41,May 27 2017 - 18:15,<p>🌙Ramadan Mubarak 🌙</p>,140,3
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c57.0.965.965/18513708_428908797483045_1330872857357451264_n.jpg,http://picbear.com/media/1517348195881254636_1292400256,October 25 2017 - 14:41,May 18 2017 - 13:07,"<p>😉☕😉 . . . . . . . . . . . . . . <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz  <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/followｍe"" title=""posts tagged as followｍe"">#followｍe</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/photoshopcc"" title=""posts tagged as photoshopcc"">#photoshopcc</a> <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a></p>",125,1
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18380348_175376039655268_8007947050010279936_n.jpg,http://picbear.com/media/1510138827423262994_1292400256,October 25 2017 - 14:41,May 08 2017 - 14:23,"<p>you don't need any fancy gear to capture a moment 📷📷📷📷📷 . . . . . . . . . . . . . . .  <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/followｍe"" title=""posts tagged as followｍe"">#followｍe</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a></p>",105,2
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c82.0.915.915/18252866_407162389669680_4844301021976985600_n.jpg,http://picbear.com/media/1508713034620991733_1292400256,October 25 2017 - 14:41,May 06 2017 - 15:10,"<p>🎨🎨🎨 . . . . . . . . . . . . . . . . . . . . . <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen  <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/followｍe"" title=""posts tagged as followｍe"">#followｍe</a> <a href=""http://picbear.com/tag/f"" title=""posts tagged as f"">#f</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a></p>",90,2
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c108.0.864.864/18096430_743657729136202_1506169022670962688_n.jpg,http://picbear.com/media/1501429264956151706_1292400256,October 25 2017 - 14:41,April 26 2017 - 13:58,"<p>🌏🌍🌎 . . . . . . . . . . . . . . . . . . <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz  <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/photoshopcc"" title=""posts tagged as photoshopcc"">#photoshopcc</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/followｍe"" title=""posts tagged as followｍe"">#followｍe</a></p>",109,1
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18095226_210775126084333_3669332857534283776_n.jpg,http://picbear.com/media/1497837525011914626_1292400256,October 25 2017 - 14:41,April 21 2017 - 15:02,"<p><a href=""http://picbear.com/tag/lightpainting"" title=""posts tagged as lightpainting"">#lightpainting</a> 🎨 . . . . . . . . . . . . . . . . . . <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo  <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a></p>",87,1
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c59.0.961.961/17934139_299139407190935_2624418879794839552_n.jpg,http://picbear.com/media/1494161612164494324_1292400256,October 25 2017 - 14:41,April 16 2017 - 13:19,"<p>Island in platter 🍴 . . . . . . . . . . . . <a href=""http://picbear.com/tag/grammercollective"" title=""posts tagged as grammercollective"">#grammercollective</a> <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz  <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a></p>",98,6
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c110.0.860.860/17881924_421790131511568_1596823996899262464_n.jpg,http://picbear.com/media/1493428062947398282_1292400256,October 25 2017 - 14:41,April 15 2017 - 13:02,"<p>Hi tech 😉😉😉 . . . . . . . . . . . . . . <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz  <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> #👍 <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/ps"" title=""posts tagged as ps"">#ps</a>_gogreen</p>",78,0
October 25 2017 - 14:40,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.64.1080.1080/17817915_1772821633031804_4956830307593486336_n.jpg,http://picbear.com/media/1486896769638887641_1292400256,October 25 2017 - 14:41,April 06 2017 - 12:45,"<p>Pencil in rope 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 🎨 <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/manipcomp"" title=""posts tagged as manipcomp"">#manipcomp</a> <a href=""http://picbear.com/tag/manipulation"" title=""posts tagged as manipulation"">#manipulation</a> <a href=""http://picbear.com/tag/igcreative"" title=""posts tagged as igcreative"">#igcreative</a>_editz  <a href=""http://picbear.com/tag/d"" title=""posts tagged as d"">#d</a>_expo <a href=""http://picbear.com/tag/l4l"" title=""posts tagged as l4l"">#l4l</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a></p>",98,6
