user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499884_351414188602219_8628560332404555776_n.jpg,http://picbear.com/media/1625036074714131983_2209074004,November 07 2017 - 05:44,October 14 2017 - 03:03,"<p>When the group wants a picture, but you all have different ideas on what type of pic-</p>",13,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158974_370493163386376_630971854453997568_n.jpg,http://picbear.com/media/1618958887309218750_2209074004,November 07 2017 - 05:44,October 05 2017 - 17:49,"<p>Happy World Ballet Day! I’m so grateful too be able to dance with people that are dear to me. Just keep dancing!  <a href=""http://picbear.com/tag/happyworldballetday"" title=""posts tagged as happyworldballetday"">#happyworldballetday</a> <a href=""http://picbear.com/tag/worldballetday"" title=""posts tagged as worldballetday"">#worldballetday</a></p>",22,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.75.600.600/21985413_1101546909976303_7020313217146552320_n.jpg,http://picbear.com/media/1615604860911586965_2209074004,November 07 2017 - 05:44,October 01 2017 - 02:45,<p>⚜️♑️⚜️</p>,19,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905279_1948601741820457_4297615736043470848_n.jpg,http://picbear.com/media/1586469718465158091_2209074004,November 07 2017 - 05:44,August 21 2017 - 21:59,"<p>Okay, now I'm done 😂 <a href=""http://picbear.com/tag/solareclipse2017"" title=""posts tagged as solareclipse2017"">#solareclipse2017</a></p>",13,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968507_1129992750465472_6921581376529498112_n.jpg,http://picbear.com/media/1586461967282219083_2209074004,November 07 2017 - 05:44,August 21 2017 - 21:43,<p>🌚🌞</p>,11,4
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20904942_1919328798348580_9188069334121971712_n.jpg,http://picbear.com/media/1586450584830317577_2209074004,November 07 2017 - 05:44,August 21 2017 - 21:21,<p>You can see the tiny reflection of it- 🌑🌞</p>,12,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.135.1080.1080/20583078_519210781743655_3833312896419364864_n.jpg,http://picbear.com/media/1572901714745783343_2209074004,November 07 2017 - 05:44,August 03 2017 - 04:41,"<p>""Flowers drifting in the breeze, petals dancing.""</p>",7,3
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19534786_451665291884174_7882019931741487104_n.jpg,http://picbear.com/media/1549656714809582056_2209074004,November 07 2017 - 05:44,July 02 2017 - 02:58,<p>I'm seeing double. 🌈</p>,10,4
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17662397_1282628275106299_4311785284124540928_n.jpg,http://picbear.com/media/1485958657522066289_2209074004,November 07 2017 - 05:44,April 05 2017 - 05:41,<p>This goes out to the best mom I could ask for. Happy Birthday Mom! 😘</p>,10,0
November 07 2017 - 05:44,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15876852_977744595692379_8370201243343126528_n.jpg,http://picbear.com/media/1427221302510497930_2209074004,November 07 2017 - 05:45,January 14 2017 - 04:40,<p>💜👌💜</p>,10,1
