user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/23348297_137789150205988_4646607199215288320_n.jpg,http://picbear.com/media/1642267739055848882_3324295843,November 07 2017 - 03:01,November 06 2017 - 21:39,"<p><a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/instapic"" title=""posts tagged as instapic"">#instapic</a> <a href=""http://picbear.com/tag/instalikes"" title=""posts tagged as instalikes"">#instalikes</a> <a href=""http://picbear.com/tag/instalove"" title=""posts tagged as instalove"">#instalove</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/models"" title=""posts tagged as models"">#models</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/instaphoto"" title=""posts tagged as instaphoto"">#instaphoto</a> <a href=""http://picbear.com/tag/instamodel"" title=""posts tagged as instamodel"">#instamodel</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/stylish"" title=""posts tagged as stylish"">#stylish</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/sëdducion"" title=""posts tagged as sëdducion"">#sëdducion</a> <a href=""http://picbear.com/tag/sexy"" title=""posts tagged as sexy"">#sexy</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a></p>",33,0
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/23101008_555280238152746_948377827483320320_n.jpg,http://picbear.com/media/1639384744808547732_3324295843,November 07 2017 - 03:01,November 02 2017 - 22:11,"<p><a href=""http://picbear.com/tag/models"" title=""posts tagged as models"">#models</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/instapic"" title=""posts tagged as instapic"">#instapic</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/moda"" title=""posts tagged as moda"">#moda</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/sëdducion"" title=""posts tagged as sëdducion"">#sëdducion</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/pretty"" title=""posts tagged as pretty"">#pretty</a> <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/instaphoto"" title=""posts tagged as instaphoto"">#instaphoto</a> <a href=""http://picbear.com/tag/instalikes"" title=""posts tagged as instalikes"">#instalikes</a> <a href=""http://picbear.com/tag/hair"" title=""posts tagged as hair"">#hair</a> <a href=""http://picbear.com/tag/hairstyle"" title=""posts tagged as hairstyle"">#hairstyle</a> <a href=""http://picbear.com/tag/hairfashion"" title=""posts tagged as hairfashion"">#hairfashion</a></p>",37,8
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101540_1979329435675965_4369491386676805632_n.jpg,http://picbear.com/media/1638644646076962381_3324295843,November 07 2017 - 03:01,November 01 2017 - 21:41,"<p><a href=""http://picbear.com/tag/models"" title=""posts tagged as models"">#models</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/instapic"" title=""posts tagged as instapic"">#instapic</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/sexy"" title=""posts tagged as sexy"">#sexy</a> <a href=""http://picbear.com/tag/pretty"" title=""posts tagged as pretty"">#pretty</a> <a href=""http://picbear.com/tag/instagram"" title=""posts tagged as instagram"">#instagram</a> <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/photoshoot"" title=""posts tagged as photoshoot"">#photoshoot</a> <a href=""http://picbear.com/tag/moda"" title=""posts tagged as moda"">#moda</a></p>",40,2
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860204_128853701152585_535251619135094784_n.jpg,http://picbear.com/media/1637790786202383042_3324295843,November 07 2017 - 03:01,October 31 2017 - 17:24,"<p><a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/instapic"" title=""posts tagged as instapic"">#instapic</a> <a href=""http://picbear.com/tag/follow4follow"" title=""posts tagged as follow4follow"">#follow4follow</a> <a href=""http://picbear.com/tag/sexy"" title=""posts tagged as sexy"">#sexy</a> <a href=""http://picbear.com/tag/beauty"" title=""posts tagged as beauty"">#beauty</a> <a href=""http://picbear.com/tag/bella"" title=""posts tagged as bella"">#bella</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/photoshop"" title=""posts tagged as photoshop"">#photoshop</a> <a href=""http://picbear.com/tag/photoshoot"" title=""posts tagged as photoshoot"">#photoshoot</a></p>",37,4
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/23099010_192894497921924_5190619812899848192_n.jpg,http://picbear.com/media/1636944802719444308_3324295843,November 07 2017 - 03:01,October 30 2017 - 13:24,"<p><a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/photooftheday"" title=""posts tagged as photooftheday"">#photooftheday</a> <a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> <a href=""http://picbear.com/tag/photographer"" title=""posts tagged as photographer"">#photographer</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/like4like"" title=""posts tagged as like4like"">#like4like</a></p>",32,0
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.106.1080.1080/13556997_856969847768440_1347523628_n.jpg,http://picbear.com/media/1287145732125890097_3324295843,November 07 2017 - 03:01,July 04 2016 - 22:15,"<p><a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/makeup"" title=""posts tagged as makeup"">#makeup</a> <a href=""http://picbear.com/tag/dress"" title=""posts tagged as dress"">#dress</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/clothes"" title=""posts tagged as clothes"">#clothes</a> <a href=""http://picbear.com/tag/clothing"" title=""posts tagged as clothing"">#clothing</a> <a href=""http://picbear.com/tag/fashionable"" title=""posts tagged as fashionable"">#fashionable</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/swagger"" title=""posts tagged as swagger"">#swagger</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/musthave"" title=""posts tagged as musthave"">#musthave</a> <a href=""http://picbear.com/tag/weheartit"" title=""posts tagged as weheartit"">#weheartit</a> <a href=""http://picbear.com/tag/girly"" title=""posts tagged as girly"">#girly</a> <a href=""http://picbear.com/tag/classy"" title=""posts tagged as classy"">#classy</a> <a href=""http://picbear.com/tag/fashiondiaries"" title=""posts tagged as fashiondiaries"">#fashiondiaries</a> <a href=""http://picbear.com/tag/pants"" title=""posts tagged as pants"">#pants</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/highheels"" title=""posts tagged as highheels"">#highheels</a> <a href=""http://picbear.com/tag/shoes"" title=""posts tagged as shoes"">#shoes</a> <a href=""http://picbear.com/tag/clubsocial"" title=""posts tagged as clubsocial"">#clubsocial</a> <a href=""http://picbear.com/tag/accessories"" title=""posts tagged as accessories"">#accessories</a> <a href=""http://picbear.com/tag/loveit"" title=""posts tagged as loveit"">#loveit</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a>_fashion</p>",190,14
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/13534064_161047700977040_1120312298_n.jpg,http://picbear.com/media/1279925387107171567_3324295843,November 07 2017 - 03:01,June 24 2016 - 23:10,"<p><a href=""http://picbear.com/tag/follow"" title=""posts tagged as follow"">#follow</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/followforfollow"" title=""posts tagged as followforfollow"">#followforfollow</a> <a href=""http://picbear.com/tag/followme"" title=""posts tagged as followme"">#followme</a> <a href=""http://picbear.com/tag/follower"" title=""posts tagged as follower"">#follower</a> <a href=""http://picbear.com/tag/followers"" title=""posts tagged as followers"">#followers</a> <a href=""http://picbear.com/tag/alwaysfollowback"" title=""posts tagged as alwaysfollowback"">#alwaysfollowback</a> <a href=""http://picbear.com/tag/followbackalways"" title=""posts tagged as followbackalways"">#followbackalways</a> <a href=""http://picbear.com/tag/teamfollowback"" title=""posts tagged as teamfollowback"">#teamfollowback</a> <a href=""http://picbear.com/tag/followbackteam"" title=""posts tagged as followbackteam"">#followbackteam</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a> <a href=""http://picbear.com/tag/ifollow"" title=""posts tagged as ifollow"">#ifollow</a> <a href=""http://picbear.com/tag/followall"" title=""posts tagged as followall"">#followall</a> <a href=""http://picbear.com/tag/followher"" title=""posts tagged as followher"">#followher</a> <a href=""http://picbear.com/tag/pleasefollow"" title=""posts tagged as pleasefollow"">#pleasefollow</a> <a href=""http://picbear.com/tag/pleasefollowme"" title=""posts tagged as pleasefollowme"">#pleasefollowme</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/likeback"" title=""posts tagged as likeback"">#likeback</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a> <a href=""http://picbear.com/tag/tagstagramers"" title=""posts tagged as tagstagramers"">#tagstagramers</a></p>",139,6
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/13408704_1614472938864485_589179986_n.jpg,http://picbear.com/media/1279056429223588501_3324295843,November 07 2017 - 03:01,June 23 2016 - 18:23,"<p><a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/makeup"" title=""posts tagged as makeup"">#makeup</a> <a href=""http://picbear.com/tag/dress"" title=""posts tagged as dress"">#dress</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/clothes"" title=""posts tagged as clothes"">#clothes</a> <a href=""http://picbear.com/tag/clothing"" title=""posts tagged as clothing"">#clothing</a> <a href=""http://picbear.com/tag/fashionable"" title=""posts tagged as fashionable"">#fashionable</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/swagger"" title=""posts tagged as swagger"">#swagger</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/musthave"" title=""posts tagged as musthave"">#musthave</a> <a href=""http://picbear.com/tag/weheartit"" title=""posts tagged as weheartit"">#weheartit</a> <a href=""http://picbear.com/tag/girly"" title=""posts tagged as girly"">#girly</a> <a href=""http://picbear.com/tag/classy"" title=""posts tagged as classy"">#classy</a> <a href=""http://picbear.com/tag/fashiondiaries"" title=""posts tagged as fashiondiaries"">#fashiondiaries</a> <a href=""http://picbear.com/tag/pants"" title=""posts tagged as pants"">#pants</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/highheels"" title=""posts tagged as highheels"">#highheels</a> <a href=""http://picbear.com/tag/shoes"" title=""posts tagged as shoes"">#shoes</a> <a href=""http://picbear.com/tag/clubsocial"" title=""posts tagged as clubsocial"">#clubsocial</a> <a href=""http://picbear.com/tag/accessories"" title=""posts tagged as accessories"">#accessories</a> <a href=""http://picbear.com/tag/loveit"" title=""posts tagged as loveit"">#loveit</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a>_fashion</p>",87,3
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.113.1080.1080/13395016_1740625146217868_995659053_n.jpg,http://picbear.com/media/1278440891430548376_3324295843,November 07 2017 - 03:01,June 22 2016 - 22:00,"<p><a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/makeup"" title=""posts tagged as makeup"">#makeup</a> <a href=""http://picbear.com/tag/dress"" title=""posts tagged as dress"">#dress</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/clothes"" title=""posts tagged as clothes"">#clothes</a> <a href=""http://picbear.com/tag/clothing"" title=""posts tagged as clothing"">#clothing</a> <a href=""http://picbear.com/tag/fashionable"" title=""posts tagged as fashionable"">#fashionable</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/swagger"" title=""posts tagged as swagger"">#swagger</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/musthave"" title=""posts tagged as musthave"">#musthave</a> <a href=""http://picbear.com/tag/weheartit"" title=""posts tagged as weheartit"">#weheartit</a> <a href=""http://picbear.com/tag/girly"" title=""posts tagged as girly"">#girly</a> <a href=""http://picbear.com/tag/classy"" title=""posts tagged as classy"">#classy</a> <a href=""http://picbear.com/tag/fashiondiaries"" title=""posts tagged as fashiondiaries"">#fashiondiaries</a> <a href=""http://picbear.com/tag/pants"" title=""posts tagged as pants"">#pants</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/highheels"" title=""posts tagged as highheels"">#highheels</a> <a href=""http://picbear.com/tag/shoes"" title=""posts tagged as shoes"">#shoes</a> <a href=""http://picbear.com/tag/clubsocial"" title=""posts tagged as clubsocial"">#clubsocial</a> <a href=""http://picbear.com/tag/accessories"" title=""posts tagged as accessories"">#accessories</a> <a href=""http://picbear.com/tag/loveit"" title=""posts tagged as loveit"">#loveit</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a>_fashion</p>",88,5
November 07 2017 - 03:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/13402228_1183331128385039_915922162_n.jpg,http://picbear.com/media/1276216127857176849_3324295843,November 07 2017 - 03:01,June 19 2016 - 20:20,"<p><a href=""http://picbear.com/tag/accessories"" title=""posts tagged as accessories"">#accessories</a> <a href=""http://picbear.com/tag/classy"" title=""posts tagged as classy"">#classy</a> <a href=""http://picbear.com/tag/clothes"" title=""posts tagged as clothes"">#clothes</a> <a href=""http://picbear.com/tag/clothing"" title=""posts tagged as clothing"">#clothing</a> <a href=""http://picbear.com/tag/clubsocial"" title=""posts tagged as clubsocial"">#clubsocial</a> <a href=""http://picbear.com/tag/dress"" title=""posts tagged as dress"">#dress</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fashionable"" title=""posts tagged as fashionable"">#fashionable</a> <a href=""http://picbear.com/tag/fashiondiaries"" title=""posts tagged as fashiondiaries"">#fashiondiaries</a> <a href=""http://picbear.com/tag/girly"" title=""posts tagged as girly"">#girly</a> <a href=""http://picbear.com/tag/highheels"" title=""posts tagged as highheels"">#highheels</a> <a href=""http://picbear.com/tag/hot"" title=""posts tagged as hot"">#hot</a> <a href=""http://picbear.com/tag/instafashion"" title=""posts tagged as instafashion"">#instafashion</a> <a href=""http://picbear.com/tag/loveit"" title=""posts tagged as loveit"">#loveit</a> <a href=""http://picbear.com/tag/makeup"" title=""posts tagged as makeup"">#makeup</a> <a href=""http://picbear.com/tag/model"" title=""posts tagged as model"">#model</a> <a href=""http://picbear.com/tag/musthave"" title=""posts tagged as musthave"">#musthave</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/pants"" title=""posts tagged as pants"">#pants</a> <a href=""http://picbear.com/tag/shoes"" title=""posts tagged as shoes"">#shoes</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/swag"" title=""posts tagged as swag"">#swag</a> <a href=""http://picbear.com/tag/swagger"" title=""posts tagged as swagger"">#swagger</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a> <a href=""http://picbear.com/tag/tagsta"" title=""posts tagged as tagsta"">#tagsta</a>_fashion <a href=""http://picbear.com/tag/weheartit"" title=""posts tagged as weheartit"">#weheartit</a></p>",77,0
