user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22637766_297996834027692_846177598911283200_n.jpg,http://picbear.com/media/1630676982622469799_2270253423,October 25 2017 - 16:32,October 21 2017 - 21:51,"<p><a href=""http://picbear.com/tag/sunset"" title=""posts tagged as sunset"">#sunset</a><a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a><a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a><a href=""http://picbear.com/tag/sun"" title=""posts tagged as sun"">#sun</a><a href=""http://picbear.com/tag/port"" title=""posts tagged as port"">#port</a><a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a><a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a><a href=""http://picbear.com/tag/river"" title=""posts tagged as river"">#river</a><a href=""http://picbear.com/tag/road"" title=""posts tagged as road"">#road</a></p>",45,1
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22580784_1408664045919085_869234155882283008_n.jpg,http://picbear.com/media/1629267845065773233_2270253423,October 25 2017 - 16:32,October 19 2017 - 23:11,"<p>Приезжай почаще 🖤  <a href=""http://picbear.com/tag/finland"" title=""posts tagged as finland"">#finland</a><a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a><a href=""http://picbear.com/tag/russia"" title=""posts tagged as russia"">#russia</a><a href=""http://picbear.com/tag/nice"" title=""posts tagged as nice"">#nice</a></p>",42,1
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/22430053_185474272015703_1339820468235927552_n.jpg,http://picbear.com/media/1626143034059800535_2270253423,October 25 2017 - 16:32,October 15 2017 - 15:42,"<p>Autumn weekend  <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a><a href=""http://picbear.com/tag/cold"" title=""posts tagged as cold"">#cold</a><a href=""http://picbear.com/tag/house"" title=""posts tagged as house"">#house</a><a href=""http://picbear.com/tag/yellow"" title=""posts tagged as yellow"">#yellow</a><a href=""http://picbear.com/tag/tree"" title=""posts tagged as tree"">#tree</a><a href=""http://picbear.com/tag/water"" title=""posts tagged as water"">#water</a><a href=""http://picbear.com/tag/new"" title=""posts tagged as new"">#new</a><a href=""http://picbear.com/tag/holland"" title=""posts tagged as holland"">#holland</a><a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a><a href=""http://picbear.com/tag/this"" title=""posts tagged as this"">#this</a><a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a><a href=""http://picbear.com/tag/comfort"" title=""posts tagged as comfort"">#comfort</a><a href=""http://picbear.com/tag/cozy"" title=""posts tagged as cozy"">#cozy</a></p>",46,0
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.61.1080.1080/22277785_149353848907553_5045026357210251264_n.jpg,http://picbear.com/media/1619054599876645925_2270253423,October 25 2017 - 16:32,October 05 2017 - 20:59,"<p>Love you  <a href=""http://picbear.com/tag/weather"" title=""posts tagged as weather"">#weather</a><a href=""http://picbear.com/tag/good"" title=""posts tagged as good"">#good</a><a href=""http://picbear.com/tag/sky"" title=""posts tagged as sky"">#sky</a><a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a><a href=""http://picbear.com/tag/brushes"" title=""posts tagged as brushes"">#brushes</a><a href=""http://picbear.com/tag/dream"" title=""posts tagged as dream"">#dream</a><a href=""http://picbear.com/tag/friend"" title=""posts tagged as friend"">#friend</a><a href=""http://picbear.com/tag/cool"" title=""posts tagged as cool"">#cool</a><a href=""http://picbear.com/tag/omg"" title=""posts tagged as omg"">#omg</a><a href=""http://picbear.com/tag/tomorrow"" title=""posts tagged as tomorrow"">#tomorrow</a><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a><a href=""http://picbear.com/tag/wind"" title=""posts tagged as wind"">#wind</a><a href=""http://picbear.com/tag/cold"" title=""posts tagged as cold"">#cold</a><a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a><a href=""http://picbear.com/tag/lover"" title=""posts tagged as lover"">#lover</a><a href=""http://picbear.com/tag/help"" title=""posts tagged as help"">#help</a><a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a></p>",47,1
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.71.1080.1080/22069764_346879832402047_6151110118172786688_n.jpg,http://picbear.com/media/1613975574061970672_2270253423,October 25 2017 - 16:32,September 28 2017 - 20:48,<p>Ты знаешь</p>,40,0
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984809_132107354197756_1172464993078083584_n.jpg,http://picbear.com/media/1612480805275960096_2270253423,October 25 2017 - 16:32,September 26 2017 - 19:18,"<p>You're my inspiration  <a href=""http://picbear.com/tag/sisters"" title=""posts tagged as sisters"">#sisters</a><a href=""http://picbear.com/tag/grey"" title=""posts tagged as grey"">#grey</a><a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a><a href=""http://picbear.com/tag/idiots"" title=""posts tagged as idiots"">#idiots</a><a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a><a href=""http://picbear.com/tag/together"" title=""posts tagged as together"">#together</a><a href=""http://picbear.com/tag/forever"" title=""posts tagged as forever"">#forever</a><a href=""http://picbear.com/tag/inspiration"" title=""posts tagged as inspiration"">#inspiration</a></p>",36,0
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22069237_118466585488756_8703867090676744192_n.jpg,http://picbear.com/media/1611843046572077994_2270253423,October 25 2017 - 16:32,September 25 2017 - 22:11,<p>My day#river#city#wind#relax</p>,44,0
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21911206_362706190850395_3731997731758014464_n.jpg,http://picbear.com/media/1611545673488869978_2270253423,October 25 2017 - 16:32,September 25 2017 - 12:20,<p>I think about you#last#weekend#good#day#but#now#bad#street#style#interesting#favorite#city#atmosphere#amazing</p>,43,2
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909663_127358331249585_6642810807581147136_n.jpg,http://picbear.com/media/1610443173939579004_2270253423,October 25 2017 - 16:32,September 23 2017 - 23:50,"<p>Thank you for amazing day)  <a href=""http://picbear.com/tag/thebestoftheday"" title=""posts tagged as thebestoftheday"">#thebestoftheday</a><a href=""http://picbear.com/tag/cool"" title=""posts tagged as cool"">#cool</a><a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a><a href=""http://picbear.com/tag/you"" title=""posts tagged as you"">#you</a><a href=""http://picbear.com/tag/friends"" title=""posts tagged as friends"">#friends</a><a href=""http://picbear.com/tag/beautiful"" title=""posts tagged as beautiful"">#beautiful</a><a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a><a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a><a href=""http://picbear.com/tag/mirror"" title=""posts tagged as mirror"">#mirror</a><a href=""http://picbear.com/tag/white"" title=""posts tagged as white"">#white</a><a href=""http://picbear.com/tag/magazine"" title=""posts tagged as magazine"">#magazine</a><a href=""http://picbear.com/tag/shop"" title=""posts tagged as shop"">#shop</a><a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a><a href=""http://picbear.com/tag/incredible"" title=""posts tagged as incredible"">#incredible</a><a href=""http://picbear.com/tag/city"" title=""posts tagged as city"">#city</a><a href=""http://picbear.com/tag/favourite"" title=""posts tagged as favourite"">#favourite</a></p>",34,2
October 25 2017 - 16:22,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827301_1611024005623566_2931322511029174272_n.jpg,http://picbear.com/media/1608600708886393043_2270253423,October 25 2017 - 16:32,September 21 2017 - 10:49,"<p><a href=""http://picbear.com/tag/grey"" title=""posts tagged as grey"">#grey</a><a href=""http://picbear.com/tag/with"" title=""posts tagged as with"">#with</a><a href=""http://picbear.com/tag/the"" title=""posts tagged as the"">#the</a><a href=""http://picbear.com/tag/best"" title=""posts tagged as best"">#best</a><a href=""http://picbear.com/tag/friend"" title=""posts tagged as friend"">#friend</a><a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a><a href=""http://picbear.com/tag/amazing"" title=""posts tagged as amazing"">#amazing</a><a href=""http://picbear.com/tag/after"" title=""posts tagged as after"">#after</a><a href=""http://picbear.com/tag/rain"" title=""posts tagged as rain"">#rain</a><a href=""http://picbear.com/tag/cool"" title=""posts tagged as cool"">#cool</a><a href=""http://picbear.com/tag/saintpetersburg"" title=""posts tagged as saintpetersburg"">#saintpetersburg</a><a href=""http://picbear.com/tag/lark"" title=""posts tagged as lark"">#lark</a><a href=""http://picbear.com/tag/omg"" title=""posts tagged as omg"">#omg</a><a href=""http://picbear.com/tag/brown"" title=""posts tagged as brown"">#brown</a><a href=""http://picbear.com/tag/want"" title=""posts tagged as want"">#want</a><a href=""http://picbear.com/tag/return"" title=""posts tagged as return"">#return</a><a href=""http://picbear.com/tag/the"" title=""posts tagged as the"">#the</a><a href=""http://picbear.com/tag/best"" title=""posts tagged as best"">#best</a><a href=""http://picbear.com/tag/day"" title=""posts tagged as day"">#day</a><a href=""http://picbear.com/tag/together"" title=""posts tagged as together"">#together</a><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a></p>",46,2
