user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580168_122439881847491_9130805381272961024_n.jpg,http://picbear.com/media/1627756032280094538_2300899056,November 06 2017 - 19:39,October 17 2017 - 21:07,,37,2
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/22158825_2013799802185299_7121185978701578240_n.jpg,http://picbear.com/media/1618361108073902064_2300899056,November 06 2017 - 19:39,October 04 2017 - 22:01,"<p><a href=""http://picbear.com/tag/morgen"" title=""posts tagged as morgen"">#morgen</a><a href=""http://picbear.com/tag/czechgirl"" title=""posts tagged as czechgirl"">#czechgirl</a></p>",38,3
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22069409_848123405354140_4216893354723508224_n.jpg,http://picbear.com/media/1615432291483218413_2300899056,November 06 2017 - 19:39,September 30 2017 - 21:02,,31,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21985222_277849879373836_2609064423251247104_n.jpg,http://picbear.com/media/1614752839048708183_2300899056,November 06 2017 - 19:39,September 29 2017 - 22:32,,40,1
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.87.700.700/21980896_363559957434845_7653456611360374784_n.jpg,http://picbear.com/media/1614013005128549726_2300899056,November 06 2017 - 19:39,September 28 2017 - 22:02,,38,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21980338_384300021987468_3442620857036308480_n.jpg,http://picbear.com/media/1613280030993934497_2300899056,November 06 2017 - 19:39,September 27 2017 - 21:46,,47,1
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.26.863.863/19623045_120743608533895_6856548390482739200_n.jpg,http://picbear.com/media/1550977366812961784_2300899056,November 06 2017 - 19:39,July 03 2017 - 22:42,,27,4
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19535362_1338542449594462_3444049680986537984_n.jpg,http://picbear.com/media/1550941400882498448_2300899056,November 06 2017 - 19:39,July 03 2017 - 21:30,,30,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19761432_334297633675126_494524913873321984_n.jpg,http://picbear.com/media/1550848339133392720_2300899056,November 06 2017 - 19:39,July 03 2017 - 18:25,,38,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/19437051_1930672583843046_4415172637362225152_n.jpg,http://picbear.com/media/1548531815773141461_2300899056,November 06 2017 - 19:39,June 30 2017 - 13:43,<p>Díky za fans ❤❤</p>,25,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19436286_319501518506307_7909877446105628672_n.jpg,http://picbear.com/media/1547082223802248810_2300899056,November 06 2017 - 19:39,June 28 2017 - 13:43,,25,0
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/19429340_100788170548895_2304218261740322816_n.jpg,http://picbear.com/media/1545894864188528917_2300899056,November 06 2017 - 19:40,June 26 2017 - 22:24,,42,3
November 06 2017 - 19:39,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.13.720.720/19380128_134098857168788_7667151698699223040_n.jpg,http://picbear.com/media/1545768342093935535_2300899056,November 06 2017 - 19:40,June 26 2017 - 18:12,,27,0
