user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279234_2057816824448529_271464782333214720_n.jpg,http://picbear.com/media/1642091309759995033_477719263,November 07 2017 - 05:04,November 06 2017 - 15:49,,3,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17125738_637233929811110_8835216033926086656_n.jpg,http://picbear.com/media/1464948291564470015_477719263,November 07 2017 - 05:04,March 07 2017 - 05:57,,20,1
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c51.0.618.618/15276639_226038827829233_1132641493668855808_n.jpg,http://picbear.com/media/1394862160236123333_477719263,November 07 2017 - 05:04,November 30 2016 - 13:09,,11,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15046939_1799967213574605_946360799171969024_n.jpg,http://picbear.com/media/1380077814992130729_477719263,November 07 2017 - 05:04,November 10 2016 - 03:35,,10,2
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14733483_1088302824602307_4782327508638892032_n.jpg,http://picbear.com/media/1378644552839092157_477719263,November 07 2017 - 05:04,November 08 2016 - 04:07,,5,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14719632_1860879354130991_1416067626777444352_n.jpg,http://picbear.com/media/1378397596338511961_477719263,November 07 2017 - 05:04,November 07 2016 - 19:56,,7,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14716571_953413838136968_8778633250005319680_n.jpg,http://picbear.com/media/1378397158855703155_477719263,November 07 2017 - 05:04,November 07 2016 - 19:56,,3,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14736236_1252651784756636_2492436145401495552_n.jpg,http://picbear.com/media/1378396938998805981_477719263,November 07 2017 - 05:04,November 07 2016 - 19:55,,4,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14717422_187672055021881_1383422950455115776_n.jpg,http://picbear.com/media/1376884050467337535_477719263,November 07 2017 - 05:04,November 05 2016 - 17:49,,6,0
November 07 2017 - 05:04,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14624275_1798224647129167_3055242075684470784_n.jpg,http://picbear.com/media/1376734773610919640_477719263,November 07 2017 - 05:04,November 05 2016 - 12:53,,8,0
