user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157946_1947942235453417_3709719259652292608_n.jpg,http://picbear.com/media/1618372779076298373_3152720921,November 06 2017 - 18:07,October 04 2017 - 22:24,<p>Byli jsme na houbách 🍄</p>,20,1
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041457_1661415740566745_9011479279845769216_n.jpg,http://picbear.com/media/1589248940807584408_3152720921,November 06 2017 - 18:07,August 25 2017 - 18:00,<p>Bulgaria - Primorsko 🌞🌊</p>,29,3
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20905632_224319558096762_6558415151186313216_n.jpg,http://picbear.com/media/1586415406044702189_3152720921,November 06 2017 - 18:07,August 21 2017 - 20:11,"<p>Druhý den v Bulharsku 🌊 Je to tu super, ale dnes nesvítí slunce.⛅</p>",20,1
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902132_150676168850699_4970086114267234304_n.jpg,http://picbear.com/media/1585596904413309901_3152720921,November 06 2017 - 18:07,August 20 2017 - 17:05,<p>Za hodinu letíme</p>,17,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20634121_339124156515741_5737378233536479232_n.jpg,http://picbear.com/media/1577440030803109305_3152720921,November 06 2017 - 18:07,August 09 2017 - 10:58,<p>Bylo to tam super👌</p>,18,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20687122_125716804716230_7241748227551133696_n.jpg,http://picbear.com/media/1577433862064140402_3152720921,November 06 2017 - 18:07,August 09 2017 - 10:46,<p>ZOO Zlín 🐒🐎🐍</p>,17,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19985907_252810551790510_3593755627991597056_n.jpg,http://picbear.com/media/1559399596478886819_3152720921,November 06 2017 - 18:08,July 15 2017 - 13:35,,28,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19984483_129013504367095_3996832132558225408_n.jpg,http://picbear.com/media/1559399300109374455_3152720921,November 06 2017 - 18:08,July 15 2017 - 13:35,<p>Prachov - Prachovské skály 👌👍</p>,17,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19955067_835097696654425_847035355419901952_n.jpg,http://picbear.com/media/1557375874301551740_3152720921,November 06 2017 - 18:08,July 12 2017 - 18:34,<p>Loučeň - Labyrinty 👌</p>,19,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19623313_1265801500208310_5333539290670432256_n.jpg,http://picbear.com/media/1557367457440689790_3152720921,November 06 2017 - 18:08,July 12 2017 - 18:18,<p>Hrad Kost 🏰</p>,19,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19429352_1473004942738331_8846363535643508736_n.jpg,http://picbear.com/media/1547773863725846985_3152720921,November 06 2017 - 18:08,June 29 2017 - 12:37,<p>Kunovice koupaliště 🌅</p>,22,3
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17932666_1684389291578134_7172794593493123072_n.jpg,http://picbear.com/media/1495632587719196707_3152720921,November 06 2017 - 18:08,April 18 2017 - 14:01,,47,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/17934503_284130405374959_6178468973948960768_n.jpg,http://picbear.com/media/1495629207252829930_3152720921,November 06 2017 - 18:08,April 18 2017 - 13:55,<p>Mořský svět - Praha (Holešovice)</p>,25,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c80.0.480.480/16464805_1793313877660927_7211158177683865600_n.jpg,http://picbear.com/media/1453855272840747755_3152720921,November 06 2017 - 18:08,February 19 2017 - 22:37,<p>Na dovolené bylo nádherně👌</p>,64,5
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16585549_1230651140350052_6468706873649397760_n.jpg,http://picbear.com/media/1452231549457217917_3152720921,November 06 2017 - 18:08,February 17 2017 - 16:51,<p>Dovolená v Orlických Horách👍 Dobrá lyžovačka🎿</p>,34,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16585678_1307144359347382_7497727277665353728_n.jpg,http://picbear.com/media/1452229685198129976_3152720921,November 06 2017 - 18:08,February 17 2017 - 16:48,<p>Tolik ovoce🍌🍏🍊🍇🍉 mñam</p>,26,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15876059_176996986111783_7797985537930821632_n.jpg,http://picbear.com/media/1426921336089841860_3152720921,November 06 2017 - 18:08,January 13 2017 - 18:45,"<p><a href=""http://picbear.com/tag/lyžovačka"" title=""posts tagged as lyžovačka"">#lyžovačka</a> <a href=""http://picbear.com/tag/jeseníky"" title=""posts tagged as jeseníky"">#jeseníky</a> <a href=""http://picbear.com/tag/paprsek"" title=""posts tagged as paprsek"">#paprsek</a> 🎿</p>",76,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15877234_979025798907439_7159582608370696192_n.jpg,http://picbear.com/media/1424079876785070957_3152720921,November 06 2017 - 18:08,January 09 2017 - 20:39,<p>POHODA👌👍</p>,25,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15338374_1324150990984353_1988456230393217024_n.jpg,http://picbear.com/media/1406600666575327811_3152720921,November 06 2017 - 18:08,December 16 2016 - 17:51,<p>Mňam cukroví🆒🍮🍰</p>,22,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14723137_1810324612563109_6846898299048296448_n.jpg,http://picbear.com/media/1402368327234153858_3152720921,November 06 2017 - 18:08,December 10 2016 - 21:42,<p>Konečně pečeme 😉</p>,16,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15337150_164121510731231_6311000673882210304_n.jpg,http://picbear.com/media/1402366671188834096_3152720921,November 06 2017 - 18:08,December 10 2016 - 21:39,<p>Boty kamarádek👟👢🆒</p>,15,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15275751_1626646494306812_3142073262003978240_n.jpg,http://picbear.com/media/1401632055620403416_3152720921,November 06 2017 - 18:08,December 09 2016 - 21:19,<p>Výzdoba uherského hradiště👌👌</p>,20,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/11420897_945424448924155_4296430260645265408_n.jpg,http://picbear.com/media/1396568663620747338_3152720921,November 06 2017 - 18:08,December 02 2016 - 21:39,<p>Výzdoba třídy👍😊</p>,15,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15046789_366324633706184_2287244916058750976_n.jpg,http://picbear.com/media/1390770935292550087_3152720921,November 06 2017 - 18:08,November 24 2016 - 21:40,<p>Moje divná kámoška😊</p>,17,1
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15057243_289360184792104_1269486710861856768_n.jpg,http://picbear.com/media/1388515897065091673_3152720921,November 06 2017 - 18:08,November 21 2016 - 19:00,<p>Různé svíčky 👍 Jaká se vám nejvíc líbí?</p>,12,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15057325_1720221794961924_8073899498360799232_n.jpg,http://picbear.com/media/1386374917834896661_3152720921,November 06 2017 - 18:08,November 18 2016 - 20:06,<p>S holkami na ostrůvku 🕑⏳</p>,12,8
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15035696_653160988190808_8300975123674955776_n.jpg,http://picbear.com/media/1382792918540959036_3152720921,November 06 2017 - 18:08,November 13 2016 - 21:29,<p>Můj roztomilý králíček🐰🐇</p>,11,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14606983_193490277724963_6791787941585747968_n.jpg,http://picbear.com/media/1381273050133889797_3152720921,November 06 2017 - 18:08,November 11 2016 - 19:10,<p>Mlsání králíčka🌾🍎🌿</p>,15,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15056662_1985237505036615_7672959258987593728_n.jpg,http://picbear.com/media/1380544560086523854_3152720921,November 06 2017 - 18:08,November 10 2016 - 19:02,<p>Zima se už blíží.</p>,13,2
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14515764_1259488814102937_1315497699071492096_n.jpg,http://picbear.com/media/1379042934083311447_3152720921,November 06 2017 - 18:08,November 08 2016 - 17:19,<p>Dřevěné zvířátka 🐻🐈🐥🐟</p>,11,0
November 06 2017 - 18:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/14565150_1795650854010459_2888384215437541376_n.jpg,http://picbear.com/media/1379038095416943979_3152720921,November 06 2017 - 18:08,November 08 2016 - 17:09,<p>Roztomilé zvířátka 😊😃</p>,11,0
