user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500034_370272113430863_6745660400848601088_n.jpg,http://picbear.com/media/1627893137376322452_7719696,October 18 2017 - 14:44,October 18 2017 - 01:40,<p>🍂 ♡</p>,1634514,19182
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22580114_394053307684372_2274958337474822144_n.jpg,http://picbear.com/media/1627245651410469708_7719696,October 18 2017 - 14:44,October 17 2017 - 04:13,"<p>thank u <a href=""http://picbear.com/tag/hhn27"" title=""posts tagged as hhn27"">#hhn27</a></p>",1484568,11319
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429989_907333649431798_183667885502103552_n.jpg,http://picbear.com/media/1625591317031489900_7719696,October 18 2017 - 14:44,October 14 2017 - 21:26,,2846292,40716
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22427363_348216688973749_2325389641600991232_n.jpg,http://picbear.com/media/1625576307714494485_7719696,October 18 2017 - 14:44,October 14 2017 - 20:56,<p>boo</p>,3049602,27263
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22427295_1905756286409822_8461285778725535744_n.jpg,http://picbear.com/media/1624252001978031275_7719696,October 18 2017 - 14:44,October 13 2017 - 01:05,"<p>happppppy birthday queen motha ! the epitome of style, grace, hilariousness and bad ass Italian grandmotherness. the toughest of cookies and an inspiration to all ! I'm SO GRATEFUL to be here with her to celebrate ! 92 neva looked so fly. 🙏🏼♡</p>",3291535,31732
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22344684_123527875018690_902983996009349120_n.jpg,http://picbear.com/media/1620543726988134041_7719696,October 18 2017 - 14:44,October 07 2017 - 22:18,<p>btw i (it's grey)</p>,4392906,85615
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22221125_1650935458262829_1208356750575534080_n.jpg,http://picbear.com/media/1620502764878505672_7719696,October 18 2017 - 14:44,October 07 2017 - 20:56,<p>doug thinks he's judy garland</p>,1940843,18722
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21909555_119716928695489_219497593607028736_n.jpg,http://picbear.com/media/1611226770850039724_7719696,October 18 2017 - 14:44,September 25 2017 - 01:47,<p>join us tonight for an evening of music and unity! watch live at http://www.musicandunity.tumblr.com</p>,532466,25349
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21911478_118064962202050_8524650870057467904_n.jpg,http://picbear.com/media/1608801928305616586_7719696,October 18 2017 - 14:44,September 21 2017 - 17:29,<p>Thank you Dangerous Woman Tour</p>,1764627,30599
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21827722_348344325624840_3947356063518425088_n.jpg,http://picbear.com/media/1608472711235704975_7719696,October 18 2017 - 14:44,September 21 2017 - 06:35,<p>🏹 ♡</p>,2112594,14598
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21878925_384233665327884_7312810419968540672_n.jpg,http://picbear.com/media/1608466773141416335_7719696,October 18 2017 - 14:44,September 21 2017 - 06:23,<p>last show tonight. woke up feeling so incredibly sad. but also incredibly grateful. and filled with so much love. thank you.</p>,1639290,8286
October 18 2017 - 14:43,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21879469_1956216391288675_407280899592290304_n.jpg,http://picbear.com/media/1608106022513942949_7719696,October 18 2017 - 14:44,September 20 2017 - 18:26,<p>♡</p>,2516222,23779
