user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23098608_1855642998099277_5546683347746422784_n.jpg,http://picbear.com/media/1637371671199307523_2306901097,November 07 2017 - 03:33,October 31 2017 - 03:32,"<p>Best friends of D class 😊😃👏👏 <a href=""http://picbear.com/rinapurri"" title=""rinapurri instagram profile"">@rinapurri</a> <a href=""http://picbear.com/umi1901kulsum"" title=""umi1901kulsum instagram profile"">@umi1901kulsum</a> <a href=""http://picbear.com/iam_sekarayu"" title=""iam_sekarayu instagram profile"">@iam_sekarayu</a> <a href=""http://picbear.com/frazna_grahana"" title=""frazna_grahana instagram profile"">@frazna_grahana</a> <a href=""http://picbear.com/tag/unfaedah"" title=""posts tagged as unfaedah"">#unfaedah</a> <a href=""http://picbear.com/tag/miexp"" title=""posts tagged as miexp"">#miexp</a> <a href=""http://picbear.com/tag/sparetime"" title=""posts tagged as sparetime"">#sparetime</a></p>",64,5
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296963_265937583918519_5023761437256843264_n.jpg,http://picbear.com/media/1595125567644813841_2306901097,November 07 2017 - 03:33,September 02 2017 - 20:36,"<p>Stay grateful and patient, and don't disappointed them who care to you 😊</p>",193,15
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19624511_249068015597216_4367308486728482816_n.jpg,http://picbear.com/media/1551799245370503031_2306901097,November 07 2017 - 03:33,July 05 2017 - 01:55,"<p>I didn't see at the camera, i just focus something in front of me 😄 <a href=""http://picbear.com/tag/homesweethome"" title=""posts tagged as homesweethome"">#homesweethome</a> <a href=""http://picbear.com/tag/grateful"" title=""posts tagged as grateful"">#grateful</a></p>",298,15
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18723669_228768197626786_686131775839141888_n.jpg,http://picbear.com/media/1530773260579797071_2306901097,November 07 2017 - 03:33,June 06 2017 - 01:40,"<p>I've been finished with playing those games along with my friend <a href=""http://picbear.com/mznlariefin_"" title=""mznlariefin_ instagram profile"">@mznlariefin_</a>  but we are still playing the witcher 3 because there is a lot of mystery that we haven't found yet, such as collecting all heroes' gwent 😂😂😄😄 <a href=""http://picbear.com/tag/ffxv"" title=""posts tagged as ffxv"">#ffxv</a> <a href=""http://picbear.com/tag/uncharted4"" title=""posts tagged as uncharted4"">#uncharted4</a> <a href=""http://picbear.com/tag/thewitcher3"" title=""posts tagged as thewitcher3"">#thewitcher3</a> <a href=""http://picbear.com/tag/ps4"" title=""posts tagged as ps4"">#ps4</a></p>",225,11
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18251660_217831222051736_2901825693547495424_n.jpg,http://picbear.com/media/1509045240173359006_2306901097,November 07 2017 - 03:33,May 07 2017 - 02:10,"<p>Just be yourself <a href=""http://picbear.com/tag/formalsuit"" title=""posts tagged as formalsuit"">#formalsuit</a> <a href=""http://picbear.com/tag/dimple"" title=""posts tagged as dimple"">#dimple</a></p>",269,1
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18161739_1364221256990075_5597627187499892736_n.jpg,http://picbear.com/media/1505432598535885817_2306901097,November 07 2017 - 03:33,May 02 2017 - 02:32,"<p>Gak tahu harus gaya gimana 😄 probably this is my only style 😉 <a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/semangat"" title=""posts tagged as semangat"">#semangat</a> <a href=""http://picbear.com/tag/grateful"" title=""posts tagged as grateful"">#grateful</a></p>",159,11
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/17662135_277915392631855_8701770635535187968_n.jpg,http://picbear.com/media/1486864998885235721_2306901097,November 07 2017 - 03:33,April 06 2017 - 11:42,<p>What caption do you think for this pict?</p>,223,16
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/16229037_1308704862506685_5442236593580539904_n.jpg,http://picbear.com/media/1442420721330279416_2306901097,November 07 2017 - 03:33,February 04 2017 - 03:59,<p>New Rupiah 😄😄👏👏</p>,229,19
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15034926_1830572247156606_6091059234059845632_n.jpg,http://picbear.com/media/1384399875462837025_2306901097,November 07 2017 - 03:33,November 16 2016 - 02:42,<p>Close your eyes and find the true light on your heart 😊</p>,408,25
November 07 2017 - 03:33,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/13768297_347395808983329_1173202913_n.jpg,http://picbear.com/media/1328610379349932452_2306901097,November 07 2017 - 03:33,August 31 2016 - 03:18,<p></p>,260,10
