user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164235_499299983770499_3144457664637960192_n.jpg,http://picbear.com/media/1642499689654173711_6332665626,November 07 2017 - 03:51,November 07 2017 - 05:20,"<p>If we can accomplish this than we must be geniuses <a href=""http://picbear.com/tag/picklerick"" title=""posts tagged as picklerick"">#picklerick</a><a href=""http://picbear.com/tag/rickandmorty"" title=""posts tagged as rickandmorty"">#rickandmorty</a><a href=""http://picbear.com/tag/isanawsomeshow"" title=""posts tagged as isanawsomeshow"">#isanawsomeshow</a></p>",5,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161837_1692031470836783_1595023890206162944_n.jpg,http://picbear.com/media/1642496994562033275_6332665626,November 07 2017 - 03:51,November 07 2017 - 05:15,<p>And also we better not make Fallout 4 an actual thing because i would hate waking up to a bunch of rad roaches next to my bed</p>,0,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279421_127814374598255_6086925877793259520_n.jpg,http://picbear.com/media/1642495343818195708_6332665626,November 07 2017 - 03:51,November 07 2017 - 05:12,"<p>""Earth is what we make it"" we better be smart aboit what we make it</p>",1,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/23279483_362936880826693_2447088411811512320_n.jpg,http://picbear.com/media/1641809405698035033_6332665626,November 07 2017 - 03:51,November 06 2017 - 06:29,<p>I'm blue if i was green i would die</p>,2,1
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23163983_1630098340369258_996544537088229376_n.jpg,http://picbear.com/media/1641799421333457511_6332665626,November 07 2017 - 03:51,November 06 2017 - 06:09,,2,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161492_109215896517645_8975977423774416896_n.jpg,http://picbear.com/media/1641640909475350972_6332665626,November 07 2017 - 03:51,November 06 2017 - 00:54,"<p><a href=""http://picbear.com/tag/legendofzelda"" title=""posts tagged as legendofzelda"">#legendofzelda</a><a href=""http://picbear.com/tag/neverplayedit"" title=""posts tagged as neverplayedit"">#neverplayedit</a><a href=""http://picbear.com/tag/isitfun"" title=""posts tagged as isitfun"">#isitfun</a></p>",2,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161661_1667181200022968_2739764147834060800_n.jpg,http://picbear.com/media/1641636367748684148_6332665626,November 07 2017 - 03:51,November 06 2017 - 00:45,<p>And the other by Twenty One Pilots tell me wich one is better</p>,2,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164293_146798032605513_7115997580898598912_n.jpg,http://picbear.com/media/1641635999396503960_6332665626,November 07 2017 - 03:52,November 06 2017 - 00:44,"<p>There is a song by My Chemical Romance it is called ""Cancer"" why is that idk why but there is two versoins one by MCR</p>",2,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279747_1938148036443000_2497018927045935104_n.jpg,http://picbear.com/media/1641631701493293644_6332665626,November 07 2017 - 03:52,November 06 2017 - 00:36,,2,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164155_1821338941490825_5648541679741829120_n.jpg,http://picbear.com/media/1641630536248355503_6332665626,November 07 2017 - 03:52,November 06 2017 - 00:33,<p>He will be on your nightmares</p>,4,1
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164006_381586085607784_4173713677674872832_n.jpg,http://picbear.com/media/1641508242507241749_6332665626,November 07 2017 - 03:52,November 05 2017 - 20:30,<p>If you see this guy than you know you done mest up</p>,4,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279313_1980088955548059_5827251592436383744_n.jpg,http://picbear.com/media/1641055072253532422_6332665626,November 07 2017 - 03:52,November 05 2017 - 05:30,<p>Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh</p>,3,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/23101814_1484864148230044_5306218565613912064_n.jpg,http://picbear.com/media/1640913052423832086_6332665626,November 07 2017 - 03:52,November 05 2017 - 00:48,,8,0
November 07 2017 - 03:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/23164136_332968393832669_9206929261368180736_n.jpg,http://picbear.com/media/1640911538296845753_6332665626,November 07 2017 - 03:52,November 05 2017 - 00:45,,3,0
