user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164136_300940700401197_4008224322857467904_n.jpg,http://picbear.com/media/1641615786543841086_1616400578,November 06 2017 - 17:01,November 06 2017 - 00:04,"<p><a href=""http://picbear.com/tag/fireworks"" title=""posts tagged as fireworks"">#fireworks</a> <a href=""http://picbear.com/tag/bonfirenight"" title=""posts tagged as bonfirenight"">#bonfirenight</a> <a href=""http://picbear.com/tag/fire"" title=""posts tagged as fire"">#fire</a></p>",79,5
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.92.1078.1078/22860417_287860771734389_7295386180030300160_n.jpg,http://picbear.com/media/1637200344660089169_1616400578,November 06 2017 - 17:01,October 30 2017 - 21:51,"<p>'Pop the top down like a summer dream She's my teenage time machine Just keeps getting sweeter with age She's classic through any decade'  80s Mercedes - Maren Morris <a href=""http://picbear.com/tag/retro"" title=""posts tagged as retro"">#retro</a> <a href=""http://picbear.com/tag/oldfashioned"" title=""posts tagged as oldfashioned"">#oldfashioned</a> <a href=""http://picbear.com/tag/50s"" title=""posts tagged as 50s"">#50s</a></p>",82,1
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.115.1050.1050/22860914_1746891548701169_8635991566424473600_n.jpg,http://picbear.com/media/1636294773614365227_1616400578,November 06 2017 - 17:01,October 29 2017 - 15:52,"<p>'Powder your nose, paint your toes line your lips and keep 'em closed Cross your legs, dot your I's and never let 'em see you cry'  Mama's broken heart - Miranda Lambert</p>",83,3
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.72.1080.1080/22637781_141253129831340_2224177749428273152_n.jpg,http://picbear.com/media/1631254578523344420_1616400578,November 06 2017 - 17:01,October 22 2017 - 16:58,"<p>'Time to get a gun  That’s what I’ve been thinking  I could afford one  If I did just a little less drinking  Time to put something Between me and the sun When the talking is over It’s time to get a gun'  Miranda Lambert - Time to get a Gun  <a href=""http://picbear.com/tag/cowboy"" title=""posts tagged as cowboy"">#cowboy</a> <a href=""http://picbear.com/tag/texas"" title=""posts tagged as texas"">#texas</a></p>",71,2
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.129.1037.1037/21985428_141820106428979_5581535426805497856_n.jpg,http://picbear.com/media/1613951682668676301_1616400578,November 06 2017 - 17:01,September 28 2017 - 20:00,"<p>There she stood in the doorway; I heard the mission bell And I was thinking to myself 'This could be heaven or this could be Hell' Then she lit up a candle and she showed me the way There were voices down the corridor, I thought I heard them say  Welcome to the Hotel California Such a lovely place (such a lovely place) Such a lovely face. Plenty of room at the Hotel California Any time of year (any time of year) you can find it here  Eagles - Hotel California  <a href=""http://picbear.com/tag/blonde"" title=""posts tagged as blonde"">#blonde</a> <a href=""http://picbear.com/tag/red"" title=""posts tagged as red"">#red</a> <a href=""http://picbear.com/tag/oldfashioned"" title=""posts tagged as oldfashioned"">#oldfashioned</a></p>",100,3
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.126.1014.1014/21980671_177443372805453_5562446809730646016_n.jpg,http://picbear.com/media/1610909637947509275_1616400578,November 06 2017 - 17:01,September 24 2017 - 15:16,"<p>So when your hope's on fire But you know your desire Don't hold a glass over the flame Don't let your heart grow cold I will call you by name I will share your road  But hold me fast, hold me fast 'Cause I'm a hopeless wanderer And hold me fast, hold me fast 'Cause I'm a hopeless wanderer I will learn, I will learn to love the skies I'm under And I will learn, I will learn to love the skies I'm under The skies I'm under - Hopeless Wanderer - Mumford &amp; Sons  <a href=""http://picbear.com/tag/shirt"" title=""posts tagged as shirt"">#shirt</a> <a href=""http://picbear.com/tag/blonde"" title=""posts tagged as blonde"">#blonde</a> <a href=""http://picbear.com/tag/heals"" title=""posts tagged as heals"">#heals</a></p>",115,6
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21689970_617481771975305_8601864172902285312_n.jpg,http://picbear.com/media/1605852124818677212_1616400578,November 06 2017 - 17:01,September 17 2017 - 15:48,"<p>'We are not alone Find out when your cover's blown There'll be somebody there to break your fall We are not alone 'Cause when you cut down to the bone We're really not so different after all After all We're not alone' - We Are Not Alone, Karla DeVito  <a href=""http://picbear.com/tag/green"" title=""posts tagged as green"">#green</a> <a href=""http://picbear.com/tag/tea"" title=""posts tagged as tea"">#tea</a> <a href=""http://picbear.com/tag/fall"" title=""posts tagged as fall"">#fall</a> <a href=""http://picbear.com/tag/vibes"" title=""posts tagged as vibes"">#vibes</a> <a href=""http://picbear.com/tag/scarf"" title=""posts tagged as scarf"">#scarf</a></p>",120,6
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21435488_1767350146627610_8726639874863529984_n.jpg,http://picbear.com/media/1600816105197967253_1616400578,November 06 2017 - 17:01,September 10 2017 - 17:02,"<p>'Wake up in the morning See your sunrise loves to go down Lousy lovers pick their prey But they never cry out loud Cry out  Did she make you cry Make you break down Shatter your illusions of love And is it over now do you know how Pick up the pieces and go home' - Golddust Woman, Fleetwood Mac</p>",137,4
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21224450_545360152468436_4310148935944503296_n.jpg,http://picbear.com/media/1593736126421412033_1616400578,November 06 2017 - 17:01,August 31 2017 - 22:36,"<p>Frodo: ""I can't do this, Sam..."" Sam: ""I know... It's all wrong. By rights we shouldn't even be here... But we are... It's like in the great stories, Mr. Frodo. The ones that really mattered. Full of darkness and danger they were, and sometimes you didn't want to know the ending, because how could the end be happy? How could the world go back to the way it was when so much bad had happened. But in the end, it's only a passing thing, this shadow. Even darkness must pass. A new day will come and when the sun shines it'll shine out the clearer. Those were the stories that stayed with you, that meant something, even if you were too small to understand why. But I think, Mr Frodo, I do understand... I know now. Folk in those stories had lots of chances of turning back only the didn't. They kept going, because they were holding onto something... Frodo: What are we holding onto, Sam? Sam: That there's some good in this world, Mr Frodo... And it's worth fighting for. - Lord Of The Rings</p>",143,2
November 06 2017 - 17:00,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c196.0.688.688/21107481_371260876626235_1831321561924108288_n.jpg,http://picbear.com/media/1590755859335270374_1616400578,November 06 2017 - 17:01,August 27 2017 - 19:54,"<p>'One is either free, or one is not. The concept of freedom is an absolute. After all, one can not be moderately dead, or moderately loved, or moderately free. It must always remain a matter of either or.' - The Duchess</p>",97,2
