user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22580443_1963881897168410_9150106199797006336_n.jpg,http://picbear.com/media/1628180595385064005_247944034,October 18 2017 - 15:07,October 18 2017 - 11:11,,1308797,13940
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580440_194319427779786_4816060606983438336_n.jpg,http://picbear.com/media/1628086286149421762_247944034,October 18 2017 - 15:07,October 18 2017 - 08:03,,1814123,21065
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22580768_256466691542792_3974956189082451968_n.jpg,http://picbear.com/media/1628086199629194130_247944034,October 18 2017 - 15:07,October 18 2017 - 08:03,,1567440,10764
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22500289_1255542004552114_2691568928236240896_n.jpg,http://picbear.com/media/1626583078474111181_247944034,October 18 2017 - 15:07,October 16 2017 - 06:17,,1689734,12649
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22582116_1924442491211427_1215300819339968512_n.jpg,http://picbear.com/media/1626583021440109551_247944034,October 18 2017 - 15:07,October 16 2017 - 06:17,,1060377,5067
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430350_393568517726502_6425698982407700480_n.jpg,http://picbear.com/media/1626582946462730414_247944034,October 18 2017 - 15:07,October 16 2017 - 06:16,,1666997,8888
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430493_1713202875419180_5291640952690049024_n.jpg,http://picbear.com/media/1625876125154287216_247944034,October 18 2017 - 15:07,October 15 2017 - 06:52,,639538,3844
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/22430165_127812564638573_7766933628755378176_n.jpg,http://picbear.com/media/1625875993755252775_247944034,October 18 2017 - 15:07,October 15 2017 - 06:52,,1321735,7130
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427058_1906635909655420_967725014474293248_n.jpg,http://picbear.com/media/1625875362017617302_247944034,October 18 2017 - 15:07,October 15 2017 - 06:51,,733918,5671
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427148_135791157065184_1680498073018564608_n.jpg,http://picbear.com/media/1624732388013535069_247944034,October 18 2017 - 15:07,October 13 2017 - 17:00,,1311132,7886
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344537_708334059370769_7398615310967767040_n.jpg,http://picbear.com/media/1624732199102049470_247944034,October 18 2017 - 15:07,October 13 2017 - 16:59,,706437,2616
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429572_138552976784972_3309463118375026688_n.jpg,http://picbear.com/media/1624732017043993817_247944034,October 18 2017 - 15:07,October 13 2017 - 16:59,,1359510,8436
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352507_283681988820339_1466698728487256064_n.jpg,http://picbear.com/media/1623922569094591327_247944034,October 18 2017 - 15:07,October 12 2017 - 14:11,,942378,5942
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22351865_121900041830462_9163016356092706816_n.jpg,http://picbear.com/media/1623919541738147475_247944034,October 18 2017 - 15:07,October 12 2017 - 14:05,,1139751,5186
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22429673_747636975436876_903448574031822848_n.jpg,http://picbear.com/media/1623576992116737464_247944034,October 18 2017 - 15:07,October 12 2017 - 02:44,,1066245,4168
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344587_136896056941080_4870034322825936896_n.jpg,http://picbear.com/media/1622181468432030319_247944034,October 18 2017 - 15:07,October 10 2017 - 04:32,,1174376,6783
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22280113_355100018272607_3303927081624141824_n.jpg,http://picbear.com/media/1622181386802511549_247944034,October 18 2017 - 15:07,October 10 2017 - 04:31,,1311783,10770
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344896_287195158450173_6436944246170714112_n.jpg,http://picbear.com/media/1622180978184969485_247944034,October 18 2017 - 15:07,October 10 2017 - 04:31,,1068275,5545
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22071259_279065125941604_5499627132000665600_n.jpg,http://picbear.com/media/1616221494644264275_247944034,October 18 2017 - 15:07,October 01 2017 - 23:10,,1128582,16561
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18950425_728684143973413_9155338595244965888_n.jpg,http://picbear.com/media/1616221410464372172_247944034,October 18 2017 - 15:07,October 01 2017 - 23:10,,1799263,15531
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22069759_489926851379359_6562206722545418240_n.jpg,http://picbear.com/media/1616220790353362668_247944034,October 18 2017 - 15:08,October 01 2017 - 23:09,,914056,5105
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21985094_626682741053601_340737657015369728_n.jpg,http://picbear.com/media/1614967295499479773_247944034,October 18 2017 - 15:08,September 30 2017 - 05:38,,1399326,10100
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22158629_161201984462216_6399300352469893120_n.jpg,http://picbear.com/media/1614967107879883420_247944034,October 18 2017 - 15:08,September 30 2017 - 05:38,,1863330,11457
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21373265_1879443058737749_6998397768561590272_n.jpg,http://picbear.com/media/1614966402909582193_247944034,October 18 2017 - 15:08,September 30 2017 - 05:36,,1173441,5581
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21985129_1991682101088626_7930676177423826944_n.jpg,http://picbear.com/media/1614197971117433666_247944034,October 18 2017 - 15:08,September 29 2017 - 04:10,,1169410,8026
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22069308_119307882077825_6384430978122645504_n.jpg,http://picbear.com/media/1614192866037268752_247944034,October 18 2017 - 15:08,September 29 2017 - 04:00,,1262331,6966
October 18 2017 - 15:07,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21980479_1484722018240866_1496662228525383680_n.jpg,http://picbear.com/media/1613403931841156743_247944034,October 18 2017 - 15:08,September 28 2017 - 01:52,,915333,7024
