user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c81.0.862.862/22710180_140215286606041_7878310853819236352_n.jpg,http://picbear.com/media/1633361159075060808_6238721894,October 25 2017 - 16:42,October 25 2017 - 14:44,"<p>We all have secrets —�—�—�—�—�—�— <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a>_de <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/fashionblogger"" title=""posts tagged as fashionblogger"">#fashionblogger</a> <a href=""http://picbear.com/tag/with"" title=""posts tagged as with"">#with</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/rayban"" title=""posts tagged as rayban"">#rayban</a> <a href=""http://picbear.com/tag/americanstyle"" title=""posts tagged as americanstyle"">#americanstyle</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/stylish"" title=""posts tagged as stylish"">#stylish</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/fall"" title=""posts tagged as fall"">#fall</a> <a href=""http://picbear.com/tag/today"" title=""posts tagged as today"">#today</a> <a href=""http://picbear.com/tag/louisvuitton"" title=""posts tagged as louisvuitton"">#louisvuitton</a> <a href=""http://picbear.com/tag/lfl"" title=""posts tagged as lfl"">#lfl</a> <a href=""http://picbear.com/tag/f4f"" title=""posts tagged as f4f"">#f4f</a></p>",32,2
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c63.0.448.448/22709185_169252990320697_1391017079699668992_n.jpg,http://picbear.com/media/1633359619261997728_6238721894,October 25 2017 - 16:42,October 25 2017 - 14:41,"<p><a href=""http://picbear.com/tag/feed"" title=""posts tagged as feed"">#feed</a></p>",11,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22710389_149375999011598_7675447204693147648_n.jpg,http://picbear.com/media/1632761077938109837_6238721894,October 25 2017 - 16:42,October 24 2017 - 18:51,"<p>Who says the nights are for sleep ? —�—�—�—�—�—�—�— <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a>_de <a href=""http://picbear.com/tag/fashionblogger"" title=""posts tagged as fashionblogger"">#fashionblogger</a> <a href=""http://picbear.com/tag/fashion"" title=""posts tagged as fashion"">#fashion</a> <a href=""http://picbear.com/tag/lifestyle"" title=""posts tagged as lifestyle"">#lifestyle</a> <a href=""http://picbear.com/tag/london"" title=""posts tagged as london"">#london</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/today"" title=""posts tagged as today"">#today</a> <a href=""http://picbear.com/tag/ootd"" title=""posts tagged as ootd"">#ootd</a> <a href=""http://picbear.com/tag/highlight"" title=""posts tagged as highlight"">#highlight</a> <a href=""http://picbear.com/tag/lips"" title=""posts tagged as lips"">#lips</a> <a href=""http://picbear.com/tag/rayban"" title=""posts tagged as rayban"">#rayban</a> <a href=""http://picbear.com/tag/losangeles"" title=""posts tagged as losangeles"">#losangeles</a> <a href=""http://picbear.com/tag/tumblr"" title=""posts tagged as tumblr"">#tumblr</a> <a href=""http://picbear.com/tag/tumblrgirl"" title=""posts tagged as tumblrgirl"">#tumblrgirl</a> <a href=""http://picbear.com/tag/americanstyle"" title=""posts tagged as americanstyle"">#americanstyle</a> <a href=""http://picbear.com/tag/younginstabeauty"" title=""posts tagged as younginstabeauty"">#younginstabeauty</a></p>",84,7
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c78.0.420.420/22708778_157673714827736_7903449718309519360_n.jpg,http://picbear.com/media/1632510795035593972_6238721894,October 25 2017 - 16:42,October 24 2017 - 10:34,"<p><a href=""http://picbear.com/tag/feed"" title=""posts tagged as feed"">#feed</a></p>",69,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c128.0.768.768/22708981_1832091983498338_8683049319768522752_n.jpg,http://picbear.com/media/1632510639737224487_6238721894,October 25 2017 - 16:42,October 24 2017 - 10:34,"<p>Good morning 🌞 —�—�—�—�—�—�— <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a>_de <a href=""http://picbear.com/tag/fashionblogger"" title=""posts tagged as fashionblogger"">#fashionblogger</a>_de <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a> <a href=""http://picbear.com/tag/deutschland"" title=""posts tagged as deutschland"">#deutschland</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/hairs"" title=""posts tagged as hairs"">#hairs</a> <a href=""http://picbear.com/tag/today"" title=""posts tagged as today"">#today</a> <a href=""http://picbear.com/tag/rayban"" title=""posts tagged as rayban"">#rayban</a> <a href=""http://picbear.com/tag/louisvuitton"" title=""posts tagged as louisvuitton"">#louisvuitton</a> <a href=""http://picbear.com/tag/london"" title=""posts tagged as london"">#london</a> <a href=""http://picbear.com/tag/england"" title=""posts tagged as england"">#england</a> <a href=""http://picbear.com/tag/londoneyeview"" title=""posts tagged as londoneyeview"">#londoneyeview</a> <a href=""http://picbear.com/tag/americanstyle"" title=""posts tagged as americanstyle"">#americanstyle</a> <a href=""http://picbear.com/tag/girl"" title=""posts tagged as girl"">#girl</a> <a href=""http://picbear.com/tag/tumblr"" title=""posts tagged as tumblr"">#tumblr</a> <a href=""http://picbear.com/tag/thamesriver"" title=""posts tagged as thamesriver"">#thamesriver</a> <a href=""http://picbear.com/tag/younginstabeauty"" title=""posts tagged as younginstabeauty"">#younginstabeauty</a></p>",106,16
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.47.723.723/22639268_164204490837074_1799453334084517888_n.jpg,http://picbear.com/media/1631824853140470369_6238721894,October 25 2017 - 16:42,October 23 2017 - 11:51,"<p><a href=""http://picbear.com/tag/feed"" title=""posts tagged as feed"">#feed</a></p>",71,1
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c129.0.766.766/22638684_140868709993936_708232294564888576_n.jpg,http://picbear.com/media/1631824111704831767_6238721894,October 25 2017 - 16:42,October 23 2017 - 11:50,"<p>Positive mind ,positive life —�—�—�—�—�—�— <a href=""http://picbear.com/tag/tumblr"" title=""posts tagged as tumblr"">#tumblr</a> <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a> <a href=""http://picbear.com/tag/fashionblogger"" title=""posts tagged as fashionblogger"">#fashionblogger</a> <a href=""http://picbear.com/tag/stylisch"" title=""posts tagged as stylisch"">#stylisch</a> <a href=""http://picbear.com/tag/style"" title=""posts tagged as style"">#style</a> <a href=""http://picbear.com/tag/today"" title=""posts tagged as today"">#today</a> <a href=""http://picbear.com/tag/cologone"" title=""posts tagged as cologone"">#cologone</a> <a href=""http://picbear.com/tag/german"" title=""posts tagged as german"">#german</a> <a href=""http://picbear.com/tag/girl"" title=""posts tagged as girl"">#girl</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/lookbook"" title=""posts tagged as lookbook"">#lookbook</a> <a href=""http://picbear.com/tag/selfie"" title=""posts tagged as selfie"">#selfie</a> <a href=""http://picbear.com/tag/shopping"" title=""posts tagged as shopping"">#shopping</a> <a href=""http://picbear.com/tag/louisvuitton"" title=""posts tagged as louisvuitton"">#louisvuitton</a> <a href=""http://picbear.com/tag/streetstyle"" title=""posts tagged as streetstyle"">#streetstyle</a> <a href=""http://picbear.com/tag/hair"" title=""posts tagged as hair"">#hair</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/instagood"" title=""posts tagged as instagood"">#instagood</a> <a href=""http://picbear.com/tag/me"" title=""posts tagged as me"">#me</a> <a href=""http://picbear.com/tag/blonde"" title=""posts tagged as blonde"">#blonde</a> <a href=""http://picbear.com/tag/mood"" title=""posts tagged as mood"">#mood</a> <a href=""http://picbear.com/tag/rayban"" title=""posts tagged as rayban"">#rayban</a> <a href=""http://picbear.com/tag/americanstyle"" title=""posts tagged as americanstyle"">#americanstyle</a> <a href=""http://picbear.com/tag/weheartit"" title=""posts tagged as weheartit"">#weheartit</a> <a href=""http://picbear.com/tag/pinterest"" title=""posts tagged as pinterest"">#pinterest</a> <a href=""http://picbear.com/tag/fashionblogger"" title=""posts tagged as fashionblogger"">#fashionblogger</a>_de <a href=""http://picbear.com/tag/blogger"" title=""posts tagged as blogger"">#blogger</a>_de</p>",119,26
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c99.0.377.377/22639411_527283267624188_820706187988172800_n.jpg,http://picbear.com/media/1631363137226948998_6238721894,October 25 2017 - 16:42,October 22 2017 - 20:34,,111,0
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c223.0.578.578/22637375_1572011779526756_7584508646659194880_n.jpg,http://picbear.com/media/1631362943223608768_6238721894,October 25 2017 - 16:42,October 22 2017 - 20:33,"<p>I‘m at one and I‘ve been quite for too long —�—�—�—�—�—� <a href=""http://picbear.com/tag/tumblr"" title=""posts tagged as tumblr"">#tumblr</a> <a href=""http://picbear.com/tag/tumblrgirl"" title=""posts tagged as tumblrgirl"">#tumblrgirl</a> <a href=""http://picbear.com/tag/snapchat"" title=""posts tagged as snapchat"">#snapchat</a> <a href=""http://picbear.com/tag/flowers"" title=""posts tagged as flowers"">#flowers</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/slay"" title=""posts tagged as slay"">#slay</a> <a href=""http://picbear.com/tag/smile"" title=""posts tagged as smile"">#smile</a> <a href=""http://picbear.com/tag/happy"" title=""posts tagged as happy"">#happy</a> <a href=""http://picbear.com/tag/tiffanyandco"" title=""posts tagged as tiffanyandco"">#tiffanyandco</a> <a href=""http://picbear.com/tag/song"" title=""posts tagged as song"">#song</a> <a href=""http://picbear.com/tag/la"" title=""posts tagged as la"">#la</a> <a href=""http://picbear.com/tag/americangirl"" title=""posts tagged as americangirl"">#americangirl</a> <a href=""http://picbear.com/tag/americanstyle"" title=""posts tagged as americanstyle"">#americanstyle</a></p>",77,18
October 25 2017 - 16:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c98.0.380.380/22636901_142244243188366_6249963910091243520_n.jpg,http://picbear.com/media/1631162105914027306_6238721894,October 25 2017 - 16:42,October 22 2017 - 13:54,,59,0
