user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279970_307245703015653_2035236820907720704_n.jpg,http://picbear.com/media/1642326012091344331_1609533866,November 07 2017 - 03:28,November 06 2017 - 23:35,"<p>Fabricio Pancadinha já está no clima da festa mais tradicional do seu natal 😃. E você? Já está preparado para curtir muita swingueira no Choppchu 2017. Pancadinha está chegando cheio de sucessos e promete não deixar ninguém parado. Não fique de fora, venha passar o natal com a gente. <a href=""http://picbear.com/tag/choppchu"" title=""posts tagged as choppchu"">#choppchu</a> <a href=""http://picbear.com/tag/pancadinha"" title=""posts tagged as pancadinha"">#pancadinha</a> <a href=""http://picbear.com/tag/alomae"" title=""posts tagged as alomae"">#alomae</a> <a href=""http://picbear.com/tag/itapetinga"" title=""posts tagged as itapetinga"">#itapetinga</a> <a href=""http://picbear.com/bizunga_aiboahotmail"" title=""bizunga_aiboahotmail instagram profile"">@bizunga_aiboahotmail</a> <a href=""http://picbear.com/osmundo1"" title=""osmundo1 instagram profile"">@osmundo1</a> <a href=""http://picbear.com/samarasf_"" title=""samarasf_ instagram profile"">@samarasf_</a> <a href=""http://picbear.com/bizunga_aiboahotmail"" title=""bizunga_aiboahotmail instagram profile"">@bizunga_aiboahotmail</a></p>",4,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22860381_133164864107732_4916222280868036608_n.jpg,http://picbear.com/media/1637812391768468392_1609533866,November 07 2017 - 03:28,October 31 2017 - 18:07,"<p>📌PREPARE - SE  ITAPETINGA , já tem dia e local marcado para Desembarcar em nossa cidade a ✔BALADA EVOLUTION 🔊🔊🔊! O que é sucesso em  várias cidades e capital do Brasil , agora em Itapetinga . A maior e melhor estrutura automotiva do BRASIL ! No Dia 18 de Novembro no Parque de Exposição  com a  CARRETA EVOLUTION,25 toneladas de Som, Luz e pura tecnologia. <a href=""http://picbear.com/danielss85"" title=""danielss85 instagram profile"">@danielss85</a>  @bizunga_aiboahotmail <a href=""http://picbear.com/osmundo1"" title=""osmundo1 instagram profile"">@osmundo1</a>  @claudio_ararara</p>",22,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22708797_126348381416610_4105479158581166080_n.jpg,http://picbear.com/media/1632895703864224877_1609533866,November 07 2017 - 03:28,October 24 2017 - 23:19,"<p>Mais uma edição especial de Paredão. Nesse sábado 28 de Outubro aparte das 22hrs  No Parque de Exposições.  Som de Paredão com os melhores Paredão da Região 👧 $5,00 reais 🎟 👨‍⚕️$ 10,00 reais 🎟 lote promocional por pouco tempo</p>",23,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710261_509507012742182_3215210099719012352_n.jpg,http://picbear.com/media/1632203254330062743_1609533866,November 07 2017 - 03:28,October 24 2017 - 00:23,"<p>Os ingressos para a festa mais tradicional do seu natal já estão disponíveis! 😱😃 Vá até o ponto de vendas mais próximo e garanta já o seu. 😉  Pontos de Vendas:  Lojas Ego Silva Calçados Nutri Corpo  Nutri Açaí Comissários  <a href=""http://picbear.com/bizunga_aiboahotmail"" title=""bizunga_aiboahotmail instagram profile"">@bizunga_aiboahotmail</a> <a href=""http://picbear.com/osmundo1"" title=""osmundo1 instagram profile"">@osmundo1</a> <a href=""http://picbear.com/samarasf_"" title=""samarasf_ instagram profile"">@samarasf_</a></p>",19,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582022_906453449560563_487181992970944512_n.jpg,http://picbear.com/media/1628507268248881061_1609533866,November 07 2017 - 03:28,October 18 2017 - 22:00,"<p>As Raneychas estão vindo de salto 15 para o Choppchu 2017 e claro que a sofrência está garantida. Com um repertório incrível, o show da dupla já é sucesso garantido na festa mais tradicional do seu natal. Aguardamos você no dia 25 de dezembro para curtir esse show com a gente! <a href=""http://picbear.com/tag/choppchu"" title=""posts tagged as choppchu"">#choppchu</a> <a href=""http://picbear.com/tag/salto15"" title=""posts tagged as salto15"">#salto15</a> <a href=""http://picbear.com/tag/raneychas"" title=""posts tagged as raneychas"">#raneychas</a> <a href=""http://picbear.com/tag/doismil"" title=""posts tagged as doismil"">#doismil</a> 17</p>",21,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580240_1531816630244977_173631315730497536_n.jpg,http://picbear.com/media/1627146994702402246_1609533866,November 07 2017 - 03:28,October 17 2017 - 00:57,"<p>A gente chamou e ela vem! Mariana Fagundes vai colar no CHOPPCHU 2017! Com repertório cheio de sucessos a cantora tem tudo para fazer um show inesquecível. Aguardamos VOCÊ na festa mais tradicional do natal para dançar AQUELE arrocha.  <a href=""http://picbear.com/tag/choppchu2017"" title=""posts tagged as choppchu2017"">#choppchu2017</a> <a href=""http://picbear.com/tag/ÉsÓmechamar"" title=""posts tagged as ÉsÓmechamar"">#ÉsÓmechamar</a> <a href=""http://picbear.com/tag/marianafagundes"" title=""posts tagged as marianafagundes"">#marianafagundes</a> <a href=""http://picbear.com/bizunga_aiboahotmail"" title=""bizunga_aiboahotmail instagram profile"">@bizunga_aiboahotmail</a> <a href=""http://picbear.com/osmundo1"" title=""osmundo1 instagram profile"">@osmundo1</a></p>",25,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344281_1507375139349954_7121978232663965696_n.jpg,http://picbear.com/media/1623409495111103312_1609533866,November 07 2017 - 03:28,October 11 2017 - 21:11,"<p>O Choppchu vai chegar, chegando! A nossa grade está prontinha 😍😄 Prepare-se para se apaixonar pelo romantismo das Raneychas e dar aquela arrochada com Mariana Fagundes💃🏻🕺🏻🕺🏻. A swingueira vai ficar por conta da banda Pancadinha e claro, para relaxar teremos o pagodinho de Zura Maxx e banda. Então, SAVE THE DATE! O Choppchu vai chegar, chegando!  <a href=""http://picbear.com/tag/choppchu21"" title=""posts tagged as choppchu21"">#choppchu21</a> <a href=""http://picbear.com/tag/vaichegarchegando"" title=""posts tagged as vaichegarchegando"">#vaichegarchegando</a> <a href=""http://picbear.com/tag/marianafagundes"" title=""posts tagged as marianafagundes"">#marianafagundes</a> <a href=""http://picbear.com/tag/raneychas"" title=""posts tagged as raneychas"">#raneychas</a> <a href=""http://picbear.com/tag/zuramaxx"" title=""posts tagged as zuramaxx"">#zuramaxx</a> <a href=""http://picbear.com/tag/pancadinha"" title=""posts tagged as pancadinha"">#pancadinha</a> <a href=""http://picbear.com/tag/natal2018"" title=""posts tagged as natal2018"">#natal2018</a> <a href=""http://picbear.com/bizunga_aiboahotmail"" title=""bizunga_aiboahotmail instagram profile"">@bizunga_aiboahotmail</a> <a href=""http://picbear.com/osmundo1"" title=""osmundo1 instagram profile"">@osmundo1</a></p>",21,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21690156_861815347306849_8493408212794474496_n.jpg,http://picbear.com/media/1607244260209753791_1609533866,November 07 2017 - 03:28,September 19 2017 - 13:54,"<p>Parabéns Meu amor , tudo de bom 😍💕🎉🎂 Te amo minha Vida 🎂 Que Deus possa está te abençoando mais e mais em sua vida</p>",77,3
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909198_116722425665536_5382086903744954368_n.jpg,http://picbear.com/media/1606972020402647360_1609533866,November 07 2017 - 03:28,September 19 2017 - 04:53,<p>Patético ver uma notícia dessa 🙄🎉👨‍❤️‍👨👩‍❤️‍👩👪👩‍👩‍👧👨‍👨‍👧👨‍👨‍👧‍👦👩‍👩‍👦‍👦💄</p>,12,0
November 07 2017 - 03:28,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21436289_290647691413401_7144425449739780096_n.jpg,http://picbear.com/media/1600924993851803633_1609533866,November 07 2017 - 03:29,September 10 2017 - 20:39,<p>Pq o bonde lacra 😍😍😎 as celebridades 😍😎😘 para Sempre</p>,46,2
