user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22708675_398010843951735_8811728923663532032_n.jpg,http://picbear.com/media/1632859964258485860_1120803321,October 25 2017 - 15:02,October 24 2017 - 22:08,"<p><a href=""http://picbear.com/tag/coloridautunno"" title=""posts tagged as coloridautunno"">#coloridautunno</a> in <a href=""http://picbear.com/tag/trentino"" title=""posts tagged as trentino"">#trentino</a></p>",20,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22709019_179042532646769_3900248007517405184_n.jpg,http://picbear.com/media/1632859593674864277_1120803321,October 25 2017 - 15:02,October 24 2017 - 22:07,"<p><a href=""http://picbear.com/tag/meravigliosalavaldisole"" title=""posts tagged as meravigliosalavaldisole"">#meravigliosalavaldisole</a>!!</p>",15,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709163_1541289329298991_6601597959266107392_n.jpg,http://picbear.com/media/1632859216925764890_1120803321,October 25 2017 - 15:02,October 24 2017 - 22:06,"<p><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> in <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> !!!</p>",13,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22708829_181315905767432_6347032975594487808_n.jpg,http://picbear.com/media/1631064714603057138_1120803321,October 25 2017 - 15:02,October 22 2017 - 10:41,"<p>Composizioneautunnale <a href=""http://picbear.com/tag/ostariadiarnago"" title=""posts tagged as ostariadiarnago"">#ostariadiarnago</a></p>",13,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22710200_294806104368367_3829708529799790592_n.jpg,http://picbear.com/media/1631063721668654216_1120803321,October 25 2017 - 15:02,October 22 2017 - 10:39,"<p><a href=""http://picbear.com/tag/ostariadiarnago"" title=""posts tagged as ostariadiarnago"">#ostariadiarnago</a> <a href=""http://picbear.com/tag/buonacompagnia"" title=""posts tagged as buonacompagnia"">#buonacompagnia</a>❤️✌️ <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a></p>",22,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22430380_405862039830731_7744669162538008576_n.jpg,http://picbear.com/media/1626328901302485063_1120803321,October 25 2017 - 15:02,October 15 2017 - 21:52,"<p><a href=""http://picbear.com/tag/mangiareebere"" title=""posts tagged as mangiareebere"">#mangiareebere</a> <a href=""http://picbear.com/tag/inbuonacompagnia"" title=""posts tagged as inbuonacompagnia"">#inbuonacompagnia</a> <a href=""http://picbear.com/tag/trentinoaltoadige"" title=""posts tagged as trentinoaltoadige"">#trentinoaltoadige</a></p>",21,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22499744_286049311913069_9000750112237944832_n.jpg,http://picbear.com/media/1626328276619611633_1120803321,October 25 2017 - 15:03,October 15 2017 - 21:51,"<p><a href=""http://picbear.com/tag/foiana"" title=""posts tagged as foiana"">#foiana</a> <a href=""http://picbear.com/tag/trentinoaltoadige"" title=""posts tagged as trentinoaltoadige"">#trentinoaltoadige</a>❤️</p>",21,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22580643_1675835869153078_3236120100754948096_n.jpg,http://picbear.com/media/1626327942954257836_1120803321,October 25 2017 - 15:03,October 15 2017 - 21:50,"<p><a href=""http://picbear.com/tag/foiana"" title=""posts tagged as foiana"">#foiana</a> <a href=""http://picbear.com/tag/festadellacastagna"" title=""posts tagged as festadellacastagna"">#festadellacastagna</a></p>",14,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22429919_228442307690998_4429151888327311360_n.jpg,http://picbear.com/media/1626327488409218313_1120803321,October 25 2017 - 15:03,October 15 2017 - 21:49,"<p><a href=""http://picbear.com/tag/lagodisantagiustina"" title=""posts tagged as lagodisantagiustina"">#lagodisantagiustina</a> <a href=""http://picbear.com/tag/valdinon"" title=""posts tagged as valdinon"">#valdinon</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",13,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22280968_177852972790201_6815122975646285824_n.jpg,http://picbear.com/media/1621801594361571041_1120803321,October 25 2017 - 15:03,October 09 2017 - 15:57,"<p><a href=""http://picbear.com/tag/viverequi"" title=""posts tagged as viverequi"">#viverequi</a> <a href=""http://picbear.com/tag/tracolorieprofumiautunnali"" title=""posts tagged as tracolorieprofumiautunnali"">#tracolorieprofumiautunnali</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> 🍂🍁🍂</p>",21,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22426769_155505641710768_1193878402935816192_n.jpg,http://picbear.com/media/1621800604967241211_1120803321,October 25 2017 - 15:03,October 09 2017 - 15:55,"<p><a href=""http://picbear.com/tag/icoloridellautunno"" title=""posts tagged as icoloridellautunno"">#icoloridellautunno</a>🍂🍁 <a href=""http://picbear.com/tag/albeblamarmotta"" title=""posts tagged as albeblamarmotta"">#albeblamarmotta</a> <a href=""http://picbear.com/tag/arnagodimalè"" title=""posts tagged as arnagodimalè"">#arnagodimalè</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> ❤️❤️</p>",30,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22277497_688455348031382_1382789837915947008_n.jpg,http://picbear.com/media/1619838339628046269_1120803321,October 25 2017 - 15:03,October 06 2017 - 22:56,"<p><a href=""http://picbear.com/tag/beblamarmotta"" title=""posts tagged as beblamarmotta"">#beblamarmotta</a> <a href=""http://picbear.com/tag/passeggiatavicinocasa"" title=""posts tagged as passeggiatavicinocasa"">#passeggiatavicinocasa</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> 🍁🍁🍁</p>",16,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22159144_147359205772790_1249992318161780736_n.jpg,http://picbear.com/media/1619837742543595637_1120803321,October 25 2017 - 15:03,October 06 2017 - 22:55,"<p><a href=""http://picbear.com/tag/willytralefogliecolorate"" title=""posts tagged as willytralefogliecolorate"">#willytralefogliecolorate</a> <a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",14,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22220670_517429581983129_4920426087483179008_n.jpg,http://picbear.com/media/1619837171640158708_1120803321,October 25 2017 - 15:03,October 06 2017 - 22:54,"<p><a href=""http://picbear.com/tag/postincantevoli"" title=""posts tagged as postincantevoli"">#postincantevoli</a>😍 in <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> !!!</p>",22,2
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278171_441279926273806_5270534104713003008_n.jpg,http://picbear.com/media/1619582228177992844_1120803321,October 25 2017 - 15:03,October 06 2017 - 14:27,"<p><a href=""http://picbear.com/tag/arnago"" title=""posts tagged as arnago"">#arnago</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",21,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22158974_162711054311615_5261476692995604480_n.jpg,http://picbear.com/media/1618878599146114103_1120803321,October 25 2017 - 15:03,October 05 2017 - 15:09,"<p><a href=""http://picbear.com/tag/funghiautunnali"" title=""posts tagged as funghiautunnali"">#funghiautunnali</a> <a href=""http://picbear.com/tag/colorivivi"" title=""posts tagged as colorivivi"">#colorivivi</a> <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a></p>",23,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159187_326454401159024_8344062098149474304_n.jpg,http://picbear.com/media/1618878157175438579_1120803321,October 25 2017 - 15:03,October 05 2017 - 15:08,"<p><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/trentino"" title=""posts tagged as trentino"">#trentino</a></p>",32,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22159049_120516791957896_1806733535579471872_n.jpg,http://picbear.com/media/1618877795810949797_1120803321,October 25 2017 - 15:03,October 05 2017 - 15:08,"<p><a href=""http://picbear.com/tag/lariceto"" title=""posts tagged as lariceto"">#lariceto</a> <a href=""http://picbear.com/tag/invaldirabbi"" title=""posts tagged as invaldirabbi"">#invaldirabbi</a></p>",22,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/22278107_1067740863362966_325476199398637568_n.jpg,http://picbear.com/media/1618877296923710047_1120803321,October 25 2017 - 15:03,October 05 2017 - 15:07,"<p><a href=""http://picbear.com/tag/autumn"" title=""posts tagged as autumn"">#autumn</a> <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> 🍁🍂</p>",25,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22157690_146753909266721_4640368041958309888_n.jpg,http://picbear.com/media/1616690963660671478_1120803321,October 25 2017 - 15:03,October 02 2017 - 14:43,"<p><a href=""http://picbear.com/tag/nebbia"" title=""posts tagged as nebbia"">#nebbia</a> <a href=""http://picbear.com/tag/invaldirabbi"" title=""posts tagged as invaldirabbi"">#invaldirabbi</a> <a href=""http://picbear.com/tag/fantasmiefolletti"" title=""posts tagged as fantasmiefolletti"">#fantasmiefolletti</a> 🌨</p>",31,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21981017_134580160507996_3024742482123423744_n.jpg,http://picbear.com/media/1611443550800928691_1120803321,October 25 2017 - 15:03,September 25 2017 - 08:57,"<p><a href=""http://picbear.com/tag/mangiareeberebene"" title=""posts tagged as mangiareeberebene"">#mangiareeberebene</a> <a href=""http://picbear.com/tag/compagniasana"" title=""posts tagged as compagniasana"">#compagniasana</a> <a href=""http://picbear.com/tag/malgamaledaalta"" title=""posts tagged as malgamaledaalta"">#malgamaledaalta</a></p>",11,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21911473_1947767542179393_6664519208677670912_n.jpg,http://picbear.com/media/1611442890567125893_1120803321,October 25 2017 - 15:03,September 25 2017 - 08:56,"<p><a href=""http://picbear.com/tag/lanostracompagniaèsemprelamigliore"" title=""posts tagged as lanostracompagniaèsemprelamigliore"">#lanostracompagniaèsemprelamigliore</a>!!! <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a></p>",17,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21985019_1952682658353377_2144542080733544448_n.jpg,http://picbear.com/media/1611442315494668999_1120803321,October 25 2017 - 15:03,September 25 2017 - 08:55,"<p><a href=""http://picbear.com/tag/tortadipatate"" title=""posts tagged as tortadipatate"">#tortadipatate</a> <a href=""http://picbear.com/tag/malgamaledaalta"" title=""posts tagged as malgamaledaalta"">#malgamaledaalta</a> <a href=""http://picbear.com/tag/unabontà"" title=""posts tagged as unabontà"">#unabontà</a> 🥂</p>",17,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21909610_763554487162460_4984829006122582016_n.jpg,http://picbear.com/media/1611441814753475589_1120803321,October 25 2017 - 15:03,September 25 2017 - 08:54,"<p><a href=""http://picbear.com/tag/curiosi"" title=""posts tagged as curiosi"">#curiosi</a> <a href=""http://picbear.com/tag/invaldirabbi"" title=""posts tagged as invaldirabbi"">#invaldirabbi</a></p>",14,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909547_166318527255876_6626482372713906176_n.jpg,http://picbear.com/media/1611441030963805658_1120803321,October 25 2017 - 15:03,September 25 2017 - 08:52,"<p><a href=""http://picbear.com/tag/troppobelli"" title=""posts tagged as troppobelli"">#troppobelli</a>!!!</p>",32,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21690358_2020579451289374_5827837924191764480_n.jpg,http://picbear.com/media/1606349785170072001_1120803321,October 25 2017 - 15:03,September 18 2017 - 08:17,"<p><a href=""http://picbear.com/tag/sentierodiforborida"" title=""posts tagged as sentierodiforborida"">#sentierodiforborida</a> <a href=""http://picbear.com/tag/sottolaprimaneve"" title=""posts tagged as sottolaprimaneve"">#sottolaprimaneve</a> <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a>❤️<a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> 💕</p>",24,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21819757_277362979430259_8809653780149698560_n.jpg,http://picbear.com/media/1606348587956349745_1120803321,October 25 2017 - 15:03,September 18 2017 - 08:14,"<p><a href=""http://picbear.com/tag/finferlisottolaneve"" title=""posts tagged as finferlisottolaneve"">#finferlisottolaneve</a> <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> 💕</p>",20,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c3.0.1074.1074/21690203_987512474720759_5630525610490068992_n.jpg,http://picbear.com/media/1606348042738622533_1120803321,October 25 2017 - 15:03,September 18 2017 - 08:13,"<p><a href=""http://picbear.com/tag/forborida"" title=""posts tagged as forborida"">#forborida</a> <a href=""http://picbear.com/tag/willyelaprimaneve"" title=""posts tagged as willyelaprimaneve"">#willyelaprimaneve</a> <a href=""http://picbear.com/tag/valdirabbi"" title=""posts tagged as valdirabbi"">#valdirabbi</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",25,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479690_130659790891675_4702891822211399680_n.jpg,http://picbear.com/media/1600672945465589787_1120803321,October 25 2017 - 15:03,September 10 2017 - 12:18,"<p><a href=""http://picbear.com/tag/maanoicosacimanca"" title=""posts tagged as maanoicosacimanca"">#maanoicosacimanca</a> <a href=""http://picbear.com/tag/arnagodimalè"" title=""posts tagged as arnagodimalè"">#arnagodimalè</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",12,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21569028_1309154305880086_1724445277902864384_n.jpg,http://picbear.com/media/1600672244203243981_1120803321,October 25 2017 - 15:03,September 10 2017 - 12:17,"<p><a href=""http://picbear.com/tag/arnagodimalè"" title=""posts tagged as arnagodimalè"">#arnagodimalè</a> <a href=""http://picbear.com/tag/seratadidegustazione"" title=""posts tagged as seratadidegustazione"">#seratadidegustazione</a> <a href=""http://picbear.com/tag/unabontà"" title=""posts tagged as unabontà"">#unabontà</a> ❤️❤️</p>",20,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21434139_276593872855173_4538672609482506240_n.jpg,http://picbear.com/media/1600671158096516654_1120803321,October 25 2017 - 15:03,September 10 2017 - 12:14,"<p><a href=""http://picbear.com/tag/degustazioneformaggievini"" title=""posts tagged as degustazioneformaggievini"">#degustazioneformaggievini</a> <a href=""http://picbear.com/tag/piemontetrentino"" title=""posts tagged as piemontetrentino"">#piemontetrentino</a> <a href=""http://picbear.com/tag/checompagnia"" title=""posts tagged as checompagnia"">#checompagnia</a> 🍷🥂</p>",13,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21294746_872824256213326_44268760495816704_n.jpg,http://picbear.com/media/1595942608760643854_1120803321,October 25 2017 - 15:03,September 03 2017 - 23:40,"<p><a href=""http://picbear.com/tag/pochimaboni"" title=""posts tagged as pochimaboni"">#pochimaboni</a> <a href=""http://picbear.com/tag/amicidilamon"" title=""posts tagged as amicidilamon"">#amicidilamon</a> <a href=""http://picbear.com/tag/bellagiornataincompagnia"" title=""posts tagged as bellagiornataincompagnia"">#bellagiornataincompagnia</a> ❤️🥂🍺</p>",9,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21296696_116427805736302_1340002007913594880_n.jpg,http://picbear.com/media/1595941109540126542_1120803321,October 25 2017 - 15:03,September 03 2017 - 23:37,"<p><a href=""http://picbear.com/tag/serataselcasolet"" title=""posts tagged as serataselcasolet"">#serataselcasolet</a> <a href=""http://picbear.com/tag/malè"" title=""posts tagged as malè"">#malè</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a> <a href=""http://picbear.com/tag/comesiamofortunati"" title=""posts tagged as comesiamofortunati"">#comesiamofortunati</a></p>",26,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21149167_169123500302375_1557129020091400192_n.jpg,http://picbear.com/media/1593539386594959737_1120803321,October 25 2017 - 15:03,August 31 2017 - 16:05,"<p><a href=""http://picbear.com/tag/lavaldisoledinotte"" title=""posts tagged as lavaldisoledinotte"">#lavaldisoledinotte</a> <a href=""http://picbear.com/tag/unameraviglia"" title=""posts tagged as unameraviglia"">#unameraviglia</a> <a href=""http://picbear.com/tag/comesiamofortunati"" title=""posts tagged as comesiamofortunati"">#comesiamofortunati</a> !!!</p>",24,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21224171_1830750230571222_7367197771226415104_n.jpg,http://picbear.com/media/1591302576821074926_1120803321,October 25 2017 - 15:03,August 28 2017 - 14:01,"<p><a href=""http://picbear.com/tag/burraco"" title=""posts tagged as burraco"">#burraco</a> <a href=""http://picbear.com/tag/fiorellaegabriel"" title=""posts tagged as fiorellaegabriel"">#fiorellaegabriel</a> <a href=""http://picbear.com/tag/giornatadisole"" title=""posts tagged as giornatadisole"">#giornatadisole</a> <a href=""http://picbear.com/tag/malgamondentalta"" title=""posts tagged as malgamondentalta"">#malgamondentalta</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",11,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21147244_117924758868795_4519229919598739456_n.jpg,http://picbear.com/media/1591301908324574710_1120803321,October 25 2017 - 15:03,August 28 2017 - 13:59,"<p><a href=""http://picbear.com/tag/malgamondentalta"" title=""posts tagged as malgamondentalta"">#malgamondentalta</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",23,0
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21108022_1836864286572949_2044322918711689216_n.jpg,http://picbear.com/media/1591301548545566903_1120803321,October 25 2017 - 15:03,August 28 2017 - 13:59,"<p>#<a href=""http://picbear.com/tag/insiemeinallegria"" title=""posts tagged as insiemeinallegria"">#insiemeinallegria</a> <a href=""http://picbear.com/tag/mazzeditamburo"" title=""posts tagged as mazzeditamburo"">#mazzeditamburo</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",15,1
October 25 2017 - 14:47,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042644_499485753738233_8796477348766547968_n.jpg,http://picbear.com/media/1591300991692865174_1120803321,October 25 2017 - 15:03,August 28 2017 - 13:58,"<p><a href=""http://picbear.com/tag/allegriaearmonia"" title=""posts tagged as allegriaearmonia"">#allegriaearmonia</a> <a href=""http://picbear.com/tag/malgamondentalta"" title=""posts tagged as malgamondentalta"">#malgamondentalta</a> <a href=""http://picbear.com/tag/valdisole"" title=""posts tagged as valdisole"">#valdisole</a> <a href=""http://picbear.com/tag/trentinodavivere"" title=""posts tagged as trentinodavivere"">#trentinodavivere</a></p>",13,0
