user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373310_105367426871114_6386733338291339264_n.jpg,http://picbear.com/media/1596898502158336446_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:19,<p>Mouloukou</p>,42,2
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21433425_1571489562913408_7997318045334765568_n.jpg,http://picbear.com/media/1596897548314919261_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:17,<p>Moise katoumbi</p>,31,1
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372588_1395495337235266_4383554299309850624_n.jpg,http://picbear.com/media/1596896882318236884_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:16,<p>Mon boss</p>,33,0
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371927_199412643930956_5367580325285199872_n.jpg,http://picbear.com/media/1596896785446624743_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:15,<p>Mon pote</p>,31,0
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373778_139864029953412_3519412892308865024_n.jpg,http://picbear.com/media/1596895183348339076_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:12,<p>Ma couleur</p>,21,0
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21372530_338395226618982_1880944862442815488_n.jpg,http://picbear.com/media/1596894589325761118_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:11,<p>Juste me</p>,34,2
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21434153_426907364369823_227016088477499392_n.jpg,http://picbear.com/media/1596894163813691130_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:10,<p>M'ma Mouloukou</p>,39,0
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371803_273188323085344_7901865489557618688_n.jpg,http://picbear.com/media/1596893600493503308_1501171542,October 25 2017 - 16:15,September 05 2017 - 07:09,<p>Mouloukou</p>,36,2
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21040896_112142556129658_4632626041284722688_n.jpg,http://picbear.com/media/1586497782192031102_1501171542,October 25 2017 - 16:15,August 21 2017 - 22:54,,39,0
October 25 2017 - 16:14,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20968479_133326817279616_8687930288107421696_n.jpg,http://picbear.com/media/1586497665212941788_1501171542,October 25 2017 - 16:15,August 21 2017 - 22:54,,22,0
