user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827354_280638169089988_3493071119148122112_n.jpg,http://picbear.com/media/1607195140446692245_273081792,November 07 2017 - 02:56,September 19 2017 - 12:16,<p>Mi corazon és tuyo</p>,22,1
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21480555_686026424923456_7098668143773483008_n.jpg,http://picbear.com/media/1603020140974141616_273081792,November 07 2017 - 02:56,September 13 2017 - 18:01,,6,1
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19051493_445590482474051_1097060240832069632_n.jpg,http://picbear.com/media/1535868582155387797_273081792,November 07 2017 - 02:56,June 13 2017 - 02:23,<p>Para você meu amor... Feliz dia dos Namorados 😘</p>,29,3
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/19050686_1542726762439139_4871639923335102464_n.jpg,http://picbear.com/media/1535085110285511262_273081792,November 07 2017 - 02:56,June 12 2017 - 00:27,<p>Filho😀😎</p>,17,0
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18947754_218391788680013_2693542306794962944_n.jpg,http://picbear.com/media/1530617315443120750_273081792,November 07 2017 - 02:56,June 05 2017 - 20:30,"<p>Quando a chuva passar... Quando tempo abrir... Abre a janela, eu sou o sol...</p>",18,0
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18723667_1896028657352565_1934394424771477504_n.jpg,http://picbear.com/media/1529277279456089186_273081792,November 07 2017 - 02:56,June 04 2017 - 00:07,,25,1
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/18879322_114472399144798_8638632292706680832_n.jpg,http://picbear.com/media/1529276339118371544_273081792,November 07 2017 - 02:57,June 04 2017 - 00:06,,17,0
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18812068_1721133401517590_1484753388020170752_n.jpg,http://picbear.com/media/1529228712309785842_273081792,November 07 2017 - 02:57,June 03 2017 - 22:31,,22,0
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c204.0.492.492/18722378_1822973224688324_5745959509474410496_n.jpg,http://picbear.com/media/1525664404405679818_273081792,November 07 2017 - 02:57,May 30 2017 - 00:29,"<p><a href=""http://picbear.com/tag/jazz"" title=""posts tagged as jazz"">#jazz</a><a href=""http://picbear.com/tag/vinho"" title=""posts tagged as vinho"">#vinho</a><a href=""http://picbear.com/tag/amizade"" title=""posts tagged as amizade"">#amizade</a><a href=""http://picbear.com/tag/tiradentesmg"" title=""posts tagged as tiradentesmg"">#tiradentesmg</a></p>",15,0
November 07 2017 - 02:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18646194_293843847728845_8677142511375876096_n.jpg,http://picbear.com/media/1524190203773604630_273081792,November 07 2017 - 02:57,May 27 2017 - 23:40,"<p><a href=""http://picbear.com/tag/aradodetrator"" title=""posts tagged as aradodetrator"">#aradodetrator</a><a href=""http://picbear.com/tag/contrafile"" title=""posts tagged as contrafile"">#contrafile</a></p>",13,1
