user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22709187_944360252392909_2520915622569705472_n.jpg,http://picbear.com/media/1630471549344480649_5933023900,October 25 2017 - 16:10,October 21 2017 - 15:02,<p>Saludos Spein</p>,119,29
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21690484_389111368170254_7544640170352443392_n.jpg,http://picbear.com/media/1609627479680456661_5933023900,October 25 2017 - 16:10,September 22 2017 - 20:49,<p>👣👌</p>,386,75
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21576891_1934044320189693_6547603812264181760_n.jpg,http://picbear.com/media/1603413063565622911_5933023900,October 25 2017 - 16:10,September 14 2017 - 07:02,<p>✌</p>,259,30
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21480053_351212395323177_781140944962453504_n.jpg,http://picbear.com/media/1601706333530216812_5933023900,October 25 2017 - 16:10,September 11 2017 - 22:31,<p>Como peder olvidar tanto dolor forcaa.</p>,224,28
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/21224337_1914115905495375_6186103020619563008_n.jpg,http://picbear.com/media/1593523763248332530_5933023900,October 25 2017 - 16:10,August 31 2017 - 15:34,<p>Zaragoza Spein</p>,596,21
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21042112_696461290549403_6443371239527415808_n.jpg,http://picbear.com/media/1590802651502507858_5933023900,October 25 2017 - 16:10,August 27 2017 - 21:27,<p>Zaragoza spein</p>,467,26
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20986654_1838962336432382_9132851898829766656_n.jpg,http://picbear.com/media/1589237201077500374_5933023900,October 25 2017 - 16:10,August 25 2017 - 17:37,,417,1
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041126_662131370651690_3602946999738957824_n.jpg,http://picbear.com/media/1589190991901844453_5933023900,October 25 2017 - 16:10,August 25 2017 - 16:05,<p>Zaragoza spein</p>,273,5
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21041497_184073732134707_6951095803377090560_n.jpg,http://picbear.com/media/1589133468792518798_5933023900,October 25 2017 - 16:10,August 25 2017 - 14:11,<p>Estamos con Barcelona</p>,359,10
October 25 2017 - 16:10,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21107207_1444845355611601_7333882835192774656_n.jpg,http://picbear.com/media/1589132938942804076_5933023900,October 25 2017 - 16:10,August 25 2017 - 14:10,<p>buenas</p>,249,14
