user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22794213_760618900794997_6769871595352621056_n.jpg,http://picbear.com/media/1635297815259535142_2955123991,November 07 2017 - 05:38,October 28 2017 - 06:51,<p>Yo</p>,4,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22802010_126599814716239_8433541995095392256_n.jpg,http://picbear.com/media/1635203858429257165_2955123991,November 07 2017 - 05:38,October 28 2017 - 03:45,<p>Yo nada más</p>,11,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22637787_133009037449094_6299889662206935040_n.jpg,http://picbear.com/media/1628101903504573813_2955123991,November 07 2017 - 05:38,October 18 2017 - 08:34,<p>Muy rico camarones</p>,3,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580122_123785898262825_4382553932707135488_n.jpg,http://picbear.com/media/1627742807983095601_2955123991,November 07 2017 - 05:38,October 17 2017 - 20:41,<p>Guayabitos</p>,7,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22582061_1613009815386381_6496617830291603456_n.jpg,http://picbear.com/media/1627632952634831913_2955123991,November 07 2017 - 05:38,October 17 2017 - 17:03,<p>Yo en Vallarta</p>,6,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500568_274429809716105_3970638342495666176_n.jpg,http://picbear.com/media/1627632204673131706_2955123991,November 07 2017 - 05:38,October 17 2017 - 17:01,<p>Hermoso</p>,3,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430521_296568374175615_1137023266548875264_n.jpg,http://picbear.com/media/1627133667485133952_2955123991,November 07 2017 - 05:38,October 17 2017 - 00:31,<p>Vallarta</p>,5,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499977_164550834129369_990168310244966400_n.jpg,http://picbear.com/media/1627047801433379434_2955123991,November 07 2017 - 05:38,October 16 2017 - 21:40,<p>Volando</p>,4,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500157_1971163973096039_4026570597784879104_n.jpg,http://picbear.com/media/1627047427192427580_2955123991,November 07 2017 - 05:38,October 16 2017 - 21:39,<p>Vallarta</p>,5,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22500157_159584194639564_6059451908303618048_n.jpg,http://picbear.com/media/1627047118491618288_2955123991,November 07 2017 - 05:38,October 16 2017 - 21:39,<p>Vallarta</p>,1,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22499743_471413963245512_8276335321499566080_n.jpg,http://picbear.com/media/1626386090502213763_2955123991,November 07 2017 - 05:38,October 15 2017 - 23:45,<p>Playa</p>,6,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344676_1658593397513889_139123443940458496_n.jpg,http://picbear.com/media/1624754008818454215_2955123991,November 07 2017 - 05:38,October 13 2017 - 17:43,<p>Chito</p>,5,0
November 07 2017 - 05:38,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22278328_1918050178520185_8232943193893634048_n.jpg,http://picbear.com/media/1617818467132855053_2955123991,November 07 2017 - 05:38,October 04 2017 - 04:03,<p>Yo simple mente yo</p>,9,0
