user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22802354_967043460100275_8114828359143260160_n.jpg,http://picbear.com/media/1636209689313443461_229458674,November 07 2017 - 02:16,October 29 2017 - 13:03,"<p><a href=""http://picbear.com/tag/healthclub"" title=""posts tagged as healthclub"">#healthclub</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/platinum"" title=""posts tagged as platinum"">#platinum</a> <a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a></p>",7,2
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22794209_1266122100161219_8897156965642272768_n.jpg,http://picbear.com/media/1636146111332030910_229458674,November 07 2017 - 02:16,October 29 2017 - 10:57,"<p><a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/sunshine"" title=""posts tagged as sunshine"">#sunshine</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a></p>",1,1
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.134.1080.1080/22858208_873150566194092_1836255465734930432_n.jpg,http://picbear.com/media/1636146100317910539_229458674,November 07 2017 - 02:16,October 29 2017 - 10:57,"<p><a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a> <a href=""http://picbear.com/tag/swimmingpool"" title=""posts tagged as swimmingpool"">#swimmingpool</a> <a href=""http://picbear.com/tag/fitness"" title=""posts tagged as fitness"">#fitness</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a></p>",6,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22802657_606081856182160_1805625545686253568_n.jpg,http://picbear.com/media/1636142913695449143_229458674,November 07 2017 - 02:16,October 29 2017 - 10:50,"<p><a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a></p>",4,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22857484_712374655601093_6386796229497454592_n.jpg,http://picbear.com/media/1636141375358765871_229458674,November 07 2017 - 02:16,October 29 2017 - 10:47,"<p><a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a> <a href=""http://picbear.com/tag/sunshine"" title=""posts tagged as sunshine"">#sunshine</a></p>",6,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22860414_292941227871289_6303416792429625344_n.jpg,http://picbear.com/media/1635891920814484588_229458674,November 07 2017 - 02:16,October 29 2017 - 02:32,"<p>Sky lounge <a href=""http://picbear.com/tag/skylounge"" title=""posts tagged as skylounge"">#skylounge</a> <a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a></p>",6,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22858102_142053289751916_1886968004319641600_n.jpg,http://picbear.com/media/1635664090700719809_229458674,November 07 2017 - 02:16,October 28 2017 - 18:59,"<p>🍸#mojito <a href=""http://picbear.com/tag/cocktails"" title=""posts tagged as cocktails"">#cocktails</a> <a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a></p>",5,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22500138_1368300429947798_8382448213738651648_n.jpg,http://picbear.com/media/1635526671074708610_229458674,November 07 2017 - 02:16,October 28 2017 - 14:26,"<p><a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/hk"" title=""posts tagged as hk"">#hk</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a></p>",5,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22794104_371917236592283_8934005921026146304_n.jpg,http://picbear.com/media/1635522395996716587_229458674,November 07 2017 - 02:16,October 28 2017 - 14:18,"<p>Check in <a href=""http://picbear.com/tag/checkin"" title=""posts tagged as checkin"">#checkin</a> <a href=""http://picbear.com/tag/sheraton"" title=""posts tagged as sheraton"">#sheraton</a> <a href=""http://picbear.com/tag/spg"" title=""posts tagged as spg"">#spg</a> <a href=""http://picbear.com/tag/hongkong"" title=""posts tagged as hongkong"">#hongkong</a></p>",2,0
November 07 2017 - 02:15,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22639329_335645413565879_1019065881004605440_n.jpg,http://picbear.com/media/1631114485673885549_229458674,November 07 2017 - 02:16,October 22 2017 - 12:20,"<p>Sparkling Water <a href=""http://picbear.com/tag/sparklingwater"" title=""posts tagged as sparklingwater"">#sparklingwater</a> <a href=""http://picbear.com/tag/sanpelligrino"" title=""posts tagged as sanpelligrino"">#sanpelligrino</a> <a href=""http://picbear.com/tag/natural"" title=""posts tagged as natural"">#natural</a> <a href=""http://picbear.com/tag/blackandwhite"" title=""posts tagged as blackandwhite"">#blackandwhite</a> <a href=""http://picbear.com/tag/italy"" title=""posts tagged as italy"">#italy</a> <a href=""http://picbear.com/tag/1899"" title=""posts tagged as 1899"">#1899</a></p>",3,0
