user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22499959_1501097729983147_874410768295002112_n.jpg,http://picbear.com/media/1627139896346187626_173560420,October 18 2017 - 15:02,October 17 2017 - 00:43,<p>Impossível ficar indiferente a esta tragédia. Solidário com familiares e amigos das vítimas. Apoio total aos bombeiros que arriscam a vida para ajudar da melhor forma possível.🙏🏽🇵🇹🇪🇸</p>,2133596,11733
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22430452_699313186941841_759408303070511104_n.jpg,http://picbear.com/media/1627027410750262911_173560420,October 18 2017 - 15:02,October 16 2017 - 21:00,"<p>Coming soon!!! Check out my Air Max 97 CR7 🙌🏼 ! <a href=""http://picbear.com/tag/airmax"" title=""posts tagged as airmax"">#airmax</a> <a href=""http://picbear.com/tag/cr7"" title=""posts tagged as cr7"">#cr7</a>  Download the Nike SNEAKRS App to find out more nike.com/SNEAKRS</p>",3105633,16975
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22430403_1963168113918056_621519761011900416_n.jpg,http://picbear.com/media/1626882572834771966_173560420,October 18 2017 - 15:02,October 16 2017 - 16:12,<p>Having lunch in the best restaurant in town!👌🏽😍</p>,3834693,17860
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22499977_121936448490765_2845868875340316672_n.jpg,http://picbear.com/media/1626090840836587106_173560420,October 18 2017 - 15:02,October 15 2017 - 13:59,<p>✌️</p>,3588402,14525
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22426717_135384297189109_2808039301613355008_n.jpg,http://picbear.com/media/1625550448093409328_173560420,October 18 2017 - 15:02,October 14 2017 - 20:05,<p>Equipo👌👌vamos</p>,3017274,12683
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22352543_1862730730408123_2272937087210618880_n.jpg,http://picbear.com/media/1624837384872178035_173560420,October 18 2017 - 15:02,October 13 2017 - 20:28,"<p>Happy to announce the <a href=""http://picbear.com/tag/cr7challenge"" title=""posts tagged as cr7challenge"">#cr7challenge</a> winner. Congrats <a href=""http://picbear.com/daniel_nilsen"" title=""daniel_nilsen instagram profile"">@daniel_nilsen</a> ⚽️ 👍</p>",2874296,12645
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22427650_721193458087092_6763445559773626368_n.jpg,http://picbear.com/media/1623388488635596277_173560420,October 18 2017 - 15:02,October 11 2017 - 20:30,"<p>Motivation! I know how much this lifesaving bag of plasma can help people in need…share a selfie of you donating plasma and inspire others to donate! <a href=""http://picbear.com/tag/ipaw2017"" title=""posts tagged as ipaw2017"">#ipaw2017</a> <a href=""http://picbear.com/tag/bethe1donor"" title=""posts tagged as bethe1donor"">#bethe1donor</a> ☝🏼 Learn more about lifesaving plasma donation at www.bethe1donor.com/learn</p>",3407276,20868
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352444_495047427530900_1773492090731233280_n.jpg,http://picbear.com/media/1623154708993998103_173560420,October 18 2017 - 15:02,October 11 2017 - 12:45,"<p>Great team effort! Thank you all for your support. Russia, here we come!!👍🏽🇵🇹</p>",3241577,12313
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22352231_1941483122545350_1001502823428390912_n.jpg,http://picbear.com/media/1621823167378448139_173560420,October 18 2017 - 15:02,October 09 2017 - 16:40,<p>Ready 🇵🇹🇵🇹👌</p>,3180648,17320
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22277746_183287535576170_6781289198973353984_n.jpg,http://picbear.com/media/1620960928702241606_173560420,October 18 2017 - 15:02,October 08 2017 - 12:07,<p>🇵🇹</p>,3056230,11436
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344357_175617336322041_2193911527210221568_n.jpg,http://picbear.com/media/1620600906055055231_173560420,October 18 2017 - 15:02,October 08 2017 - 00:11,<p>🇵🇹⚽️</p>,3416152,13608
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344320_131652387581858_9191084478473175040_n.jpg,http://picbear.com/media/1620252251842230746_173560420,October 18 2017 - 15:02,October 07 2017 - 12:39,<p>Old school 🇵🇹</p>,3810023,13150
October 18 2017 - 15:01,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/22220705_314584959010741_799228263426686976_n.jpg,http://picbear.com/media/1619718622036706255_173560420,October 18 2017 - 15:02,October 06 2017 - 18:58,<p>Picture of the day ❤️❤️❤️❤️❤️</p>,4760464,21097
