user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c97.0.391.391/22639069_283894815439052_8171794494664998912_n.jpg,http://picbear.com/media/1633437161380480378_1952889628,October 25 2017 - 15:21,October 25 2017 - 17:15,"<p>ئەو دادوەرەی لەسەر چیا مانی گرتبو بەپەلە گەیاندرایە نەخۆشخانە ئەڵێن لەبەر خۆیە هەرئەڵێت .. ئەبینە دەوڵەت ئەبینە دەوڵەت 😃 . . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",105,0
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c87.0.405.405/22708934_124004401621222_9005484355904077824_n.jpg,http://picbear.com/media/1633303975971487929_1952889628,October 25 2017 - 15:21,October 25 2017 - 12:50,"<p>بەپــەلـە ... مەسعود بارزانی : ئەو ڕیفراندۆمەی کرا بۆ دیاریکردنی سنور نەبوو بەڵکو بۆ زانینی ڕێژەی کەر بوو خۆشبەختانە ڕێژەکەمان دەستکەوت . 🙈😅😁 . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",750,78
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c8.0.1064.1064/22708910_1318752348234906_1106722882160951296_n.jpg,http://picbear.com/media/1633254723006031965_1952889628,October 25 2017 - 15:21,October 25 2017 - 11:12,"<p>زۆر کاریگەرە ئەم وێنەیە :( . . خۆشەویستی زۆر کورتە بەڵام لەبیر کردنی زۆر ئەخایەنێ 😥 . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",881,6
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.112.900.900/22710641_1460338817415417_987747305899687936_n.jpg,http://picbear.com/media/1632895800314991338_1952889628,October 25 2017 - 15:21,October 24 2017 - 23:19,"<p>بەپەلە بەپەلە بەپەلە نەجمەدین کەریم : ھەر کاتێک بەمەوێت دەچمەوە کرکوک و لەگەل سەرۆک بارزانی پیلانێکمان داناوە بەم زوانە کرکوک ئازاد دەکەینەوە 🙁 . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",1059,49
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.117.937.937/22802387_523249774705986_7770997367897063424_n.jpg,http://picbear.com/media/1632847508449265509_1952889628,October 25 2017 - 15:21,October 24 2017 - 21:43,"<p>لە هەر جێگایەک شیعە هەبیێت لەو جێگایە تاوان و کوشتن هەیه ... ! ""سەدام حوسیێن "" . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",1713,88
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c85.0.719.719/22794614_508625539499447_3580635323241070592_n.jpg,http://picbear.com/media/1632748496367101905_1952889628,October 25 2017 - 15:21,October 24 2017 - 18:26,"<p>ئەمە ئەو گەنجەیە کە ئاڵای عیراقی  خستە ژێر  پێی 👍🏻👏🏻 💪🏻 . . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",2132,44
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c223.0.514.514/22709321_1948079498778970_3691070756466196480_n.jpg,http://picbear.com/media/1632533170605834604_1952889628,October 25 2017 - 15:21,October 24 2017 - 11:19,"<p>پەیامنێرە تازەکەی ڕووداو ! . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",825,35
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.2.755.755/22708886_1549359231797459_6585570227944161280_n.jpg,http://picbear.com/media/1632085720418085784_1952889628,October 25 2017 - 15:21,October 23 2017 - 20:30,"<p>ئەو خەڵکە ئەم پیاوە ئاوا ئەبینن 😂😂😂 شك له‌ كێ ئه‌كه‌ی ئاوا عه‌بادی ببێنێ تاگی بكه‌😂😂 . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",1187,86
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22639195_935227393309911_2244247186709676032_n.jpg,http://picbear.com/media/1631998964360441828_1952889628,October 25 2017 - 15:21,October 23 2017 - 17:37,"<p>ئێستا کات کاتی ئەویە ژنانی پێشمەرگە واز لە ڕەسم گرتن بێنن و شانبەشانی براپێشمەرگەکانمان دژی دوژمن بجەنگن ✌🏻💪🏻 . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",946,14
October 25 2017 - 15:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c27.0.695.695/22639280_109976413036292_2876068160493060096_n.jpg,http://picbear.com/media/1631918162092066053_1952889628,October 25 2017 - 15:21,October 23 2017 - 14:57,"<p>پێتان باشە بۆ لەمەودوا ژنانی پێشمەرگە بەشداری شەڕی حەشدی شەعبی بکەن ؟  خۆم زۆرم پێ باشە ئیتر کاتی ئەوە نەماوە بەس لە ڕەسما دەرکەون پێویستە لەشەڕەکانا دەرکەون . . . . . <a href=""http://picbear.com/tag/rebir"" title=""posts tagged as rebir"">#rebir</a></p>",1047,34
