user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22351831_122697751819641_515325075415629824_n.jpg,http://picbear.com/media/1624105867141218987_3917102019,October 18 2017 - 16:56,October 12 2017 - 20:15,<p>Красота в простом</p>,23,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22344336_122854761753341_4082112535036166144_n.jpg,http://picbear.com/media/1621202889275332400_3917102019,October 18 2017 - 16:56,October 08 2017 - 20:07,<p>Дождались)))</p>,10,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21568670_1716655575303051_5798035369463119872_n.jpg,http://picbear.com/media/1603154078355392893_3917102019,October 18 2017 - 16:56,September 13 2017 - 22:28,<p>Знакомьтесь это Дима. Опять вытворяет какую-то пакость</p>,24,1
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21372847_136553750294943_3611151452426207232_n.jpg,http://picbear.com/media/1598737028962686036_3917102019,October 18 2017 - 16:56,September 07 2017 - 20:12,<p>Я против нацизма!!!</p>,16,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21296353_1431068253596121_2346544739240640512_n.jpg,http://picbear.com/media/1595802331563659828_3917102019,October 18 2017 - 16:56,September 03 2017 - 19:01,<p>Когда ты у бабушки и нет интернета. )))</p>,10,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/21149522_127470787882603_8564784204112461824_n.jpg,http://picbear.com/media/1590718510434354050_3917102019,October 18 2017 - 16:56,August 27 2017 - 18:40,,18,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/21147987_467101517004468_4744333630938021888_n.jpg,http://picbear.com/media/1590032823477419749_3917102019,October 18 2017 - 16:56,August 26 2017 - 19:58,<p>Из руки в руки!!! )))</p>,9,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20479255_115623402423573_4192654638069055488_n.jpg,http://picbear.com/media/1569777482781166045_3917102019,October 18 2017 - 16:56,July 29 2017 - 21:14,<p>4-ая смена 2017</p>,12,6
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19764364_129545197641469_2114450165468233728_n.jpg,http://picbear.com/media/1555012294123428878_3917102019,October 18 2017 - 16:56,July 09 2017 - 12:18,<p>Приехали!!! Ураааа!!! )))</p>,15,0
October 18 2017 - 16:56,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19761725_286389425168463_649963972203642880_n.jpg,http://picbear.com/media/1554630266664007813_3917102019,October 18 2017 - 16:56,July 08 2017 - 23:39,<p>Едем домой 22:05</p>,17,0
