user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23279717_132047100849159_4974040782714437632_n.jpg,http://picbear.com/media/1641622538356721253_4876273778,November 07 2017 - 03:52,November 06 2017 - 00:17,<p>👑✨✨✨✨✨✨</p>,92,13
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23160937_282549982254484_4018767681590132736_n.jpg,http://picbear.com/media/1641621797348953923_4876273778,November 07 2017 - 03:52,November 06 2017 - 00:16,"<p>princess,hahaha 👰👑✨✨✨✨✨</p>",60,1
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.67.577.577/23101334_127283047951403_632000885668446208_n.jpg,http://picbear.com/media/1640513399912014631_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:34,<p>😁😁😁</p>,111,10
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101614_145224356205165_1723051320497143808_n.jpg,http://picbear.com/media/1640511853656620304_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:31,<p>💭💭💭💭</p>,56,2
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161820_144994739582644_5260514349738360832_n.jpg,http://picbear.com/media/1640510616689269073_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:28,,33,1
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.29.1080.1080/23279199_316501048830103_1011775289983762432_n.jpg,http://picbear.com/media/1640510319447320704_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:28,<p>😏😏😏</p>,22,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23101760_1480203832056950_847485124395139072_n.jpg,http://picbear.com/media/1640509769053899407_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:27,<p>🌻🌻🌻🌻🌻🌻</p>,14,2
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23160989_391900791228834_3674418828957188096_n.jpg,http://picbear.com/media/1640509365989777292_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:26,<p>🌿🌿🌿🌿🌿🌿🍀🍃</p>,13,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c67.0.466.466/23160968_131282417591538_2725014302426660864_n.jpg,http://picbear.com/media/1640508007379245110_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:23,<p>🏊💦💦💦</p>,10,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.65.600.600/23101724_138326683589555_4138067205759696896_n.jpg,http://picbear.com/media/1640507469568845525_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:22,<p>😋😋😋😋</p>,4,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.62.1080.1080/23161628_1417382218360662_4306078810186448896_n.jpg,http://picbear.com/media/1640505441085852278_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:18,<p>🌁🌁🌁</p>,8,2
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23161000_872789249542798_6400018041505054720_n.jpg,http://picbear.com/media/1640504819833989990_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:17,,2,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23164397_1496168273772290_7013393432127209472_n.jpg,http://picbear.com/media/1640504304563788633_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:16,<p>🐼🐼🐼🐼</p>,5,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c74.0.931.931/23101474_353260785120992_9192903693475774464_n.jpg,http://picbear.com/media/1640503730950670229_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:15,<p>😀😀😀😉🌹</p>,9,0
November 07 2017 - 03:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c83.0.914.914/23161452_753714421478563_71863169458372608_n.jpg,http://picbear.com/media/1640503104028162619_4876273778,November 07 2017 - 03:52,November 04 2017 - 11:13,<p>🍦🍦🍦🍦🍦🍧🍨🍹</p>,5,0
