user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/23347408_311874692624897_8378495598285815808_n.jpg,http://picbear.com/media/1641483773904153583_20638245,November 06 2017 - 20:18,November 05 2017 - 19:42,"<p>Last year for my grandmother's 90th birthday, I read a little something I wrote that compared her to a lighthouse, guiding me to the shore as I feel constantly lost at sea. Today, at Mama's funeral, I will read it again. And though it is impossible to put into words how much this divine woman means to me, I will add on to that piece and give it a try: • I don't know how to build a lighthouse. • And I don't know why everyone is telling me that they are sorry for my loss. • I am never going to lose my grandmother. • It would be impossible to lose someone who is embedded in me so deep it's like I swallowed a stone. • I cannot ever get it out and it will stay with me until I die, too. • Every once in a while, right as I am about to cry, it wells up and gets caught in my throat and dams the water surely about to break. • In a way I think that's Mama telling me ""It's okay, sweetie. Don't cry."" • I just wish I could reach down and take that stone out of me and carry it to</p>",148,12
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22638988_1975353146041723_2585111979051974656_n.jpg,http://picbear.com/media/1630103513731962736_20638245,November 06 2017 - 20:18,October 21 2017 - 02:51,<p>there are definitely more wigs in the audience than there will be on stage ⌛️</p>,98,2
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c191.0.604.604/22500264_1963813777192831_9069321820624125952_n.jpg,http://picbear.com/media/1627792669367087275_20638245,November 06 2017 - 20:18,October 17 2017 - 22:20,"<p>öödra's havin' a great time at <a href=""http://picbear.com/pitsthemusical"" title=""pitsthemusical instagram profile"">@pitsthemusical</a> AND U WILL TOO • TONIGHT &amp; EVERY TUESDAY AT 8:00 AT <a href=""http://picbear.com/thepitnyc"" title=""thepitnyc instagram profile"">@thepitnyc</a> • sit in the front so i can shake n' wiggle on ya • $12 tix in me bio, $10.50 tix on the <a href=""http://picbear.com/todaytix"" title=""todaytix instagram profile"">@todaytix</a> app 🐿</p>",94,5
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22429975_192138537996724_1945621379088908288_n.jpg,http://picbear.com/media/1624798244676524288_20638245,November 06 2017 - 20:18,October 13 2017 - 19:11,"<p>i'm not crying outside of rough trade, you're crying outside of rouTHIS IS THE BEST DAY EVER <a href=""http://picbear.com/tag/masseduction"" title=""posts tagged as masseduction"">#masseduction</a></p>",136,8
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22278090_195654260977987_4565574489328320512_n.jpg,http://picbear.com/media/1620674952013062158_20638245,November 06 2017 - 20:18,October 08 2017 - 02:38,<p>last row not least row /👁\ punch me in the face</p>,124,2
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22157552_281195589039184_587411767856988160_n.jpg,http://picbear.com/media/1615615538721860717_20638245,November 06 2017 - 20:18,October 01 2017 - 03:06,"<p>made a friend, today 🌲</p>",64,0
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21371725_1981815472103080_182144387587768320_n.jpg,http://picbear.com/media/1596776206489766900_20638245,November 06 2017 - 20:18,September 05 2017 - 03:16,"<p>THANK Y'ALL FOR JOINING US ON THIS IDIOTIC JOURNEY OF MAJESTICAL POINTLESSNESS. THERE ARE SOMETHING LIKE 1,700 PARKS IN NEW YORK CITY AND ALL OF THEM DESERVE OUR LOVE AND AFFECTION. PLEASE STOP FUCKING LITTERING!!! GO OUTSIDE AND TAKE A BREATH OF FRESH AIR AND VISIT A PARK!!! ANY PARK!!! ALL PARKS ARE PERFECT NO MATTER THE SIZE!!! 💚 . Also this entire thing would not have been possible without the help of my Best Boy who is more importantly my boy who is the best, @pwilliamson423. Give him a lil kiss for me. ✨🌲💚🌲✨ . Also like maybe everyone help us get <a href=""http://picbear.com/nycparks"" title=""nycparks instagram profile"">@nycparks</a> to pick us up for a Real Webseries™?!</p>",329,14
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21227353_1452565788164742_320247235629547520_n.jpg,http://picbear.com/media/1595315151511108928_20638245,November 06 2017 - 20:18,September 03 2017 - 02:53,"<p>crazy that i hate this play so much and i haven't even seen it yet ☔️ (thank you, <a href=""http://picbear.com/samsonofrichard"" title=""samsonofrichard instagram profile"">@samsonofrichard</a>) (((this is my 4th time here)))</p>",110,1
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21227528_165967850630140_8800486309895340032_n.jpg,http://picbear.com/media/1594676181534179803_20638245,November 06 2017 - 20:18,September 02 2017 - 05:43,<p>sus deserves the world and you just gotta see this play it was 🔥</p>,83,5
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21147735_1545632552163547_7325139084937003008_n.jpg,http://picbear.com/media/1592466375468517688_20638245,November 06 2017 - 20:18,August 30 2017 - 04:33,"<p>bringin' home the bacon / goin back to my boots / come see PITS: the Unauthorized 'HOLES' Musical for F R E E on THURSDAY at 6:30 and 9:00 as a part of the <a href=""http://picbear.com/tag/nyu2021"" title=""posts tagged as nyu2021"">#nyu2021</a> WELCOME WEEK 💜🍑🕳🍑💜 . . . GCASL ROOM C95 / LINK IN ME BIO / OPEN TO THE PUBLIC</p>",242,9
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21107788_493117457708778_879743051797364736_n.jpg,http://picbear.com/media/1591593773850113691_20638245,November 06 2017 - 20:18,August 28 2017 - 23:39,<p>💖🦄 FUCK ME UP AUNT GAGA 🦄💖 . . . tonight is my last night on this dying earth/expect a plethora of posts</p>,293,22
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.100.914.914/21149480_266539427167548_582564918738288640_n.jpg,http://picbear.com/media/1590938033804071864_20638245,November 06 2017 - 20:18,August 28 2017 - 01:56,<p>jenny 🐻</p>,220,7
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c100.0.600.600/20969197_301000673709118_9057138939730591744_n.jpg,http://picbear.com/media/1587700058815358147_20638245,November 06 2017 - 20:18,August 23 2017 - 14:43,"<p>So anyways come catch me playing Imogen in ""It's Cymbeline ¯\_(ツ)_/¯"" which you only have ONE MORE CHANCE TO SEE!!! This Saturday at 2:00 at The Brick!!! She is a princess, I promise. 🦄💍☠️ TICKETS IN ME BIO</p>",114,3
November 06 2017 - 20:17,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20633585_264727717265583_3046555079126548480_n.jpg,http://picbear.com/media/1576442358646550157_20638245,November 06 2017 - 20:18,August 08 2017 - 01:56,<p>hey cool didn't plan on crying about brandon uranowitz today but here we are!!!!¡!¡!¡! 🎺👠🎷</p>,92,4
