user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c136.0.808.808/19933112_1815385488478691_6654700282078822400_n.jpg,http://picbear.com/media/1563296865666004197_1909146536,November 06 2017 - 20:59,July 20 2017 - 22:38,<p>Eddy and Mickie at the River.</p>,17,1
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/15801894_240026983075688_5743151356777070592_n.jpg,http://picbear.com/media/1422919795339443265_1909146536,November 06 2017 - 20:59,January 08 2017 - 06:14,<p>Cait and Auntie Oma at the Rail.</p>,21,2
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12353448_1722039038028226_1980117856_n.jpg,http://picbear.com/media/1150406988951717483_1909146536,November 06 2017 - 20:59,December 29 2015 - 05:20,"<p>Opa w//grands - Kyle and Nicolas, Hannah and Sarah and Maggie. So special to see them together! ❤️🌾</p>",16,0
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12393936_868832609881846_1619030065_n.jpg,http://picbear.com/media/1150405171031311938_1909146536,November 06 2017 - 20:59,December 29 2015 - 05:16,<p>Kyle H. Playing w/Louie.</p>,5,0
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12383287_1667432936861033_565809007_n.jpg,http://picbear.com/media/1150403624524318229_1909146536,November 06 2017 - 20:59,December 29 2015 - 05:13,<p>Maggie  eating chocolate Christmas cake - isn't she so cute?</p>,5,0
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/12353956_1672273006379038_961581850_n.jpg,http://picbear.com/media/1150401934203028963_1909146536,November 06 2017 - 20:59,December 29 2015 - 05:10,<p>Bruce Hulscher and Louie</p>,3,0
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/11249417_1510325869260526_2023015054_n.jpg,http://picbear.com/media/1084327421204235811_1909146536,November 06 2017 - 20:59,September 29 2015 - 02:12,<p>The Hulscher Boys and Mick</p>,10,1
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.809.809/11357708_714867061951730_1740435500_n.jpg,http://picbear.com/media/1064681989368972962_1909146536,November 06 2017 - 20:59,September 01 2015 - 23:40,<p>Eddy and I at the park.</p>,12,3
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/11313627_570541693083915_712370356_n.jpg,http://picbear.com/media/1051489511467910739_1909146536,November 06 2017 - 20:59,August 14 2015 - 18:48,"<p>First photo with my girls! <a href=""http://picbear.com/tag/happyfridayinporthuron"" title=""posts tagged as happyfridayinporthuron"">#happyfridayinporthuron</a></p>",10,3
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.90.720.720/18950364_1938584383080103_8958666197310636032_n.jpg,http://picbear.com/media/1565432528339294386_1909146536,November 06 2017 - 20:59,July 23 2017 - 21:22,<p>Rockin' in Grand Rapids</p>,23,1
