user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/23279247_1822287718061786_7753472518349914112_n.jpg,http://picbear.com/media/1642260567996919233_6085165453,November 06 2017 - 20:52,November 06 2017 - 21:25,<p>⚡️⚡️</p>,27,0
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580649_121914991831966_1573682060273385472_n.jpg,http://picbear.com/media/1627092338483670549_6085165453,November 06 2017 - 20:52,October 16 2017 - 23:09,<p>Life in curse</p>,32,2
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22351637_422184054846139_6390559252208943104_n.jpg,http://picbear.com/media/1624067687482645108_6085165453,November 06 2017 - 20:52,October 12 2017 - 18:59,"<p>Hoy es mi dia, i seguire mi camino cueste lo que cueste</p>",39,2
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22158130_495718554140569_5838665055708643328_n.jpg,http://picbear.com/media/1618906586310585907_6085165453,November 06 2017 - 20:52,October 05 2017 - 16:05,<p>Sonríe a la vida i tu seras un sol</p>,40,3
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c135.0.810.810/22069660_146921505914618_4906309762636840960_n.jpg,http://picbear.com/media/1612332158412116550_6085165453,November 06 2017 - 20:53,September 26 2017 - 14:23,<p>Lo millor de tot es tindre bones amistats</p>,35,1
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910714_1733733506935119_8217626537357213696_n.jpg,http://picbear.com/media/1610761575106702969_6085165453,November 06 2017 - 20:53,September 24 2017 - 10:22,<p>Im thusent in the love</p>,17,1
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21910139_175714852988479_4270184346859601920_n.jpg,http://picbear.com/media/1610212678202432266_6085165453,November 06 2017 - 20:53,September 23 2017 - 16:12,,13,0
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21909578_314980125632914_1633094931289473024_n.jpg,http://picbear.com/media/1610115553053452953_6085165453,November 06 2017 - 20:53,September 23 2017 - 12:59,<p>The pai</p>,17,0
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21827443_303500576793298_5522470735903195136_n.jpg,http://picbear.com/media/1610114311841477328_6085165453,November 06 2017 - 20:53,September 23 2017 - 12:56,,16,1
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21911305_183842578826750_542447884084183040_n.jpg,http://picbear.com/media/1611837107118310755_6085165453,November 06 2017 - 20:53,September 25 2017 - 21:59,"<p>Les neves dos princeses <a href=""http://picbear.com/moni_torne"" title=""moni_torne instagram profile"">@moni_torne</a></p>",28,3
November 06 2017 - 20:52,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/21980545_1462706873783161_9020009677601112064_n.jpg,http://picbear.com/media/1611833878343290366_6085165453,November 06 2017 - 20:53,September 25 2017 - 21:53,"<p>My bff tk moltt carinyu❤️ <a href=""http://picbear.com/moni_torne"" title=""moni_torne instagram profile"">@moni_torne</a> <a href=""http://picbear.com/moniphotography___"" title=""moniphotography___ instagram profile"">@moniphotography___</a></p>",32,2
