user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/22711135_351757648598076_7699589705490235392_n.jpg,http://picbear.com/media/1632820768345489018_3242850623,November 06 2017 - 21:00,October 24 2017 - 20:50,<p>Miss this place so much💓</p>,493,52
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22708707_371419053271349_18171040261734400_n.jpg,http://picbear.com/media/1631242757582122752_3242850623,November 06 2017 - 21:00,October 22 2017 - 16:35,"<p><a href=""http://picbear.com/tag/weekend"" title=""posts tagged as weekend"">#weekend</a> <a href=""http://picbear.com/tag/relax"" title=""posts tagged as relax"">#relax</a> 😉</p>",323,37
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/22582474_1752430161732167_6560699541211840512_n.jpg,http://picbear.com/media/1630509061556146277_3242850623,November 06 2017 - 21:00,October 21 2017 - 16:17,"<p><a href=""http://picbear.com/tag/picoftheday"" title=""posts tagged as picoftheday"">#picoftheday</a> 💞</p>",282,26
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580667_551566038516528_1580597365641838592_n.jpg,http://picbear.com/media/1629227532477734766_3242850623,November 06 2017 - 21:00,October 19 2017 - 21:51,"<p><a href=""http://picbear.com/tag/ph"" title=""posts tagged as ph"">#ph</a> <a href=""http://picbear.com/tag/goodnight"" title=""posts tagged as goodnight"">#goodnight</a> 💞</p>",274,13
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22430209_293702337793394_2590597459742818304_n.jpg,http://picbear.com/media/1625337847414112300_3242850623,November 06 2017 - 21:00,October 14 2017 - 13:03,"<p><a href=""http://picbear.com/tag/photography"" title=""posts tagged as photography"">#photography</a> <a href=""http://picbear.com/tag/saturday"" title=""posts tagged as saturday"">#saturday</a> <a href=""http://picbear.com/tag/niceweekend"" title=""posts tagged as niceweekend"">#niceweekend</a> 💙</p>",387,39
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c120.0.720.720/21827142_141928436416021_454815643414298624_n.jpg,http://picbear.com/media/1609290010091863630_3242850623,November 06 2017 - 21:00,September 22 2017 - 09:39,"<p><a href=""http://picbear.com/tag/wakeup"" title=""posts tagged as wakeup"">#wakeup</a> <a href=""http://picbear.com/tag/pyjamas"" title=""posts tagged as pyjamas"">#pyjamas</a></p>",564,58
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/21436157_121067428553468_7976749923695591424_n.jpg,http://picbear.com/media/1601366664171999054_3242850623,November 06 2017 - 21:00,September 11 2017 - 11:16,<p>Crepes😋😋😘😭</p>,493,35
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21435481_119795262075831_2139285925526503424_n.jpg,http://picbear.com/media/1600693407764675034_3242850623,November 06 2017 - 21:00,September 10 2017 - 12:59,"<p><a href=""http://picbear.com/tag/niceweekend"" title=""posts tagged as niceweekend"">#niceweekend</a> 😍😍🙌</p>",462,42
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21479687_1857412501239235_8944613399325573120_n.jpg,http://picbear.com/media/1599232116386676297_3242850623,November 06 2017 - 21:00,September 08 2017 - 12:35,<p>Blue day 💙💙</p>,465,37
November 06 2017 - 20:59,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21436090_303627046779357_1461793785640910848_n.jpg,http://picbear.com/media/1599206298432175376_3242850623,November 06 2017 - 21:00,September 08 2017 - 11:44,"<p><a href=""http://picbear.com/tag/morning"" title=""posts tagged as morning"">#morning</a> <a href=""http://picbear.com/tag/coffee"" title=""posts tagged as coffee"">#coffee</a> ☕</p>",351,26
