user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.90.720.720/22639271_1568197653239863_609236158840307712_n.jpg,http://picbear.com/media/1632051369060688270_1404595728,November 07 2017 - 03:20,October 23 2017 - 19:21,<p>Crazy hair and crazy sock day at school😂🎃</p>,13,1
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21984642_348036912306853_2468162300209528832_n.jpg,http://picbear.com/media/1613929400100510403_1404595728,November 07 2017 - 03:20,September 28 2017 - 19:16,"<p>Its hard to believe it has already been 2 years since you pass away and there not a day that goes by that i wish you would just walk thur the door again with a smile on your face and some weed in your hand lol you made everyone day brighter just with your presence, you were so worried about the kids not remembering or the momories yall shared but they talk about you everyday, the way you were always working on your car too pamela saying yall have the same smile and she wants to be tall like you and how much they miss you and wishing they can come vist you. You are the best uncle they have ever have or will have. We miss you and love you  to the moon and back rest in paradise Greg Thompson💙🙏</p>",20,0
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21576972_127244097869051_4132896786689818624_n.jpg,http://picbear.com/media/1604425590361625399_1404595728,November 07 2017 - 03:20,September 15 2017 - 16:34,"<p>Wishing i can be back at nocturnal this weeknd,last year was beyond amazing <a href=""http://picbear.com/tag/fbf"" title=""posts tagged as fbf"">#fbf</a> <a href=""http://picbear.com/tag/flashbackfridays"" title=""posts tagged as flashbackfridays"">#flashbackfridays</a> <a href=""http://picbear.com/tag/nocturnalwonderland"" title=""posts tagged as nocturnalwonderland"">#nocturnalwonderland</a> <a href=""http://picbear.com/tag/peace"" title=""posts tagged as peace"">#peace</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/plur"" title=""posts tagged as plur"">#plur</a> <a href=""http://picbear.com/tag/superwoman"" title=""posts tagged as superwoman"">#superwoman</a></p>",21,1
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373253_146772212587867_1407314251499962368_n.jpg,http://picbear.com/media/1597625901226350695_1404595728,November 07 2017 - 03:20,September 06 2017 - 07:24,<p>💜💚💙</p>,20,0
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/21042024_2040588679560984_4504770843477278720_n.jpg,http://picbear.com/media/1586394281139936226_1404595728,November 07 2017 - 03:20,August 21 2017 - 19:29,<p>Happy 7th birthday my love💙🎉😣</p>,27,0
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20760013_1396130447137718_9141195134795251712_n.jpg,http://picbear.com/media/1581336591028171821_1404595728,November 07 2017 - 03:20,August 14 2017 - 20:00,<p>Frist day of kindergarten here she comes😄📚💕</p>,28,3
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19425012_1791502551161032_3108863582733860864_n.jpg,http://picbear.com/media/1543742449498563475_1404595728,November 07 2017 - 03:20,June 23 2017 - 23:07,"<p>I can't believe it has already been a week since I got to meet <a href=""http://picbear.com/mamaunicorn175"" title=""mamaunicorn175 instagram profile"">@mamaunicorn175</a> <a href=""http://picbear.com/tinydancer_88"" title=""tinydancer_88 instagram profile"">@tinydancer_88</a> @an.gtl i was so excited I started jumping and spinning around and dancing lol y'all vibes were amazing, hope to see you guys at another festival🦄🌼💕😄 <a href=""http://picbear.com/tag/edc2017"" title=""posts tagged as edc2017"">#edc2017</a> <a href=""http://picbear.com/tag/edclv"" title=""posts tagged as edclv"">#edclv</a> <a href=""http://picbear.com/tag/day1"" title=""posts tagged as day1"">#day1</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/plur"" title=""posts tagged as plur"">#plur</a></p>",39,0
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/19367018_125523938033422_3277854701697105920_n.jpg,http://picbear.com/media/1540908995887027856_1404595728,November 07 2017 - 03:20,June 20 2017 - 01:18,"<p>An yet another amazing three days underneath the Electric Sky🌼🎡💕#panda <a href=""http://picbear.com/tag/pikachu"" title=""posts tagged as pikachu"">#pikachu</a> <a href=""http://picbear.com/tag/unicorn"" title=""posts tagged as unicorn"">#unicorn</a> <a href=""http://picbear.com/tag/love"" title=""posts tagged as love"">#love</a> <a href=""http://picbear.com/tag/plur"" title=""posts tagged as plur"">#plur</a> <a href=""http://picbear.com/tag/edclv"" title=""posts tagged as edclv"">#edclv</a> <a href=""http://picbear.com/tag/edc21"" title=""posts tagged as edc21"">#edc21</a></p>",34,1
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/18013596_211379679353211_5830913146545504256_n.jpg,http://picbear.com/media/1501533964724069991_1404595728,November 07 2017 - 03:20,April 26 2017 - 17:26,"<p>Happy birthday my love❣ you fill my heart with joy and your smile brighten up room, from your spunky attitude to the loving caring big heart  world can not explain how you mean to me I love you with all my heart👑💜🏵🎂🎢🎡</p>",43,5
November 07 2017 - 03:20,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/17934035_279587529160463_3279998796615909376_n.jpg,http://picbear.com/media/1494402696983025180_1404595728,November 07 2017 - 03:20,April 16 2017 - 21:18,<p>Happy Easter from my family to yours💐🐰</p>,43,1
