user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/22069448_1742855302676547_6608185223622426624_n.jpg,http://picbear.com/media/1613655210251598912_5731123164,October 18 2017 - 17:17,September 28 2017 - 10:11,"<p>Mabar lagi With <a href=""http://picbear.com/noblegameryt"" title=""noblegameryt instagram profile"">@noblegameryt</a>  Lose MVP :( . . . 1 like= 1 kill</p>",74,4
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20836916_119428512043810_6072826986219175936_n.jpg,http://picbear.com/media/1583252375139859597_5731123164,October 18 2017 - 17:17,August 17 2017 - 11:26,,156,12
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20688578_1641901282549904_2303533240226414592_n.jpg,http://picbear.com/media/1579807944504088742_5731123164,October 18 2017 - 17:17,August 12 2017 - 17:23,,157,1
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20687100_1313109635468502_3166077490623938560_n.jpg,http://picbear.com/media/1576174612767601847_5731123164,October 18 2017 - 17:17,August 07 2017 - 17:04,,151,7
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20635052_1190658961080365_7437814120268693504_n.jpg,http://picbear.com/media/1575205966058829193_5731123164,October 18 2017 - 17:17,August 06 2017 - 09:00,,179,22
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20225969_124521998165013_2378776299838636032_n.jpg,http://picbear.com/media/1564465897631069985_5731123164,October 18 2017 - 17:17,July 22 2017 - 13:21,,108,34
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/20225702_473447876323721_6930934814572806144_n.jpg,http://picbear.com/media/1564464213802413117_5731123164,October 18 2017 - 17:17,July 22 2017 - 13:18,,93,1
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20184782_109702033022942_7650996204985122816_n.jpg,http://picbear.com/media/1564463342494483807_5731123164,October 18 2017 - 17:17,July 22 2017 - 13:16,,97,0
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/20214139_342348692864970_8014837152510640128_n.jpg,http://picbear.com/media/1563883243181371126_5731123164,October 18 2017 - 17:17,July 21 2017 - 18:03,,130,7
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/20184559_1865654243757405_1945538301536501760_n.jpg,http://picbear.com/media/1563882180428604717_5731123164,October 18 2017 - 17:17,July 21 2017 - 18:01,,130,2
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/19932395_249490332215097_6496126563342352384_n.jpg,http://picbear.com/media/1563859701870001116_5731123164,October 18 2017 - 17:17,July 21 2017 - 17:17,,124,31
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/e35/20214476_1822630681383392_5039606525094526976_n.jpg,http://picbear.com/media/1563711984782897963_5731123164,October 18 2017 - 17:17,July 21 2017 - 12:23,,141,20
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19985483_1948996208679428_4817905497300533248_n.jpg,http://picbear.com/media/1560208816702838120_5731123164,October 18 2017 - 17:17,July 16 2017 - 16:23,,120,5
October 18 2017 - 17:16,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19985358_135006927087312_908121665953595392_n.jpg,http://picbear.com/media/1558084101557413271_5731123164,October 18 2017 - 17:17,July 13 2017 - 18:02,,131,12
