user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22710551_1703301396401299_1524922804095418368_n.jpg,http://picbear.com/media/1633438045607566105_178893268,November 07 2017 - 04:51,October 25 2017 - 17:16,"<p>여친님 생일 우리는 먹방투어를 갔다.  랍스터가 내 주먹 두개 붙혀놓은 사이즈...스테이크가 내 얼굴 사이즈... 아름다운 밤이었닿  <a href=""http://picbear.com/tag/생일"" title=""posts tagged as 생일"">#생일</a> <a href=""http://picbear.com/tag/먹스타그램"" title=""posts tagged as 먹스타그램"">#먹스타그램</a> <a href=""http://picbear.com/tag/스테이크"" title=""posts tagged as 스테이크"">#스테이크</a> <a href=""http://picbear.com/tag/davidduncanhouse"" title=""posts tagged as davidduncanhouse"">#davidduncanhouse</a></p>",40,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.72.580.580/22500228_280298702463018_6101489325914980352_n.jpg,http://picbear.com/media/1626315927673867256_178893268,November 07 2017 - 04:51,October 15 2017 - 21:26,<p>.</p>,28,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/22499741_178738402691514_2607865753713508352_n.jpg,http://picbear.com/media/1625981061270734960_178893268,November 07 2017 - 04:51,October 15 2017 - 10:21,<p>.</p>,24,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/22071456_137334223556353_6875684114758893568_n.jpg,http://picbear.com/media/1617552206298199031_178893268,November 07 2017 - 04:51,October 03 2017 - 19:14,<p>Honored to be invited for this day with blessing. 结婚快乐! Phomie!!</p>,24,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/22221123_559910701019827_8770053666284503040_n.jpg,http://picbear.com/media/1616135899711299453_178893268,November 07 2017 - 04:51,October 01 2017 - 20:20,<p>good night Toronto!</p>,18,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21827651_149091312355435_4029270959687991296_n.jpg,http://picbear.com/media/1607310073234472759_178893268,November 07 2017 - 04:51,September 19 2017 - 16:05,"<p>회사에 왜 한국인들만 나온거지... <a href=""http://picbear.com/tag/일스타그램"" title=""posts tagged as 일스타그램"">#일스타그램</a> <a href=""http://picbear.com/tag/출근"" title=""posts tagged as 출근"">#출근</a> <a href=""http://picbear.com/tag/화요일이"" title=""posts tagged as 화요일이"">#화요일이</a> <a href=""http://picbear.com/tag/월요일같다"" title=""posts tagged as 월요일같다"">#월요일같다</a> <a href=""http://picbear.com/tag/하"" title=""posts tagged as 하"">#하</a></p>",32,3
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21373608_398690163878771_860997718573580288_n.jpg,http://picbear.com/media/1598252922201612000_178893268,November 07 2017 - 04:51,September 07 2017 - 04:10,"<p>요번에 오픈했다는데 분위기 굿이네♡ <a href=""http://picbear.com/tag/먹스타"" title=""posts tagged as 먹스타"">#먹스타</a> <a href=""http://picbear.com/tag/돈까스"" title=""posts tagged as 돈까스"">#돈까스</a> <a href=""http://picbear.com/tag/꿀맛"" title=""posts tagged as 꿀맛"">#꿀맛</a></p>",54,2
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.607.607/21294630_525850827754675_352331710777524224_n.jpg,http://picbear.com/media/1595458042983316470_178893268,November 07 2017 - 04:51,September 03 2017 - 07:37,"<p>no filter...what a gorgeous weather. (finally)  <a href=""http://picbear.com/tag/niagarafalls"" title=""posts tagged as niagarafalls"">#niagarafalls</a> <a href=""http://picbear.com/tag/canada"" title=""posts tagged as canada"">#canada</a> <a href=""http://picbear.com/tag/shotfromthegalaxy"" title=""posts tagged as shotfromthegalaxy"">#shotfromthegalaxy</a></p>",16,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21107654_264119647438889_3164831924338294784_n.jpg,http://picbear.com/media/1592091736158334368_178893268,November 07 2017 - 04:51,August 29 2017 - 16:09,<p>.</p>,31,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c236.0.608.608/21147718_143552062910421_6757428091548598272_n.jpg,http://picbear.com/media/1592090004615575840_178893268,November 07 2017 - 04:51,August 29 2017 - 16:05,,18,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c0.135.1080.1080/20968437_328253010973055_4649295032698798080_n.jpg,http://picbear.com/media/1585199668022733479_178893268,November 07 2017 - 04:52,August 20 2017 - 03:55,"<p>내 작품..캬  <a href=""http://picbear.com/tag/오늘은"" title=""posts tagged as 오늘은"">#오늘은</a> <a href=""http://picbear.com/tag/이태리요리"" title=""posts tagged as 이태리요리"">#이태리요리</a></p>",20,2
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20902677_114503192547553_2339988282684735488_n.jpg,http://picbear.com/media/1583810829085518800_178893268,November 07 2017 - 04:52,August 18 2017 - 05:56,"<p>woodbine beach was so much fun!  <a href=""http://picbear.com/tag/woodbinebeach"" title=""posts tagged as woodbinebeach"">#woodbinebeach</a> <a href=""http://picbear.com/tag/paddleboard"" title=""posts tagged as paddleboard"">#paddleboard</a> <a href=""http://picbear.com/tag/toronto"" title=""posts tagged as toronto"">#toronto</a> <a href=""http://picbear.com/tag/canada"" title=""posts tagged as canada"">#canada</a></p>",53,2
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20633321_1463727830601329_9141227196726116352_n.jpg,http://picbear.com/media/1575915208336988007_178893268,November 07 2017 - 04:52,August 07 2017 - 08:29,"<p>visited food truck festival again!  <a href=""http://picbear.com/tag/먹방"" title=""posts tagged as 먹방"">#먹방</a> <a href=""http://picbear.com/tag/먹스타그램"" title=""posts tagged as 먹스타그램"">#먹스타그램</a> <a href=""http://picbear.com/tag/푸드트럭"" title=""posts tagged as 푸드트럭"">#푸드트럭</a> <a href=""http://picbear.com/tag/토론토"" title=""posts tagged as 토론토"">#토론토</a> <a href=""http://picbear.com/tag/woodbine"" title=""posts tagged as woodbine"">#woodbine</a> <a href=""http://picbear.com/tag/woodbinebeach"" title=""posts tagged as woodbinebeach"">#woodbinebeach</a> <a href=""http://picbear.com/tag/foodtruck"" title=""posts tagged as foodtruck"">#foodtruck</a></p>",52,6
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398479_107246033287348_2963749346610249728_n.jpg,http://picbear.com/media/1570413820437734166_178893268,November 07 2017 - 04:52,July 30 2017 - 18:18,"<p>도깨비에 잠깐 나오셧던 하프 연주하시던 할아버지를 발견...두둥  <a href=""http://picbear.com/tag/여행스타그램"" title=""posts tagged as 여행스타그램"">#여행스타그램</a> <a href=""http://picbear.com/tag/도깨비"" title=""posts tagged as 도깨비"">#도깨비</a> <a href=""http://picbear.com/tag/퀘벡"" title=""posts tagged as 퀘벡"">#퀘벡</a></p>",28,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20398078_494712617530233_122259830378332160_n.jpg,http://picbear.com/media/1570403797535859608_178893268,November 07 2017 - 04:52,July 30 2017 - 17:59,"<p>Quebec, still beautiful.  <a href=""http://picbear.com/tag/travel"" title=""posts tagged as travel"">#travel</a> <a href=""http://picbear.com/tag/vacation"" title=""posts tagged as vacation"">#vacation</a> <a href=""http://picbear.com/tag/mobilephotography"" title=""posts tagged as mobilephotography"">#mobilephotography</a> <a href=""http://picbear.com/tag/canada"" title=""posts tagged as canada"">#canada</a> <a href=""http://picbear.com/tag/quebec"" title=""posts tagged as quebec"">#quebec</a></p>",35,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c180.0.720.720/20346782_193086594559957_3984636177784242176_n.jpg,http://picbear.com/media/1566006650711494486_178893268,November 07 2017 - 04:52,July 24 2017 - 16:22,"<p>데이뚜  <a href=""http://picbear.com/tag/우리의"" title=""posts tagged as 우리의"">#우리의</a> <a href=""http://picbear.com/tag/데이트는"" title=""posts tagged as 데이트는"">#데이트는</a> <a href=""http://picbear.com/tag/식신로드"" title=""posts tagged as 식신로드"">#식신로드</a></p>",35,1
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20184188_180892892451321_1663476301580730368_n.jpg,http://picbear.com/media/1564945921598036054_178893268,November 07 2017 - 04:52,July 23 2017 - 05:15,"<p>went shopping and back to broke again.  <a href=""http://picbear.com/tag/쇼핑날은"" title=""posts tagged as 쇼핑날은"">#쇼핑날은</a> <a href=""http://picbear.com/tag/다음월급"" title=""posts tagged as 다음월급"">#다음월급</a> <a href=""http://picbear.com/tag/생각하게만드는날"" title=""posts tagged as 생각하게만드는날"">#생각하게만드는날</a></p>",21,0
November 07 2017 - 04:51,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/20226044_115949309042522_7087665472648249344_n.jpg,http://picbear.com/media/1564050346761631532_178893268,November 07 2017 - 04:52,July 21 2017 - 23:35,<p>naaaawwwwwwww....ran into this 11 weeks old puppy on our day trip... just look at him..😍😁😁</p>,22,0
