user_poll_dt,content_url,picbear_url,media_poll_dt,media_share_dt,caption,likes,comments
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23161094_2394398397451183_8934176860724527104_n.jpg,http://picbear.com/media/1641674010647170864_3959833237,November 07 2017 - 05:43,November 06 2017 - 02:00,,10,1
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/c60.0.599.599/23161089_1553645691393559_3556212416914128896_n.jpg,http://picbear.com/media/1641672708408086598_3959833237,November 07 2017 - 05:43,November 06 2017 - 01:57,,11,0
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164048_891844030972224_102627298645114880_n.jpg,http://picbear.com/media/1641672539947953842_3959833237,November 07 2017 - 05:43,November 06 2017 - 01:57,,10,0
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23164938_786844101494614_1397389290748510208_n.jpg,http://picbear.com/media/1641637119814246263_3959833237,November 07 2017 - 05:43,November 06 2017 - 00:46,,10,1
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/23347831_796072187262387_8322161308287893504_n.jpg,http://picbear.com/media/1641633229504993731_3959833237,November 07 2017 - 05:43,November 06 2017 - 00:39,<p>چگونہ این کلمات بہ این  توانائی میرسند  کہ ترا از درون تکہ تکہ کنند۔۔۔ویراش ذھن مخاطب</p>,10,0
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22580343_1973049739620666_9141152404165623808_n.jpg,http://picbear.com/media/1627299409754503423_3959833237,November 07 2017 - 05:43,October 17 2017 - 06:00,<p>😲VIDA is a Soljer Comando😉basej🙋💛</p>,21,5
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/22344556_138080106824334_9109079353630654464_n.jpg,http://picbear.com/media/1622077939604279924_3959833237,November 07 2017 - 05:43,October 10 2017 - 01:06,,15,3
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21879379_481220645578108_7640294267469955072_n.jpg,http://picbear.com/media/1609061559506508189_3959833237,November 07 2017 - 05:43,September 22 2017 - 02:05,,22,0
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878948_1728937430745155_5376027800106958848_n.jpg,http://picbear.com/media/1609059303692231999_3959833237,November 07 2017 - 05:43,September 22 2017 - 02:00,,20,1
November 07 2017 - 05:42,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e35/21878858_152389878686655_8848477840669147136_n.jpg,http://picbear.com/media/1609058711389484976_3959833237,November 07 2017 - 05:43,September 22 2017 - 01:59,,19,1
